"DB","DB_i","ID","RA_ICRS","DE_ICRS","GLON","GLAT","plx","pmRA","pmDE","fnames","UCC_ID","quad","dups_fnames","dups_probs","r_50","N_fixed","N_membs","fixed_cent","cent_flags","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","N_ex_cls"
"KHARCHENKO12","2122","FSR 0831",97.2,33.645,180.2963,10.3448,"nan","nan","nan","fsr0831","UCC G180.2+10.3","Q3P","nan","nan",8.8,False,47.0,True,"000",0.58,0.36,"BC",33.0,180.326,10.335,97.192,33.605,0.204,0.343,-1.36,16.611,3.0,0.0
"BICA19","1268","Teutsch 135;DSH J0607.9+3122A",91.99711,31.38395,180.3,5.41,"nan","nan","nan","teutsch135;dshj06079p3122a","UCC G180.3+05.4","Q3P","nan","nan",9.4,False,51.0,True,"000",0.32,0.35,"CC",28.0,180.246,5.395,91.964,31.449,0.237,0.157,-1.644,32.763,5.0,1.0
"CHI23","7","LISC-III 1046",93.30665,31.93353,180.344,6.652,0.28,0.181,-1.671,"lisciii1046","UCC G180.3+06.6","Q3P","nan","nan",3.8,False,25.0,True,"010",0.18,0.4,"DC",0.0,180.353,6.655,93.309,31.918,0.29,0.256,-1.741,"nan",0.0,1.0
"KHARCHENKO12;LOKTIN17;BICA19;CANTAT20;DIAS21;TARRICQ22;HE22_1;HUNT23","1900;521;1269;765;652;144;266;4276","NGC 1647;Melotte 26;Collinder 54;OCL 457;MWSC 416",71.481,19.079,180.3675,-16.7923,1.675,-1.057,-1.502,"ngc1647;melotte26;collinder54;ocl457;mwsc416","UCC G180.3-16.7","Q3N","nan","nan",23.6,False,1190.0,False,"000",1.0,1.0,"AA",1238.0,180.356,-16.776,71.476,19.095,1.695,-1.081,-1.547,-6.644,298.0,0.0
"HUNT23","2844","HSC 1430",93.44185,31.85775,180.4655,6.718,1.646,-1.623,-2.035,"hsc1430","UCC G180.4+06.7","Q3P","nan","nan",46.0,False,31.0,True,"100",0.08,0.54,"DB",27.0,180.654,6.582,93.376,31.761,1.647,-1.629,-2.045,-14.017,13.0,14.0
"CHI23_3","710","CWWDL 12523",90.194,30.3069,180.4896,3.5337,0.243,0.319,-1.467,"cwwdl12523","UCC G180.4+03.5","Q3P","nan","nan",5.8,False,42.0,True,"000",0.15,0.32,"DC",32.0,180.475,3.545,90.196,30.329,0.262,0.35,-1.451,27.932,2.0,0.0
"KHARCHENKO12;CANTAT20;DIAS21;HUNT23","2075;422;361;1564","FSR 0833",91.32,30.827,180.5097,4.6337,0.186,-0.036,-0.807,"fsr0833","UCC G180.5+04.6","Q3P","nan","nan",4.5,False,75.0,True,"010",0.81,0.5,"AB",69.0,180.493,4.638,91.314,30.848,0.19,-0.061,-0.798,"nan",0.0,0.0
"KHARCHENKO12;BICA19;CANTAT20;DIAS21;HUNT23","2040;1271;303;264;1361","Czernik 23;OCL 458;FSR 0834;MWSC 677",87.525,28.898,180.5396,0.8194,0.288,0.08,-1.794,"czernik23;ocl458;fsr0834;mwsc677","UCC G180.5+00.8","Q3P","nan","nan",2.3,False,164.0,True,"010",1.0,0.59,"AB",156.0,180.539,0.818,87.523,28.899,0.269,0.012,-1.782,17.933,7.0,1.0
"KHARCHENKO12;BICA19","1912;1270","FSR 0837;FSR 0835;MWSC 435;MWSC 434",73.4976,20.28027,180.5623,-14.5533,"nan","nan","nan","fsr0837;fsr0835;mwsc435;mwsc434","UCC G180.5-14.5","Q3N","nan","nan",8.8,False,102.0,True,"000",0.91,0.34,"AC",82.0,180.573,-14.522,73.505,20.277,0.174,0.572,-1.096,42.925,2.0,0.0
"KHARCHENKO12;BICA19;CANTAT20;HUNT23","2083;1272;335;1395","Teutsch J0609.3+3113;DC 8;MWSC 758",92.335,31.228,180.5762,5.5892,0.223,0.775,-1.309,"teutschj06093p3113;dc8;mwsc758","UCC G180.5+05.5","Q3P","nan","nan",1.6,False,92.0,False,"000",0.27,0.58,"CB",90.0,180.575,5.591,92.339,31.231,0.205,0.679,-1.206,14.866,2.0,1.0
"CHI23","10","LISC-III 1179",98.44799,33.83423,180.577,11.363,0.262,0.267,-1.774,"lisciii1179","UCC G180.5+11.3","Q3P","nan","nan",4.2,False,25.0,True,"010",0.7,0.32,"BC",0.0,180.581,11.334,98.416,33.817,0.268,0.33,-1.749,-28.797,1.0,0.0
"CHI23","47","LISC-III 3286",78.42394,23.50409,180.626,-8.961,0.926,1.463,-4.744,"lisciii3286","UCC G180.6-08.9","Q3N","nan","nan",8.9,False,25.0,True,"000",0.37,0.16,"CD",0.0,180.652,-8.944,78.444,23.52,0.896,1.334,-4.36,16.764,3.0,0.0
"KHARCHENKO12;BICA19","1948;1273","Platais 4;HIP 23784 Group;MWSC 467",76.7835,22.42832,180.6343,-10.8153,"nan","nan","nan","platais4;hip23784group;mwsc467","UCC G180.6-10.8","Q3N","nan","nan",5.1,False,35.0,True,"000",0.67,0.31,"BC",27.0,180.639,-10.875,76.75,22.391,0.108,0.857,-0.994,"nan",0.0,0.0
"HUNT23","2840","HSC 1421",85.05914,27.4542,180.6371,-1.7881,0.618,1.051,-2.084,"hsc1421","UCC G180.6-01.7","Q3N","nan","nan",10.1,False,39.0,True,"100",0.88,0.59,"AB",27.0,180.787,-1.791,85.079,27.339,0.622,1.055,-2.059,"nan",0.0,2.0
"KHARCHENKO12","2008","Dol-Dzim 3",83.392,26.469,180.6726,-3.5706,"nan","nan","nan","doldzim3","UCC G180.6-03.5","Q3N","nan","nan",7.8,False,112.0,True,"000",0.92,0.42,"AC",78.0,180.665,-3.574,83.386,26.479,0.177,0.227,-0.497,35.428,3.0,0.0
"CANTAT20;CASTRO20;DIAS21;HUNT23","1605;341;1283;5436","UBC 433",87.696,28.724,180.7658,0.8589,0.183,0.3,-0.202,"ubc433","UCC G180.7+00.8","Q3P","nan","nan",4.0,False,87.0,False,"000",0.9,0.73,"AB",73.0,180.758,0.858,87.696,28.728,0.226,0.244,-0.184,3.804,17.0,5.0
"HE23","1455","CWNU 2726",88.33129,29.03686,180.78,1.497,0.301,0.549,-1.257,"cwnu2726","UCC G180.7+01.4","Q3P","nan","nan",4.0,False,25.0,True,"000",0.13,0.29,"DC",0.0,180.774,1.498,88.342,29.059,0.289,0.549,-1.232,"nan",0.0,0.0
