"fname","N_clust","N_clust_max","Nbox","frame_limit"
cwnu1446,"nan",52,"nan","nan"
cwnu1447,"nan",52,"nan","nan"
cwnu1448,"nan",52,"nan","nan"
cwnu1449,"nan",52,"nan","nan"
cwnu145,"nan",48,"nan","nan"
cwnu1450,"nan",52,"nan","nan"
cwnu1451,"nan",52,"nan","nan"
cwnu1452,"nan",35,"nan","nan"
cwnu1453,"nan",51,"nan","nan"
cwnu1454,"nan",35,"nan","nan"
cwnu1455,"nan",51,"nan","nan"
cwnu1456,"nan",35,"nan","nan"
cwnu1457,"nan",35,"nan","nan"
cwnu1458,"nan",51,"nan","nan"
cwnu1459,"nan",60,"nan","nan"
cwnu146,"nan",140,"nan","nan"
cwnu1460,"nan",51,"nan","nan"
cwnu1461,"nan",33,"nan","nan"
cwnu1462,"nan",51,"nan","nan"
cwnu1463,"nan",51,"nan","nan"
cwnu1464,"nan",51,"nan","nan"
cwnu1465,"nan",51,"nan","nan"
cwnu1466,"nan",51,"nan","nan"
cwnu1467,"nan",51,"nan","nan"
cwnu1468,"nan",51,"nan","nan"
cwnu1469,"nan",88,"nan","nan"
cwnu147,"nan",62,"nan","nan"
cwnu1470,"nan",51,"nan","nan"
cwnu1471,"nan",51,"nan","nan"
cwnu1472,"nan",51,"nan","nan"
cwnu1473,"nan",51,"nan","nan"
cwnu1474,"nan",51,"nan","nan"
cwnu1475,"nan",33,"nan","nan"
cwnu1476,"nan",49,"nan","nan"
cwnu1477,"nan",33,"nan","nan"
cwnu1478,"nan",49,"nan","nan"
cwnu1479,"nan",49,"nan","nan"
cwnu148,"nan",59,"nan","nan"
cwnu1480,"nan",49,"nan","nan"
cwnu1481,"nan",49,"nan","nan"
cwnu1482,"nan",51,"nan","nan"
cwnu1483,"nan",33,"nan","nan"
cwnu1484,"nan",49,"nan","nan"
cwnu1485,"nan",33,"nan","nan"
cwnu1486,"nan",49,"nan","nan"
cwnu1487,"nan",49,"nan","nan"
cwnu1488,"nan",33,"nan","nan"
cwnu1489,"nan",49,"nan","nan"
cwnu149,"nan",57,"nan","nan"
cwnu1490,"nan",49,"nan","nan"
cwnu1491,"nan",49,"nan","nan"
cwnu1492,"nan",49,"nan","nan"
cwnu1493,"nan",49,"nan","nan"
cwnu1494,"nan",49,"nan","nan"
cwnu1495,"nan",49,"nan","nan"
cwnu1496,"nan",33,"nan","nan"
cwnu1497,"nan",49,"nan","nan"
cwnu1498,"nan",49,"nan","nan"
cwnu1499,"nan",49,"nan","nan"
cwnu15,"nan",80,"nan","nan"
cwnu150,"nan",89,"nan","nan"
cwnu1500,"nan",33,"nan","nan"
cwnu1501,"nan",49,"nan","nan"
cwnu1502,"nan",49,"nan","nan"
cwnu1503,"nan",48,"nan","nan"
cwnu1504,"nan",48,"nan","nan"
cwnu1505,"nan",48,"nan","nan"
cwnu1506,"nan",33,"nan","nan"
cwnu1507,"nan",48,"nan","nan"
cwnu1508,"nan",48,"nan","nan"
cwnu1509,"nan",33,"nan","nan"
cwnu151,"nan",57,"nan","nan"
cwnu1510,"nan",48,"nan","nan"
cwnu1511,"nan",33,"nan","nan"
cwnu1512,"nan",48,"nan","nan"
cwnu1513,"nan",48,"nan","nan"
cwnu1514,"nan",48,"nan","nan"
cwnu1515,"nan",33,"nan","nan"
cwnu1516,"nan",48,"nan","nan"
cwnu1517,"nan",33,"nan","nan"
cwnu1518,"nan",48,"nan","nan"
cwnu1519,"nan",48,"nan","nan"
cwnu152,"nan",49,"nan","nan"
cwnu1520,"nan",33,"nan","nan"
cwnu1521,"nan",48,"nan","nan"
cwnu1522,"nan",33,"nan","nan"
cwnu1523,"nan",33,"nan","nan"
cwnu1524,"nan",33,"nan","nan"
cwnu1525,"nan",48,"nan","nan"
cwnu1526,"nan",48,"nan","nan"
cwnu1527,"nan",33,"nan","nan"
cwnu1528,"nan",48,"nan","nan"
cwnu1529,"nan",48,"nan","nan"
cwnu153,"nan",65,"nan","nan"
cwnu1530,"nan",48,"nan","nan"
cwnu1531,"nan",48,"nan","nan"
cwnu1532,"nan",32,"nan","nan"
cwnu1533,"nan",48,"nan","nan"
cwnu1534,"nan",48,"nan","nan"
cwnu1535,"nan",48,"nan","nan"
cwnu1536,"nan",32,"nan","nan"
cwnu1537,"nan",46,"nan","nan"
cwnu1538,"nan",32,"nan","nan"
cwnu1539,"nan",32,"nan","nan"
cwnu154,"nan",140,"nan","nan"
cwnu1540,"nan",57,"nan","nan"
cwnu1541,"nan",46,"nan","nan"
cwnu1542,"nan",46,"nan","nan"
cwnu1543,"nan",46,"nan","nan"
cwnu1544,"nan",32,"nan","nan"
cwnu1545,"nan",32,"nan","nan"
cwnu1546,"nan",46,"nan","nan"
cwnu1547,"nan",32,"nan","nan"
cwnu1548,"nan",46,"nan","nan"
cwnu1549,"nan",68,"nan","nan"
cwnu155,"nan",70,"nan","nan"
cwnu1550,"nan",46,"nan","nan"
