"Name","logAge","e_logAge","Dist","e_Dist","Z","e_Z","E(B-V)","e_E(B-V)","Rv","e_Rv","_RA","_DE","plx","e_plx","RV","e_RV","Nc","sigRA","e_sigRA","sigDE","e_sigDE","pmRA","e_pmRA","pmDE","e_pmDE"
"COIN-Gaia 15,COIN_15",8.219,0.274,1.429,0.068,0.028,0.007,0.477,0.052,2.421,0.135,76.09,35.831,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 16,COIN_16",7.2,0.051,1.9,0.145,0.022,0.007,0.253,0.009,3.14,0.082,80.179,37.438,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 17,COIN_17",8.425,0.288,1.253,0.126,0.018,0.007,0.418,0.032,2.668,0.213,81.244,37.558,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 18,COIN_18",8.078,0.078,1.189,0.038,0.027,0.005,0.374,0.026,2.402,0.174,78.408,35.498,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 19,COIN_19",8.166,0.128,1.303,0.154,0.022,0.014,0.323,0.03,2.468,0.132,82.188,34.29,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 20,COIN_20",7.83,0.278,1.173,0.149,0.04,0.007,0.314,0.106,2.408,0.293,78.634,31.691,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 21,COIN_21",7.24,0.059,1.593,0.14,0.018,0.008,0.462,0.052,2.546,0.302,84.766,28.402,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 22,COIN_22",8.297,0.038,2.008,0.093,0.015,0.002,0.456,0.038,2.466,0.175,91.06,31.602,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 23,COIN_23",7.911,0.2,1.03,0.063,0.015,0.007,0.271,0.024,2.263,0.213,87.449,27.008,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 24,COIN_24",8.482,0.298,1.149,0.082,0.02,0.005,0.392,0.042,2.223,0.154,90.693,23.203,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 25,COIN_25",8.746,0.063,0.864,0.053,0.022,0.004,0.2,0.029,2.502,0.07,91.691,20.276,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 26,COIN_26",8.136,0.026,1.56,0.135,0.019,0.01,0.463,0.028,2.901,0.207,83.771,15.721,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 27,COIN_27",8.723,0.071,1.002,0.042,0.057,0.006,0.346,0.04,2.535,0.269,85.76,13.743,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 28,COIN_28",7.778,0.107,1.523,0.169,0.007,0.005,0.273,0.049,3.082,0.523,96.333,11.159,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 29,COIN_29",7.882,0.05,4.089,0.24,0.058,0.007,0.718,0.045,2.394,0.142,15.548,63.648,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 30,COIN_30",8.187,0.234,0.798,0.035,0.026,0.007,0.453,0.035,2.815,0.215,21.08,70.574,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 31,COIN_31",6.807,0.271,1.909,0.725,0.04,0.008,0.064,0.306,2.114,0.496,21.307,61.135,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 32,COIN_32",8.242,0.065,1.34,0.144,0.032,0.018,0.384,0.06,2.616,0.325,28.194,63.066,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 33,COIN_33",6.781,0.065,10.486,0.659,0.042,0.004,0.739,0.078,3.391,0.312,30.276,61.475,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 34,COIN_34",7.983,0.54,1.048,0.126,0.022,0.01,0.54,0.116,2.526,0.427,31.231,61.776,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 35,COIN_35",8.273,0.23,3.454,0.34,0.032,0.01,0.725,0.052,2.992,0.24,33.472,60.039,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 36,COIN_36",7.602,0.076,2.959,0.294,0.044,0.007,0.867,0.114,2.335,0.349,36.256,59.975,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 37,COIN_37",7.928,0.288,1.047,0.089,0.02,0.012,0.663,0.13,2.144,0.591,45.377,58.329,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 38,COIN_38",8.273,0.248,1.31,0.108,0.04,0.011,0.691,0.076,2.398,0.18,51.472,51.072,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 39,COIN_39",7.555,0.091,1.082,0.017,0.018,0.001,0.388,0.044,2.074,0.203,69.612,42.95,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 40,COIN_40",7.823,0.108,2.175,0.385,0.014,0.013,0.398,0.024,2.271,0.12,81.874,33.526,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
"COIN-Gaia 41,COIN_41",7.386,0.088,1.692,0.207,0.034,0.012,0.567,0.116,2.389,0.111,89.832,19.028,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan"
