"Cluster","RA_ICRS","DE_ICRS","kind","plx","e_plx","CMDclass","Quality","logAge16","logAge50","logAge84","[Fe/H]16","[Fe/H]50","[Fe/H]84","AV16","AV50","AV84","dMod16","dMod50","dMod84","X","Y","Z","Rgc"
"Aveni-Hunter 1",354.35415966084,47.16208595124,"o",2.374,0.032,0.45,0,6.66,6.74,6.83,-0.22,-0.14,-0.05,0.76,0.83,0.92,8.04,8.17,8.3,-0.143813742962678,0.392567601800379,-0.061131622923997,8.275
"BDSB 124",280.78715158922,-3.6540387946,"o",0.291,0.03,0.33,0,7.9,8.01,8.12,0.2,0.35,0.49,4.91,5.01,5.09,12.5,12.74,13.0,3.09691277627721,1.69797618199312,0.0444720771863665,5.304
"BDSB 30",333.87592621979,61.47554464734,"o",1.129,0.032,0.37,3,6.76,6.98,7.17,-0.61,-0.36,-0.12,2.66,2.87,3.06,10.35,10.83,11.19,-0.388044833839846,1.40940383969824,0.145579934208181,8.626
"BDSB 82",93.69989776099,12.34538782083,"o",0.254,0.031,0.22,0,8.21,8.34,8.48,0.23,0.43,0.59,2.19,2.31,2.41,12.59,12.91,13.17,-3.63436551254866,-1.1652237361338,-0.105335269755849,11.814
"BDSB 91",96.33960655863,-10.53632149346,"o",1.09,0.038,0.74,3,7.58,7.96,8.26,-0.18,0.09,0.35,1.28,1.46,1.66,10.47,10.8,11.18,-1.09777632220772,-0.903236242664076,-0.219721813866028,9.264
"BDSB 93",104.41849429308,-8.38407514622,"o",0.726,0.029,0.47,3,7.61,7.91,8.24,0.24,0.53,0.82,0.56,0.74,0.93,10.16,10.49,10.91,-0.943497902409462,-0.823125175665549,-0.0092841718337288,9.103
"BDSB 96",106.4581880636,-12.56675971428,"o",0.864,0.037,0.81,1,6.66,6.81,6.98,-0.39,-0.22,-0.07,0.7,0.82,0.96,9.97,10.27,10.58,-0.789538102341856,-0.810282477833141,-0.006984113567592,8.948
"VDBH 110, BH 110",166.75543784211,-61.49603958272,"o",0.106,0.023,0.07,1,8.03,8.19,8.35,-0.05,0.18,0.39,2.39,2.55,2.71,13.34,13.66,14.1,1.91598641175736,-5.04225773578063,-0.0675157008582079,7.996
"VDBH 111, BH 111",167.32641631946,-63.84367465737,"o",0.368,0.022,1.0,0,8.57,8.66,8.75,-0.31,-0.16,-0.01,1.34,1.41,1.48,11.58,11.75,11.9,0.835676294553857,-2.0730924692599,-0.0842951737853918,7.576
"VDBH 118, BH 118",170.7413443087,-58.55369662656,"o",0.104,0.029,0.76,0,9.15,9.28,9.41,-0.99,-0.81,-0.62,2.15,2.29,2.45,13.88,14.27,14.59,2.62808002647309,-6.63787698016282,0.328696777120648,8.617
"VDBH 131, BH 131",186.48102008371,-63.40865803378,"o",0.127,0.025,0.03,2,7.94,8.06,8.19,-0.13,0.01,0.19,3.98,4.1,4.22,13.2,13.5,13.8,2.51177846675009,-4.33654732239588,-0.0241599101209978,7.091
"VDBH 132, BH 132",186.73636110608,-64.0558037383,"o",0.373,0.024,0.57,0,8.37,8.49,8.63,-0.03,0.13,0.28,1.55,1.66,1.79,11.5,11.73,11.99,1.11728594483799,-1.91552893628281,-0.0120272612603541,7.262
"VDBH 144, BH 144",198.8351498468,-65.92334472624,"o",0.042,0.018,0.08,1,9.36,9.53,9.71,-0.54,-0.3,-0.04,1.4,1.59,1.82,13.56,13.99,14.36,3.62910153633555,-5.11358811829861,-0.314436678270216,6.807
"VDBH 150, BH 150",204.48093964621,-63.35244288668,"o",0.217,0.027,0.14,0,8.12,8.29,8.44,-0.19,0.02,0.18,4.25,4.42,4.56,11.81,12.18,12.49,1.68415934756649,-2.14675628639383,-0.007939767578002,6.786
"VDBH 151, BH 151",205.03853222844,-61.73294371222,"o",0.25,0.024,0.12,2,7.03,7.21,7.36,0.57,0.82,1.04,4.32,4.49,4.65,11.67,12.13,12.54,1.66620756742614,-2.08216881202317,0.0650365409341701,6.783
"VDBH 164, BH 164",222.13760646455,-66.45506703032,"o",2.388,0.034,0.99,0,7.02,7.1,7.18,-0.21,-0.13,-0.04,0.7,0.75,0.83,8.07,8.2,8.32,0.302802353059976,-0.310773553862998,-0.0062825008676725,7.825
"VDBH 19, BH 19",121.75594996702,-32.35918577585,"o",0.211,0.019,0.96,0,7.88,7.98,8.08,-0.35,-0.2,-0.06,2.82,2.89,2.97,13.05,13.25,13.48,-1.53653935978337,-4.19423250964984,0.0429235594178582,10.53
"VDBH 200, BH 200",252.47907619241,-44.18591504502,"o",0.417,0.034,1.0,0,8.58,8.67,8.74,0.19,0.32,0.44,2.16,2.24,2.32,11.17,11.34,11.5,1.7541206399692,-0.598925585372008,0.0462733263743544,6.396
"VDBH 202, BH 202",253.78326711306,-40.94659327053,"o",0.57,0.032,1.0,0,8.72,8.79,8.88,-0.12,0.02,0.14,1.92,2.0,2.08,10.66,10.81,10.98,1.39725324629303,-0.393734306825577,0.0784678602612966,6.736
"VDBH 211, BH 211",255.51784676374,-41.12430744264,"o",0.57,0.034,0.79,0,8.73,8.83,8.93,-0.43,-0.25,-0.05,2.71,2.85,2.97,10.47,10.71,10.91,1.33909349559677,-0.360461479732197,0.0492935287921976,6.792
"VDBH 217, BH 217",259.06976967811,-40.81652570796,"o",0.326,0.038,0.62,0,7.82,7.92,8.05,0.28,0.41,0.55,4.22,4.3,4.4,11.88,12.11,12.34,2.57132401468929,-0.604106830840359,-0.0346152027824358,5.583
"VDBH 221, BH 221",259.62723872847,-32.36004864919,"o",0.905,0.038,0.8,0,6.71,6.83,6.99,-0.36,-0.2,-0.01,1.22,1.33,1.44,9.6,9.85,10.1,0.926915876179436,-0.0983236713835158,0.08820877714617,7.196
"VDBH 222, BH 222",259.65730993292,-38.4329641509,"o",0.428,0.041,0.24,0,6.83,7.01,7.17,-0.67,-0.48,-0.27,3.82,3.96,4.09,10.62,10.98,11.31,1.54136975370131,-0.299977620744712,0.023875687344864,6.587
"VDBH 23, BH 23",123.30951420365,-35.22772091168,"o",2.297,0.027,1.0,0,6.83,6.9,6.98,-0.32,-0.25,-0.17,0.52,0.6,0.69,8.07,8.2,8.33,-0.127691098041458,-0.417398158270951,0.0379902601521623,8.26
"VDBH 231, BH 231",262.96440550811,-31.93110068247,"o",0.326,0.043,0.04,2,6.94,7.12,7.33,-0.86,-0.63,-0.39,4.42,4.61,4.82,11.28,11.71,12.24,2.19202418730066,-0.157729905826101,0.070857870626327,5.932
"VDBH 245, BH 245",266.56551491514,-29.70056678868,"o",0.322,0.053,0.2,1,6.68,6.88,7.06,0.04,0.25,0.48,5.38,5.56,5.76,11.44,11.86,12.28,2.35479715221538,-0.0238357725572924,0.0143091316852527,5.767
"VDBH 37, BH 37",128.94711458677,-43.60794463511,"o",0.253,0.02,0.98,0,8.25,8.34,8.43,0.39,0.53,0.66,3.47,3.55,3.64,12.59,12.8,13.01,-0.483789061942119,-3.59666504776987,-0.0701599758099108,9.327
"VDBH 54, BH 54",132.38607174156,-44.36254072192,"o",0.435,0.023,0.59,0,6.68,6.8,6.92,0.43,0.59,0.76,2.6,2.72,2.82,11.46,11.72,11.99,-0.213043966992865,-2.19767238276502,0.0305583465702184,8.62
"VDBH 55, BH 55",134.03017578965,-39.50273864455,"o",0.218,0.022,0.31,0,9.05,9.12,9.2,-0.55,-0.41,-0.27,2.1,2.2,2.28,12.42,12.61,12.78,-0.489560767249314,-3.28309314482142,0.260326813310406,9.216
"VDBH 56, BH 56",134.40658369606,-43.13094759662,"o",1.103,0.028,0.97,0,6.63,6.73,6.84,-0.22,-0.12,-0.01,0.98,1.06,1.13,9.6,9.8,9.98,-0.0879794209950741,-0.907387094502797,0.0674334306311311,8.26
"VDBH 66, BH 66",141.33171150966,-54.72615077833,"o",0.119,0.021,0.27,0,8.83,8.93,9.02,-0.4,-0.21,-0.02,1.67,1.78,1.91,13.09,13.34,13.56,0.486368867198181,-4.6238635112699,-0.204161082013799,8.927
"VDBH 67, BH 67",141.69112067323,-51.26783028393,"o",0.118,0.01,0.97,1,8.66,8.84,9.03,0.44,0.7,0.95,3.18,3.37,3.58,14.25,14.73,15.22,0.579170905103137,-8.81158850326893,-0.0176538141524237,11.599
"VDBH 72, BH 72",142.85254068356,-53.02840080189,"o",0.176,0.023,0.97,0,8.11,8.2,8.3,0.16,0.32,0.45,2.79,2.87,2.97,13.06,13.29,13.55,0.434959855263071,-4.52808039532664,-0.0518586234883152,8.922
"VDBH 73, BH 73",142.97362069407,-50.22825999647,"o",0.155,0.018,0.98,0,8.71,8.79,8.87,-0.25,-0.14,-0.02,3.48,3.56,3.64,13.37,13.55,13.72,0.325512038461607,-5.11759994086144,0.124726503906374,9.326
"VDBH 75, BH 75",144.23654307916,-54.59379955402,"o",0.399,0.023,0.94,0,8.38,8.47,8.54,0.25,0.38,0.52,1.46,1.54,1.62,11.58,11.75,11.93,0.278352022762089,-2.22025855115761,-0.0281085374011137,8.152
"VDBH 78, BH 78",145.96177000206,-56.5785709168,"o",0.114,0.018,0.2,0,8.57,8.68,8.79,-0.21,-0.05,0.13,3.17,3.3,3.44,13.26,13.52,13.81,0.806680636621714,-4.98807958934442,-0.191273784009867,8.854
"VDBH 79, BH 79",146.14741842262,-53.28163252355,"o",0.288,0.023,0.97,0,8.07,8.18,8.3,0.0,0.18,0.35,3.2,3.29,3.38,12.07,12.32,12.56,0.361467813888326,-2.88818736682309,0.0387453683236102,8.281
"VDBH 84, BH 84",150.35386469487,-58.21977012925,"o",0.228,0.023,0.73,0,8.7,8.78,8.86,0.14,0.3,0.47,2.49,2.58,2.68,12.57,12.8,13.0,0.758009471742021,-3.54740710643394,-0.113100434030448,8.174
"VDBH 85, BH 85",150.47576100043,-49.56816002882,"o",0.136,0.022,0.23,0,9.35,9.5,9.63,-0.51,-0.31,-0.12,1.53,1.67,1.81,12.43,12.73,13.01,0.422976724925999,-3.47901569438073,0.319156036107821,8.449
"VDBH 87, BH 87",151.19313219485,-55.37541215082,"o",0.431,0.025,0.9,0,8.11,8.24,8.4,0.25,0.39,0.53,1.67,1.74,1.82,11.65,11.87,12.06,0.440873144903942,-2.32447985997956,0.0464733167867378,8.025
"VDBH 88, BH 88",151.57384984329,-51.52564639129,"o",0.538,0.017,0.67,0,8.5,8.58,8.66,0.28,0.41,0.57,1.36,1.44,1.53,11.14,11.31,11.47,0.274754777998254,-1.80414942637634,0.148929839257982,8.052
"VDBH 90, BH 90",153.08138840053,-58.06709331979,"o",0.375,0.022,0.99,0,8.23,8.36,8.44,-0.04,0.09,0.21,1.78,1.85,1.92,11.53,11.7,11.91,0.497257470286349,-2.12976047822719,-0.0148156355296735,7.917
"VDBH 92, BH 92",154.78422671551,-56.4152408272,"o",0.379,0.022,0.95,0,8.13,8.23,8.33,0.39,0.53,0.67,1.61,1.68,1.75,11.9,12.1,12.27,0.591072090811305,-2.56293296489977,0.0602974452152222,7.955
"VDBH 99, BH 99",159.57137410384,-59.13881308467,"o",2.23,0.031,0.99,0,7.12,7.24,7.36,-0.01,0.08,0.2,0.42,0.5,0.57,8.19,8.35,8.53,0.133470765168995,-0.448268399062215,0.0366736807791848,8.001
"Barkhatova 1",313.40757344705,46.03409498772,"o",0.484,0.021,0.96,0,7.73,7.83,7.92,0.21,0.35,0.49,2.12,2.18,2.24,11.55,11.71,11.88,0.14537417204617,2.1928328605904,0.0723596986493302,8.273
"Basel 1",282.03357176053,-5.88311456017,"o",0.524,0.033,1.0,0,7.79,7.95,8.09,-0.32,-0.09,0.16,2.11,2.21,2.32,10.9,11.17,11.45,1.52179350670454,0.786139418402602,-0.0205293132264194,6.647
"Basel 10",34.88253670499,58.29140100038,"o",0.441,0.027,1.0,0,8.11,8.22,8.32,0.22,0.35,0.48,2.3,2.35,2.41,11.58,11.73,11.9,-1.54812650868562,1.58559716985359,-0.0558618845400657,9.799
"Basel 11A",109.31400417894,-13.98658645245,"o",0.716,0.032,1.0,0,7.89,7.98,8.09,0.03,0.13,0.28,0.43,0.49,0.56,10.48,10.64,10.8,-0.893344613916366,-1.00233236971304,0.02625806075238,9.071
"Basel 11B",89.53173585932,21.95916705376,"o",0.562,0.04,1.0,0,8.44,8.51,8.58,0.0,0.15,0.27,1.73,1.81,1.87,10.98,11.15,11.3,-1.68367005515444,-0.219866247698364,0.0123460157951196,9.808
"Basel 13",318.32021571863,46.55447255047,"o",0.256,0.019,0.06,2,7.6,7.72,7.86,-0.09,0.05,0.24,3.32,3.47,3.6,12.71,13.05,13.35,0.0810040577265205,4.07181945682841,-0.0563695983253627,9.013
"Basel 17",167.6072712563,-59.04360611771,"o",0.455,0.023,1.0,0,7.39,7.47,7.54,0.39,0.58,0.72,0.78,0.84,0.91,11.66,11.88,12.11,0.822703929347384,-2.2293060214851,0.094197321338723,7.632
"Basel 18",201.98336173352,-62.37302052033,"o",0.544,0.017,1.0,0,7.79,7.96,8.14,-0.47,-0.31,-0.14,0.59,0.69,0.79,10.7,10.92,11.16,0.922507157963841,-1.21757094229596,0.0445572688914434,7.302
"Basel 4",87.24226842732,30.19564945799,"o",0.299,0.031,1.0,0,8.6,8.66,8.72,-0.41,-0.29,-0.17,1.53,1.58,1.64,11.8,11.92,12.09,-2.4200761113077,0.0295833107023518,0.101676414791921,10.542
"Basel 8",98.58575074746,7.99023597801,"o",0.65,0.035,1.0,0,8.17,8.3,8.41,0.33,0.54,0.69,0.7,0.78,0.88,10.64,10.83,11.05,-1.34008500422971,-0.593237951697224,0.0416648512177564,9.481
"Berkeley 1",2.46516927503,60.4769155337,"o",0.241,0.02,1.0,0,8.32,8.43,8.55,-0.46,-0.27,-0.05,1.69,1.78,1.88,12.02,12.23,12.47,-1.303051790022,2.46811505834197,-0.0516511940153295,9.743
"Berkeley 10",54.89460343168,66.48807351958,"o",0.396,0.024,0.98,0,8.48,8.55,8.62,-0.07,0.04,0.19,3.06,3.14,3.21,11.81,11.99,12.18,-1.85253342248137,1.63309228279647,0.43244237386747,10.107
"Berkeley 100",351.50177191876,63.78402094049,"o",0.172,0.02,0.27,1,8.35,8.45,8.56,-0.48,-0.35,-0.22,3.52,3.6,3.68,13.44,13.68,13.9,-2.18293381629536,4.98254259790648,0.28090488559787,11.446
"Berkeley 101",353.21014228292,64.2031752026,"o",0.196,0.023,0.97,0,8.78,8.86,8.92,0.02,0.12,0.25,2.98,3.06,3.14,12.55,12.71,12.87,-1.44303903959796,3.16619895808791,0.204799646105832,10.075
"Berkeley 102",354.63946399154,56.63040678698,"o",0.095,0.022,0.2,0,9.47,9.56,9.64,-0.11,0.04,0.19,1.08,1.21,1.31,14.23,14.47,14.73,-3.05106027500499,7.18626889978392,-0.610019897580295,13.285
"Berkeley 103",356.30156885335,59.29712372119,"o",0.155,0.021,0.3,1,8.4,8.52,8.6,-0.55,-0.4,-0.26,3.13,3.26,3.38,13.86,14.1,14.4,-2.74394472322743,6.00363046265549,-0.238802716246236,12.414
"Berkeley 104",0.88661849587,63.59415925031,"o",0.212,0.022,0.85,0,8.84,8.95,9.04,-0.31,-0.09,0.08,1.76,1.89,2.02,12.27,12.51,12.75,-1.47312343333512,2.81376806215055,0.112783092509413,9.999
"Berkeley 11",65.13502456061,44.93451106882,"o",0.355,0.034,0.97,0,8.08,8.15,8.24,0.27,0.44,0.57,2.6,2.65,2.72,12.07,12.25,12.39,-2.59070628693401,1.09624268183693,-0.130554764047448,10.769
"Berkeley 12",71.10980976537,42.69530864754,"o",0.229,0.031,0.95,0,9.0,9.08,9.16,-0.15,-0.02,0.09,2.49,2.57,2.66,12.71,12.88,13.04,-3.5734135068907,1.1857685616539,-0.0810935019846926,11.755
"Berkeley 13",73.94001042308,52.79850451693,"o",0.23,0.032,0.9,0,8.8,8.86,8.93,-0.46,-0.35,-0.22,2.41,2.48,2.55,12.42,12.58,12.76,-2.95867250511664,1.37528703035788,0.387052059397385,11.166
"Berkeley 14",74.93063703443,43.48907232316,"o",0.194,0.029,0.99,0,9.35,9.44,9.52,-0.28,-0.16,-0.04,1.46,1.54,1.62,12.79,12.96,13.15,-3.73326082726267,1.155552381742,0.095674096601006,11.911
"Berkeley 14A",75.1367876509,43.56448870548,"o",0.887,0.032,1.0,0,7.11,7.23,7.36,-0.34,-0.2,-0.02,1.08,1.17,1.26,10.08,10.25,10.45,-1.07186055622221,0.331107432839019,0.0603385008109785,9.2
"Berkeley 15",75.50676472154,44.49757484558,"o",0.342,0.031,0.96,0,7.52,7.62,7.72,0.29,0.45,0.62,2.99,3.04,3.11,12.16,12.34,12.52,-2.7966462727996,0.894682005925839,0.130764112732502,10.955
"Berkeley 17",80.12710931907,30.56899884304,"o",0.299,0.033,0.72,0,9.76,9.81,9.87,-0.05,0.06,0.15,1.65,1.72,1.78,12.26,12.42,12.56,-3.03334900674119,0.230148412269036,-0.146356907373368,11.158
"Berkeley 18",80.54043979192,45.44057063979,"o",0.165,0.037,0.2,0,9.4,9.49,9.58,-0.22,-0.07,0.07,1.48,1.57,1.67,13.4,13.59,13.79,-4.9907174384633,1.46977199098088,0.512791815507943,13.195
"Berkeley 19",81.02357629429,29.57686188888,"o",0.132,0.035,0.28,0,9.6,9.69,9.78,-0.27,-0.12,0.02,0.92,1.0,1.09,13.08,13.36,13.56,-4.68359725433692,0.251983984092513,-0.241629016336922,12.808
"Berkeley 2",6.3210615058,60.3937632301,"o",0.131,0.02,0.67,0,9.07,9.16,9.25,-0.26,-0.12,0.04,2.06,2.16,2.26,13.18,13.41,13.63,-2.38119505545439,4.17313688379787,-0.146441796141671,11.302
"Berkeley 20",83.14231974798,0.17697140804,"o",0.116,0.04,0.75,1,9.63,9.79,9.95,-0.96,-0.72,-0.46,1.18,1.35,1.55,12.56,13.02,13.49,-3.51963408254996,-1.52816556559257,-1.15015669229838,11.742
"Berkeley 21",87.93637740123,21.80813404553,"o",0.145,0.054,0.13,0,9.23,9.32,9.41,-0.55,-0.38,-0.18,1.92,2.05,2.18,13.6,13.87,14.18,-5.89588072228305,-0.705442890325303,-0.201183350448025,14.036
"Berkeley 22",89.61721016724,7.75310262706,"o",0.148,0.039,0.12,0,9.37,9.46,9.56,-0.44,-0.26,-0.12,1.39,1.52,1.65,13.68,13.97,14.27,-5.79623370122076,-2.09534856216193,-0.817844601456071,14.075
"Berkeley 23",98.31015677656,20.53160325014,"o",0.184,0.043,0.98,0,9.27,9.35,9.44,-0.63,-0.49,-0.32,1.15,1.26,1.36,12.73,12.92,13.1,-3.72726319484189,-0.832999540277342,0.411123102049644,11.879
"Berkeley 24",99.45319217407,-0.87109447712,"o",0.185,0.031,0.93,0,9.19,9.25,9.31,-0.25,-0.14,-0.01,1.83,1.92,2.0,13.1,13.28,13.43,-3.82813353541031,-2.40596279759037,-0.219464212682601,12.19
"Berkeley 25",100.31830299953,-16.4894657155,"o",0.103,0.029,0.17,0,9.51,9.62,9.72,-0.74,-0.56,-0.36,1.04,1.18,1.32,13.68,14.0,14.29,-4.27559447277693,-4.52094688369766,-1.00282351680893,13.196
"Berkeley 27",102.8474693657,5.7682317574,"o",0.216,0.047,0.98,0,9.22,9.3,9.37,-0.87,-0.76,-0.63,1.59,1.69,1.79,12.41,12.58,12.75,-2.89911307176987,-1.52805052616372,0.198770903563043,11.127
"Berkeley 28",103.03338597126,2.91418780752,"o",0.221,0.034,0.99,0,8.67,8.77,8.86,-0.67,-0.52,-0.34,1.92,2.01,2.1,12.1,12.31,12.54,-2.49750111683595,-1.46640145040466,0.122974356281974,10.72
"Berkeley 29",103.27297620147,16.93388411903,"o",0.047,0.029,0.12,0,9.76,9.87,9.98,-0.62,-0.44,-0.23,0.29,0.43,0.55,14.37,14.74,15.06,-8.35485747456399,-2.70694997988815,1.29575800854677,16.698
"Berkeley 30",104.40204532462,3.26100988876,"o",0.178,0.037,0.98,0,8.79,8.88,8.96,-0.71,-0.58,-0.45,1.52,1.6,1.69,12.34,12.55,12.74,-2.77765220613851,-1.6514878824762,0.210044401122367,11.024
"Berkeley 31",104.40712605054,8.28834681379,"o",0.127,0.035,0.02,0,9.48,9.59,9.7,-0.58,-0.41,-0.25,0.4,0.52,0.64,12.96,13.24,13.53,-3.97114379511324,-1.95777514420925,0.449789061273085,12.251
"Berkeley 32",104.53293205598,6.43685688734,"o",0.275,0.035,0.98,0,9.65,9.71,9.77,-0.28,-0.16,-0.04,0.42,0.49,0.56,12.05,12.2,12.32,-2.42512462214607,-1.28718104258134,0.25973321461294,10.625
"Berkeley 33",104.46066857284,-13.23102484636,"o",0.176,0.027,1.0,0,8.39,8.47,8.56,-0.3,-0.16,0.0,1.96,2.03,2.11,12.95,13.13,13.32,-2.95628656792664,-3.00256084082284,-0.289634657780806,11.478
"Berkeley 34",105.10007276058,-0.23485615193,"o",0.148,0.043,0.15,2,8.56,8.74,8.94,-0.44,-0.22,0.0,1.6,1.8,1.99,12.96,13.41,13.82,-3.97606852625181,-2.69868962381351,0.210091820786558,12.395
"Berkeley 35",107.48193031353,2.72917680042,"o",0.176,0.029,0.98,0,9.17,9.28,9.39,-0.6,-0.39,-0.21,0.31,0.41,0.54,12.31,12.56,12.81,-2.72576543659136,-1.74408969630701,0.352057423715912,10.987
"Berkeley 36",109.08657387019,-13.20052677175,"o",0.215,0.035,0.17,1,9.13,9.26,9.38,-0.19,-0.03,0.13,1.51,1.63,1.73,12.55,12.76,12.99,-2.40842826394443,-2.62758186862772,0.0116069857987328,10.853
"Berkeley 37",110.07521387081,-1.0034877221,"o",0.182,0.039,1.0,0,9.0,9.12,9.21,-0.95,-0.8,-0.66,0.46,0.57,0.68,12.28,12.51,12.75,-2.51818325633871,-1.9073929720332,0.377754517776299,10.81
"Berkeley 39",116.69711784288,-4.66365265649,"o",0.228,0.026,0.95,0,9.76,9.84,9.92,-0.68,-0.55,-0.41,0.63,0.72,0.84,12.36,12.57,12.78,-2.3297812960936,-2.21453309067656,0.619353764197134,10.684
"Berkeley 4",11.29299857809,64.3970345343,"o",0.306,0.022,0.99,0,6.95,7.02,7.09,0.17,0.35,0.5,2.24,2.29,2.35,12.59,12.8,13.01,-1.93671721870051,3.06939088739491,0.143728426217487,10.517
"Berkeley 43",288.85988483221,11.26964267531,"o",0.243,0.03,0.25,3,7.03,7.17,7.32,0.53,0.68,0.83,5.41,5.58,5.73,12.84,13.17,13.47,3.0078950487327,3.08022067427526,0.0247349226797752,5.97
"Berkeley 44",289.31112254928,19.55094644917,"o",0.338,0.025,0.71,0,8.84,8.91,8.98,-0.26,-0.14,-0.01,3.85,3.93,4.0,12.16,12.31,12.49,1.73235888512081,2.31657436940033,0.206245156425678,6.797
"Berkeley 45",289.77022873782,15.71252064346,"o",0.254,0.029,0.96,0,8.28,8.39,8.5,-0.32,-0.17,-0.04,3.87,3.99,4.08,12.16,12.4,12.65,1.9400269729746,2.31371954913684,0.0982473812723584,6.601
"Berkeley 47",292.1336383464,17.35544854397,"o",0.403,0.03,0.96,0,7.08,7.23,7.39,-0.62,-0.32,-0.05,4.29,4.43,4.57,11.04,11.4,11.82,1.15887342333818,1.51255847166385,0.0369593043538295,7.126
"Berkeley 49",299.86829771052,34.62852962287,"o",0.306,0.022,0.18,1,7.7,7.8,7.9,-0.08,0.09,0.25,4.14,4.22,4.31,12.4,12.64,12.83,1.09935562848841,3.18522568149737,0.19021351813385,7.711
"Berkeley 50",302.49427309704,34.96590491546,"o",0.236,0.022,0.96,0,7.95,8.07,8.2,0.52,0.67,0.83,2.82,2.92,3.02,12.81,13.09,13.38,1.25451509378165,3.95484800507828,0.105800549501002,7.925
"Berkeley 51",302.99536944516,34.38978508393,"o",0.155,0.024,0.04,1,7.89,8.01,8.13,-0.42,-0.25,-0.1,5.17,5.31,5.43,12.63,12.95,13.28,1.19281720798678,3.70305661223754,0.056925052770116,7.857
"Berkeley 52",303.62776020406,28.94146839476,"o",0.145,0.02,0.77,0,9.32,9.4,9.5,-0.02,0.18,0.34,4.04,4.16,4.28,13.1,13.34,13.57,1.7486376183204,4.30700273669788,-0.221322230631566,7.692
"Berkeley 53",313.98345775488,51.06124478919,"o",0.248,0.017,0.56,1,8.55,8.65,8.73,0.13,0.27,0.42,4.83,4.97,5.1,12.8,13.05,13.32,-0.0208681686863307,4.06498347433181,0.308698923641977,9.101
"Berkeley 54",315.73700026817,40.42917812044,"o",0.14,0.023,0.18,0,9.27,9.34,9.42,-0.49,-0.31,-0.17,2.56,2.66,2.77,13.87,14.06,14.23,0.77953568773407,6.42220821989815,-0.427729365875426,9.755
"Berkeley 55",319.22996040793,51.76380296159,"o",0.325,0.026,0.13,1,7.56,7.67,7.78,-0.13,0.01,0.15,5.07,5.17,5.27,12.16,12.36,12.64,-0.156122539954144,2.95922832418564,0.135463353647289,8.791
"Berkeley 56",319.40078527146,41.83066072115,"o",0.069,0.02,0.05,0,9.62,9.7,9.77,-0.57,-0.43,-0.31,1.54,1.63,1.73,14.72,14.92,15.12,0.670507105158022,9.57493608123865,-0.834581291639762,12.133
"Berkeley 58",0.06555583224,60.93846448897,"o",0.306,0.022,1.0,0,8.21,8.3,8.38,0.04,0.18,0.31,2.02,2.08,2.13,12.14,12.31,12.47,-1.30411779728192,2.5864646951855,-0.0217052006418926,9.775
"Berkeley 59",0.60755923921,67.64787475969,"o",0.959,0.03,0.09,2,6.56,6.7,6.82,-0.15,0.01,0.17,3.73,3.85,3.97,10.05,10.33,10.64,-0.549017809777208,1.02089388258961,0.148909327338356,8.731
"Berkeley 6",27.79043074776,61.06051405368,"o",0.322,0.027,1.0,0,7.79,7.88,7.97,0.54,0.68,0.81,2.35,2.4,2.46,12.2,12.37,12.53,-1.91814918626512,2.27816877325874,-0.0043204088374329,10.295
"Berkeley 60",4.42314834012,60.93127795063,"o",0.257,0.022,0.92,0,8.72,8.79,8.87,0.35,0.49,0.62,2.27,2.35,2.43,12.38,12.57,12.78,-1.57501719456391,2.85952231407406,-0.0496704010241831,10.11
"Berkeley 61",12.03426016423,67.20164499718,"o",0.292,0.024,0.96,0,7.24,7.35,7.46,-0.48,-0.33,-0.15,2.77,2.86,2.95,12.68,12.88,13.14,-2.02362897422958,3.16408771088409,0.331327724767834,10.628
"Berkeley 62",15.34735594982,63.92412937267,"o",0.357,0.02,0.98,0,7.08,7.15,7.22,0.08,0.23,0.39,2.6,2.67,2.71,12.14,12.33,12.52,-1.63577871251238,2.4230827291409,0.100575294043895,10.054
"Berkeley 63",34.86585077793,63.7146346623,"o",0.189,0.026,0.97,0,8.03,8.15,8.25,0.72,0.85,1.02,2.27,2.37,2.47,13.24,13.47,13.73,-3.3353110016291,3.6414296477031,0.264800593503859,12.022
"Berkeley 64",35.44254693488,65.89739893081,"o",0.166,0.022,0.96,0,8.44,8.52,8.59,-0.37,-0.27,-0.16,3.45,3.52,3.58,13.66,13.83,13.99,-3.88885681425531,4.32278966675032,0.522114301528969,12.765
"Berkeley 65",39.77096868534,60.42192418113,"o",0.45,0.02,0.93,0,7.0,7.08,7.19,0.03,0.2,0.33,2.79,2.88,2.98,11.68,11.91,12.17,-1.72882591731492,1.67882545688868,0.0576660122746522,9.993
"Berkeley 66",46.03864498447,58.70599720393,"o",0.194,0.023,0.37,1,8.56,8.68,8.83,-0.32,-0.11,0.07,3.45,3.6,3.75,13.48,13.84,14.22,-4.45338817607025,3.81079270234379,0.0689916097922399,13.14
"Berkeley 67",69.48554805114,50.73725980487,"o",0.464,0.032,0.11,0,8.86,8.92,8.97,0.05,0.17,0.31,2.9,2.98,3.07,11.38,11.55,11.68,-1.84650201907866,0.866250283449281,0.134531237689838,10.006
"Berkeley 68",71.05411953366,42.13115222739,"o",0.296,0.028,0.94,0,9.22,9.27,9.32,-0.16,-0.06,0.05,1.83,1.89,1.95,12.24,12.36,12.47,-2.81818621537287,0.913324571848948,-0.0756165990155994,10.978
