"Cluster","RA_ICRS","DE_ICRS","kind","plx","e_plx","CMDclass","Quality","logAge16","logAge50","logAge84","[Fe/H]16","[Fe/H]50","[Fe/H]84","AV16","AV50","AV84","dMod16","dMod50","dMod84","X","Y","Z","Rgc"
"HSC 1457",60.34905231167,6.40766567733,"o",1.862,0.039,0.05,0,7.87,8.15,8.41,-0.2,-0.01,0.14,0.81,0.92,1.03,8.53,8.72,8.92,-0.464025985250638,-0.0321040934448937,-0.260449955037708,8.586
"HSC 1458",96.99359801236,29.28879965996,"o",0.931,0.051,0.99,0,7.66,7.99,8.38,-0.05,0.44,0.83,0.15,0.41,0.71,9.7,10.35,10.89,-1.15914223890675,-0.0847291211004306,0.213450996529131,9.282
"HSC 1459",95.55093684002,28.47249590851,"o",0.481,0.036,0.6,0,9.4,9.48,9.6,0.25,0.41,0.56,0.25,0.36,0.46,11.37,11.59,11.85,-2.05862761976265,-0.15616843484766,0.291984492882087,10.182
"HSC 1462",87.33026337711,23.89729682768,"o",1.171,0.032,1.0,0,8.78,8.86,8.95,0.24,0.38,0.49,0.36,0.43,0.5,9.5,9.65,9.8,-0.847802695915153,-0.0703125801409289,0.0155706186796743,8.97
"HSC 1463",82.22099670104,21.02047621417,"o",1.768,0.047,0.3,0,6.9,7.05,7.2,-0.02,0.13,0.27,1.09,1.24,1.36,8.58,8.88,9.11,-0.590215741501067,-0.0483796231712714,-0.0340603184984072,8.712
"HSC 1464",90.25841724031,25.58783068399,"o",0.17,0.043,0.94,0,8.01,8.12,8.22,0.09,0.25,0.42,1.55,1.65,1.72,12.83,13.04,13.25,-4.04066061205698,-0.326801177401784,0.140417018468117,12.167
"HSC 1466",93.49667775917,26.80515068453,"o",0.325,0.032,0.09,0,7.94,8.09,8.24,-0.48,-0.25,-0.07,2.51,2.6,2.69,12.24,12.53,12.78,-3.18422847741493,-0.276800737158635,0.29470811796533,11.31
"HSC 1467",93.33780702248,26.52263332799,"o",1.119,0.038,1.0,0,7.78,7.9,8.01,0.48,0.61,0.73,1.02,1.11,1.18,9.79,9.95,10.13,-0.970565674324476,-0.0874762887401907,0.114339646606564,9.093
"HSC 1468",86.8665932933,23.25120070615,"o",0.422,0.036,0.91,0,8.48,8.62,8.74,-0.1,0.04,0.19,1.52,1.63,1.74,11.11,11.3,11.48,-1.81088182708747,-0.160850576408096,-0.0361743717418572,9.934
"HSC 1469",51.70705183518,-4.16653530477,"o",5.566,0.026,0.15,0,7.31,7.5,7.64,-0.02,0.11,0.22,0.52,0.65,0.77,6.04,6.21,6.38,-0.119443801073903,-0.0169505664767565,-0.084568313632511,8.241
"HSC 147",286.82779543907,-25.66689413217,"o",1.803,0.013,1.0,0,9.02,9.11,9.19,-0.96,-0.89,-0.82,0.84,0.91,0.99,8.46,8.59,8.72,0.495331466686584,0.098811245939728,-0.091843765507449,7.627
"HSC 1470",81.26668819543,19.87190292458,"o",15.272,0.045,0.16,2,9.58,9.86,10.1,0.21,0.32,0.42,1.39,1.54,1.68,3.92,4.16,4.4,-0.066847298672716,-0.0060463884350015,0.0313777655212174,8.189
"HSC 1471",80.54871200394,18.9908578754,"o",1.347,0.043,0.23,1,6.99,7.16,7.35,-0.34,-0.12,0.09,1.16,1.31,1.5,8.97,9.27,9.58,-0.700957806997534,-0.0679522958150614,-0.0788504010773809,8.823
"HSC 1472",86.14942259324,21.86259415121,"o",0.731,0.039,0.08,3,8.79,9.01,9.2,-0.28,-0.02,0.17,0.73,0.87,1.08,10.41,10.8,11.19,-1.43464583240793,-0.148802820138305,-0.0525741262494346,9.558
"HSC 1473",89.51685377672,23.54652826318,"o",0.25,0.036,0.41,0,7.76,7.97,8.12,0.2,0.39,0.54,3.46,3.59,3.72,12.45,12.75,13.09,-3.52826766430273,-0.374476162913054,0.0289087912692195,11.656
