"COCD","Name","GLON","GLAT","Dist","E(B-V)","logt","r1","r2","Sol","Sam","N2","rc","e_rc","rt","e_rt","k","e_k","logM","e_logM","_RA.icrs","_DE.icrs"
319,"NGC 4852",304.03,3.27,1330,0.25,8.63,0.09,0.2,4,4,34,1.5,0.6,5.0,0.8,8.4,2.2,1.727,0.217,195.0252,-59.5833
320,"NGC 5045",305.47,-0.63,1500,0.37,7.11,0.15,0.38,2,3,10,2.6,1.6,9.0,1.6,0.6,0.3,2.508,0.232,198.533,-63.3899
324,"Loden 821",307.02,2.83,2800,0.5,7.29,0.08,0.2,3,3,12,2.3,1.9,9.4,2.2,0.7,0.4,2.622,0.3,200.993,-59.7833
335,"Loden 1010",309.51,1.94,700,0.2,8.69,0.09,0.25,2,3,11,0.9,0.5,3.8,1.0,4.1,2.0,1.34,0.349,206.1988,-60.2485
337,"Platais 12",309.71,-1.3,435,0.1,8.23,0.25,1.25,1,1,57,12.2,2.0,18.2,1.2,1.3,0.4,3.38,0.097,208.1198,-63.3656
338,"NGC 5316",310.22,0.12,1215,0.27,8.19,0.1,0.28,4,4,43,1.7,0.4,9.3,1.5,4.2,1.0,2.544,0.212,208.4657,-61.8652
343,"Ruprecht 110",309.95,-5.61,1300,0.0,8.74,0.1,0.23,1,4,14,3.4,1.6,8.1,1.6,1.3,0.4,2.365,0.258,211.3604,-67.4678
345,"NGC 5460",315.74,12.64,673,0.09,8.31,0.2,0.38,4,1,20,1.2,0.5,8.1,2.8,3.1,1.0,2.337,0.446,211.8484,-48.3338
347,"Ruprecht 167",313.91,2.04,2000,0.1,8.57,0.1,0.21,3,3,10,1.4,1.2,6.8,1.8,1.5,1.2,2.196,0.34,214.5265,-58.972
350,"Lynga 2",313.84,-0.44,1000,0.2,8.42,0.08,0.22,3,2,12,1.1,0.6,4.4,1.5,4.8,2.2,1.559,0.456,216.088,-61.3284
355,"NGC 5662",316.93,3.4,678,0.31,7.64,0.1,0.32,4,2,37,1.4,0.6,6.2,2.3,7.2,1.9,1.997,0.48,218.8881,-56.6154
356,"Alessi 6",313.64,-5.53,437,0.19,8.3,0.16,0.42,3,4,36,0.7,0.2,3.6,0.3,22.7,5.4,1.274,0.111,220.0376,-66.1153
357,"VDBH 164, vdBergh-Hagen 164",314.28,-6.07,550,0.13,7.14,0.14,0.4,1,1,11,4.2,1.9,6.4,0.8,2.3,1.0,2.02,0.166,222.0351,-66.3358
360,"NGC 5822",321.57,3.59,917,0.15,8.83,0.18,0.53,4,1,73,2.3,0.4,14.0,1.7,3.4,0.5,3.078,0.16,226.0851,-54.4006
362,"Alessi 8",326.49,4.27,575,0.09,7.92,0.08,0.31,4,2,20,1.2,0.6,5.1,2.2,5.7,2.0,1.751,0.551,232.3838,-51.2237
366,"NGC 6025",324.55,-5.88,769,0.16,7.96,0.1,0.38,4,2,38,1.2,0.3,6.9,0.8,7.1,1.6,2.151,0.153,240.8142,-60.4292
367,"Nor OB5",332.98,1.86,1800,0.86,7.11,0.3,1.0,2,1,24,22.6,5.7,57.1,8.4,0.0,0.0,4.989,0.197,242.629,-49.0405
369,"NGC 6067",329.74,-2.2,1417,0.4,8.01,0.09,0.25,4,3,57,1.1,0.3,7.0,0.8,11.3,3.3,2.217,0.149,243.2834,-54.2185
370,"Harvard 10",329.83,-3.27,1312,0.25,7.87,0.18,0.55,2,1,26,3.9,1.0,15.9,1.7,0.7,0.1,3.279,0.148,244.6755,-54.927
371,"NGC 6087",327.72,-5.42,901,0.18,7.93,0.14,0.48,4,2,51,2.8,0.5,8.3,0.6,4.5,0.5,2.408,0.106,244.6931,-57.935
373,"NGC 6124",340.74,6.03,470,0.68,8.34,0.17,0.55,4,4,87,0.6,0.1,6.0,1.3,39.7,7.6,1.941,0.295,246.3196,-40.6442
376,"NGC 6152",332.91,-3.15,1030,0.2,8.65,0.1,0.36,4,2,54,1.1,0.2,9.3,1.1,8.0,2.2,2.565,0.161,248.1583,-52.6377
380,"NGC 6193",336.71,-1.57,1155,0.47,6.9,0.08,0.25,1,3,11,0.8,0.6,4.8,0.9,3.8,2.7,1.705,0.256,250.3285,-48.7614
387,"NGC 6242",345.47,2.47,1131,0.38,7.63,0.1,0.28,4,1,18,0.6,0.4,7.8,4.9,6.5,5.1,2.359,0.81,253.8844,-39.4577
389,"NGC 6249",341.53,-1.18,981,0.44,7.54,0.07,0.2,3,1,12,0.9,0.6,5.4,3.5,3.9,2.5,1.863,0.83,254.4082,-44.8138
