"Cluster","GLON","GLAT","RAdeg","DEdeg","Radius","Age","Rgc","RGuide","pmRA","e_pmRA","pmDE","e_pmDE","RV","e_RV","[FeH]","e_[FeH]","Qual","Nstars","[OH]","e_[OH]","[NaH]","e_[NaH]","[MgH]","e_[MgH]","[AlH]","e_[AlH]","[SiH]","e_[SiH]","[SH]","e_[SH]","[KH]","e_[KH]","[CaH]","e_[CaH]","[TiH]","e_[TiH]","[CrH]","e_[CrH]","[MnH]","e_[MnH]","[CoH]","e_[CoH]","[NiH]","e_[NiH]","[CeH]","e_[CeH]","[NdH]","e_[NdH]"
"Berkeley_27",207.784,2.607,102.837,5.768,0.02,1.698,12.81,13.26,-1.09,0.15,0.15,0.14,87.1,0.0,-0.31,0.02,1,1,-0.2,0.03,0.09,0.02,-0.32,0.04,-0.24,0.05,-0.24,0.03,-0.42,0.02,-0.47,0.02,-0.17,0.04,-0.27,0.04,-0.48,0.02,-0.29,0.02,-1.15,0.14,-0.31,0.02,0.08,0.05,-0.49,0.06
"Berkeley_29",197.95,7.978,103.266,16.926,0.01,3.09,20.58,17.54,0.15,0.07,-1.01,0.1,25.3,0.1,-0.51,0.02,2,2,-0.44,0.03,-0.38,0.02,-0.44,0.03,-0.56,0.05,-0.5,0.02,-0.37,0.02,-0.48,0.04,-0.52,0.02,-0.48,0.02,-0.64,0.09,-0.49,0.02,-0.34,0.13,-0.49,0.02,-0.31,0.07,-0.82,0.2
"Berkeley_31",206.237,5.135,104.407,8.288,0.03,2.818,15.09,13.56,0.17,0.19,-0.93,0.16,58.8,0.9,-0.42,0.02,2,2,-0.35,0.03,-0.41,0.04,-0.38,0.02,-0.45,0.08,-0.39,0.05,-0.36,0.04,-0.3,0.05,-0.42,0.05,-0.41,0.02,-0.43,0.02,-0.39,0.05,-0.39,0.13,-0.45,0.03,0.15,0.42,-1.07,0.39
"Berkeley_32",207.955,4.41,104.531,6.433,0.06,4.898,11.14,9.39,-0.34,0.18,-1.61,0.18,106.2,0.0,-0.34,0.02,1,1,-0.23,0.03,-0.25,0.02,-0.28,0.04,-0.28,0.05,-0.28,0.03,-0.26,0.02,-0.24,0.02,-0.34,0.04,-0.28,0.04,-0.44,0.02,-0.4,0.02,-0.33,0.13,-0.38,0.02,-0.32,0.05,-0.45,0.05
"Berkeley_33",225.449,-4.594,104.462,-13.226,0.03,0.234,13.11,14.17,-0.73,0.12,1.55,0.14,77.8,0.6,-0.33,0.02,2,3,-0.33,0.1,-0.29,0.11,-0.44,0.06,-0.44,0.05,-0.41,0.06,-0.14,0.05,-0.49,0.03,-0.36,0.03,-0.35,0.08,-0.52,0.25,-0.25,0.03,-1.08,0.28,-0.37,0.02,0.1,0.12,-0.29,0.15
"Berkeley_36",227.492,-0.566,109.1,-13.193,0.05,6.761,11.73,12.08,-1.73,0.15,0.86,0.16,62.6,0.9,-0.16,0.02,3,5,-0.11,0.05,-0.51,0.31,-0.14,0.04,-0.19,0.05,-0.13,0.03,-0.1,0.04,-0.1,0.03,-0.29,0.16,-0.08,0.07,-0.15,0.15,-0.09,0.04,-0.31,0.51,-0.13,0.05,-0.04,0.21,-0.49,0.46
"Berkeley_39",223.542,10.09,116.707,-4.673,0.06,5.623,11.49,10.07,-1.73,0.18,-1.65,0.13,58.5,0.4,-0.18,0.04,3,4,-0.09,0.09,-0.25,0.35,-0.14,0.04,-0.18,0.07,-0.13,0.1,0.17,0.35,-0.08,0.38,-0.25,0.09,-0.08,0.16,-0.23,0.05,-0.2,0.04,0.06,0.28,-0.23,0.16,-0.04,0.22,-0.47,0.5
"Berkeley_44",53.217,3.341,289.314,19.548,0.05,1.445,7.01,6.71,0.01,0.12,-2.83,0.14,-9.3,0.0,0.16,0.02,1,1,0.11,0.02,0.35,0.02,0.12,0.02,0.13,0.05,0.15,0.02,0.34,0.02,0.08,0.02,0.13,0.02,0.18,0.02,0.18,0.02,0.28,0.02,0.33,0.13,0.22,0.02,0.17,0.05,0.12,0.05
"Berkeley_53",90.296,3.753,313.982,51.051,0.09,0.977,9.03,9.66,-3.79,0.25,-5.68,0.22,-35.8,0.9,-0.11,0.02,2,5,-0.15,0.03,0.01,0.04,-0.15,0.02,-0.16,0.05,-0.12,0.02,-0.08,0.08,-0.05,0.03,-0.12,0.03,-0.19,0.06,-0.15,0.04,-0.12,0.04,-0.12,0.13,-0.17,0.02,0.26,0.05,-0.03,0.17
"Berkeley_64",131.984,4.616,35.433,65.888,0.04,1.23,12.05,13.24,-0.51,0.07,1.0,0.08,-30.8,0.0,-0.3,0.02,2,1,-0.43,0.02,-0.24,0.02,-0.37,0.03,-0.38,0.05,-0.27,0.02,0.05,0.02,-0.31,0.02,-0.34,0.03,-0.42,0.03,-0.29,0.02,-0.32,0.02,-0.13,0.13,-0.34,0.02,0.21,0.05,-0.17,0.05
"Berkeley_66",139.42,0.183,46.019,58.742,0.05,3.09,12.35,12.31,-0.12,0.2,-0.19,0.28,-49.9,0.4,-0.21,0.02,3,4,-0.19,0.03,-0.07,0.08,-0.18,0.02,-0.24,0.05,-0.18,0.04,-0.19,0.03,-0.19,0.02,-0.22,0.05,-0.29,0.02,-0.23,0.02,-0.24,0.03,-0.05,0.13,-0.29,0.03,-0.03,0.05,-0.24,0.2
"Berkeley_67",154.83,2.489,69.459,50.776,0.08,1.259,10.39,10.24,2.32,0.12,-1.37,0.09,0.0,0.4,-0.16,0.02,2,2,-0.22,0.02,-0.07,0.02,-0.2,0.02,-0.2,0.05,-0.16,0.02,-0.05,0.02,-0.21,0.02,-0.18,0.03,-0.24,0.04,-0.22,0.02,-0.17,0.02,-0.37,0.14,-0.21,0.02,0.23,0.07,-0.43,0.05
