"Name","Type","Type?","GLON","GLAT","d","E(B-V)","logt","DM(J)","I(M.J)","DM(H)","I(M.H)","DM(Ks)","I(M.Ks)","_RA.icrs","_DE.icrs"
"FSR_0002, MWSC_2623","nan","nan",0.032,3.442,3739.0,1.978,9.55,14.45,-7.481,13.816,-8.183,13.5,-8.332,263.1244,-27.0758
"Antalova_4, MWSC_2624","nan","nan",355.122,0.202,1802.0,0.999,6.0,12.08,-3.753,11.76,-4.099,11.6,-4.111,263.1725,-32.9557
"BDSB_102, MWSC_2625","nan","nan",355.469,0.375,2837.0,1.509,6.3,13.475,-4.252,12.991,-4.385,12.75,-4.396,263.2252,-32.5705
"IRAS_17301-2917, MWSC_2626","nan","nan",358.372,2.158,1215.0,2.415,7.2,12.36,-4.257,11.586,-4.291,11.2,-4.257,263.3241,-29.1655
"Terzan-Ju_20, MWSC_2628","nan","nan",358.259,2.042,2879.0,2.186,8.8,14.05,-7.645,13.35,-8.228,13.0,-8.342,263.3653,-29.3233
"FSR_1766, MWSC_2630","nan","nan",352.225,-2.122,3540.0,1.103,9.125,13.63,-6.711,13.276,-7.354,13.1,-7.561,263.6306,-36.6501
"Ruprecht_126, MWSC_2632","nan","nan",354.248,-0.931,2325.0,0.833,8.875,12.5,-9.264,12.233,-10.128,12.1,-10.459,263.7445,-34.3051
"FSR_1767, MWSC_2634","nan","nan",352.597,-2.156,1948.0,1.405,8.675,12.575,-5.951,12.125,-6.312,11.9,-6.819,263.9159,-36.3556
"Trumpler_27, MWSC_2639","nan","nan",355.059,-0.742,1266.0,1.208,7.58,11.48,-9.407,11.093,-9.956,10.9,-10.202,264.0801,-33.5204
"ESO_334-02, MWSC_2640","nan","nan",347.748,-5.507,3210.0,0.521,9.2,12.95,-5.478,12.783,-6.042,12.7,-6.149,264.2263,-42.2355
"Trumpler_28, MWSC_2641","nan","nan",356.01,-0.3,1474.0,0.958,6.6,11.61,-4.435,11.303,-4.585,11.15,-4.6,264.2456,-32.481
"NGC_6396, MWSC_2644","nan","nan",353.931,-1.768,1168.0,1.062,7.505,11.189,-6.808,10.849,-7.655,10.679,-7.891,264.3948,-35.0227
"ESO_139-13, MWSC_2646","nan","nan",333.974,-13.824,1500.0,0.2,8.78,11.041,-4.069,10.977,-4.605,10.945,-4.726,264.445,-58.1462
"Ruprecht_127, MWSC_2649","nan","nan",352.875,-2.497,1435.0,1.135,7.55,11.695,-7.019,11.331,-7.995,11.15,-8.163,264.4581,-36.3042
"Collinder_338, MWSC_2651","nan","nan",351.728,-3.298,698.0,0.25,8.05,9.42,-2.705,9.34,-2.964,9.3,-3.032,264.5411,-37.7004
"ASCC_90, MWSC_2655","nan","nan",354.271,-1.918,526.0,0.3,8.81,8.844,-3.409,8.748,-3.764,8.7,-3.874,264.7707,-34.8154
"Dutra-Bica_60, MWSC_2657","nan","nan",3.747,3.98,3054.0,1.478,9.2,13.61,-5.946,13.136,-6.54,12.9,-6.683,264.8238,-23.6588
"NGC_6404, MWSC_2658","nan","nan",355.67,-1.171,2146.0,1.062,8.75,12.51,-6.111,12.17,-6.627,12.0,-6.743,264.9056,-33.2339
"NGC_6400, MWSC_2660","nan","nan",352.58,-3.234,938.0,0.198,8.875,10.019,-3.453,9.956,-3.8,9.924,-3.93,265.0407,-36.9456
"NGC_6405, MWSC_2661","nan","nan",356.607,-0.748,356.0,0.139,8.035,7.867,-5.077,7.822,-5.742,7.8,-6.047,265.0713,-32.2154
"Trumpler_29, MWSC_2663","nan","nan",350.006,-5.119,1096.0,0.0,8.685,10.2,-6.535,10.2,-7.623,10.2,-7.975,265.3631,-40.1204
"ESO_393-15, MWSC_2667","nan","nan",355.272,-2.387,2471.0,1.666,9.15,13.3,-5.926,12.766,-6.533,12.5,-6.642,265.8951,-34.2135
"ESO_520-20, MWSC_2668","nan","nan",3.358,2.594,2041.0,2.332,9.15,13.42,-6.773,12.673,-7.307,12.3,-7.423,265.8914,-24.7187
"Alessi_9, MWSC_2670","nan","nan",344.239,-9.32,218.0,0.104,8.55,6.775,-2.233,6.742,-2.408,6.725,-2.48,266.2847,-47.186
"Ruprecht_128, MWSC_2672","nan","nan",354.77,-2.854,2486.0,1.624,9.2,13.28,-5.252,12.76,-5.774,12.5,-5.862,266.0602,-34.8851
"NGC_6416, MWSC_2673","nan","nan",356.93,-1.554,767.0,0.233,8.2,9.612,-2.075,9.537,-2.264,9.5,-2.305,266.083,-32.3656
"Dutra-Bica_58, MWSC_2677","nan","nan",0.008,0.155,1182.0,1.978,6.0,11.95,-4.181,11.316,-4.458,11.0,-4.398,266.2587,-28.8485
"Dutra-Bica_33, MWSC_2679","nan","nan",1.89,1.199,998.0,2.498,6.75,12.0,-3.473,11.2,-3.732,10.8,-3.755,266.3614,-26.6984
