"ASCC","Name","RAJ2000","DEJ2000","GLON","GLAT","Radco","Radcl","RV","e_RV","o_RV","pmRA","e_pmRA","pmDE","e_pmDE","pmGLON","pmGLAT","N1s","Dist","E(B-V)","m-M","logt","o_logt","Rem"
"ASCC_35","nan",108.16,2.12,213.46,5.68,0.15,0.4,"nan","nan","nan",-2.68,0.39,-0.94,0.31,-0.38,-2.81,19,800,0.06,9.7,8.49,3,"nan"
"ASCC_36","nan",108.63,-21.12,234.31,-4.64,0.09,0.18,"nan","nan","nan",-2.15,0.5,-0.87,0.64,-0.21,-2.31,9,750,0.0,9.38,8.51,1,"nan"
"ASCC_37","nan",109.51,-24.48,237.69,-5.46,0.06,0.16,"nan","nan","nan",-3.04,0.37,0.81,0.66,-2.12,-2.33,11,1600,0.0,11.02,8.73,3,"nan"
"ASCC_38","nan",111.79,-5.55,221.97,5.36,0.1,0.26,"nan","nan","nan",-6.44,0.46,1.34,0.4,-4.21,-5.06,11,500,0.07,8.71,8.6,2,"nan"
"ASCC_39","nan",113.25,-22.95,237.95,-1.72,0.15,0.3,"nan","nan","nan",-3.37,0.54,1.85,0.6,-3.25,-2.06,18,1500,0.0,10.88,8.71,4,"nan"
"ASCC_40","nan",113.4,-13.76,229.97,2.84,0.08,0.18,"nan","nan","nan",-2.07,0.55,2.7,0.49,-3.36,-0.51,9,700,0.11,9.57,8.58,1,"nan"
"Herschel 1, ASCC_41","Herschel 1",116.76,0.02,219.35,12.35,0.1,0.36,"nan","nan","nan",1.93,0.29,-3.93,0.21,4.38,-0.13,11,370,0.02,7.9,8.44,1,"nan"
"Alessi-Teutsch 3, ASCC_42","Alessi-Teutsch 3",118.21,-53.01,266.41,-12.85,0.08,0.36,"nan","nan","nan",-3.76,0.38,8.25,0.6,-9.05,0.6,12,800,0.1,9.82,8.57,4,"nan"
"ASCC_43","nan",118.27,-28.17,244.73,-0.39,0.1,0.35,"nan","nan","nan",-4.4,0.37,0.47,0.47,-2.66,-3.53,19,1000,0.1,10.31,8.28,2,"*"
"Alessi 34, ASCC_44","Alessi 34",120.42,-50.57,264.92,-10.47,0.18,0.4,17.8,2.8,2.0,-5.62,0.57,6.25,0.36,-8.23,-1.69,12,1100,0.18,10.77,7.89,2,"nan"
"ASCC_45","nan",123.96,-35.65,253.63,-0.31,0.06,0.2,43.0,"nan",1.0,-5.68,0.6,3.19,0.72,-5.81,-2.94,10,3000,0.6,14.25,7.12,3,"*"
"ASCC_46","nan",124.14,-48.51,264.44,-7.33,0.11,0.4,"nan","nan","nan",-5.51,0.42,6.75,0.4,-8.67,-0.91,15,900,0.1,10.08,7.71,1,"*"
"Alessi-Teutsch 7, ASCC_47","Alessi-Teutsch 7",127.95,-39.08,258.26,0.31,0.15,0.5,11.0,"nan",1.0,-8.94,0.45,5.2,0.33,-9.48,-4.13,17,900,0.1,10.08,7.88,3,"*"
"ASCC_48","nan",128.62,-37.61,257.39,1.61,0.13,0.32,22.5,"nan",1.0,-11.63,0.64,10.72,0.43,-15.54,-2.92,9,400,0.0,8.01,9.09,2,"nan"
"Teutsch 38, ASCC_49","Teutsch 38",131.97,-37.99,259.31,3.47,0.15,0.45,"nan","nan","nan",-7.47,0.73,3.34,0.52,-7.29,-3.73,10,900,0.02,9.83,8.14,2,"*"
"Alessi 43, ASCC_50","Alessi 43",132.57,-41.72,262.5,1.48,0.12,0.4,17.13,8.67,3.0,-6.39,0.37,3.85,0.41,-7.03,-2.5,14,850,0.2,10.27,7.48,1,"*"
"ASCC_51","nan",139.5,-69.69,286.24,-14.08,0.2,0.66,"nan","nan","nan",-8.28,0.38,7.0,0.43,-10.76,-1.36,28,500,0.05,8.65,8.53,4,"nan"
"ASCC_52","nan",141.99,-54.26,275.96,-2.41,0.07,0.27,"nan","nan","nan",-5.35,0.37,5.12,0.49,-7.41,0.0,22,1500,0.04,11.0,8.75,8,"*"
"ASCC_53","nan",144.48,-59.55,280.56,-5.36,0.11,0.31,"nan","nan","nan",-4.94,0.54,3.94,0.52,-6.31,-0.37,17,2500,0.15,12.45,8.12,2,"*"
"ASCC_54","nan",146.19,-54.44,277.9,-0.9,0.1,0.22,"nan","nan","nan",-7.73,0.47,1.08,0.53,-6.59,-4.18,21,1200,0.05,10.55,8.84,5,"nan"
"ASCC_55","nan",148.57,-57.08,280.61,-2.09,0.12,0.23,"nan","nan","nan",-1.13,0.53,2.27,0.55,-2.3,1.07,14,1100,0.19,10.8,8.45,3,"nan"
"ASCC_56","nan",152.05,-64.37,286.39,-6.87,0.16,0.35,"nan","nan","nan",-7.61,0.77,3.57,0.69,-8.26,-1.57,14,800,0.11,9.86,8.08,3,"*"
"ASCC_57","nan",152.7,-66.68,287.97,-8.59,0.15,0.38,"nan","nan","nan",-4.15,0.46,3.04,0.47,-5.14,0.07,24,1500,0.13,11.28,8.7,5,"*"
