"NGC","m_NGC","Type","RA1975","DE1975","Xpos","Ypos","Mag","r_Mag","OldDesc","NewDesc","Notes","RA_deg","DEC_deg"
NGC_6405,"nan",1,"17 38.4","-32 12",33.0,57.0,4.5,5.0,"CL,L,IR,LC,ST7,10...","nan","O,R,M6",265.00792,-32.2125
NGC_6416,"nan",1,"17 42.7","-32 21",284.0,50.0,8.5,5.0,"CL,VL,RI,LC","nan","O,R",266.08375,-32.36
NGC_6425,"nan",1,"17 45.3","-31 31",252.0,96.0,9.0,5.0,"CL,PS,LRI,LC,*10..12","nan","O,R",266.73083,-31.525
NGC_6451,"nan",1,"17 49.1","-30 12",210.0,166.0,8.5,5.0,"CL,PL,PRI,BIFID,ST12","nan","O,R",267.67667,-30.20611
NGC_6469,"nan",1,"17 51.4","-22 20",178.0,269.0,8.0,5.0,"CL,PRI,IN MILKY WAY","nan","O,R",268.22792,-22.33806
NGC_6475,"nan",1,"17 52.3","-34 48",157.0,243.0,3.5,5.0,"CL,VB,PRI,LC,*7...12","nan","O,R,M7",268.4925,-34.80417
NGC_6494,"nan",1,"17 55.5","-19 01",16.0,119.0,6.0,5.0,"CL,B,VL,PRI,LC,*10..","nan","O,R,M23",269.24375,-19.01889
NGC_6507,"nan",1,"17 58.2","-17 23",290.0,204.0,9.5,5.0,"CL,PS,LRI,LC","nan","O,R",269.91417,-17.38389
NGC_6514,"nan",6,"18 00.8","-23 02",63.0,237.0,5.0,5.0,"VB,VL,TRIFID,D*INV","nan","O,LY,SH,R,M20,G",270.58,-23.0325
NGC_6520,"nan",1,"18 01.9","-27 54",60.0,290.0,7.5,5.0,"CL,PS,RI,LC,ST9...13","nan","O,R",270.86917,-27.89833
NGC_6530,"nan",6,"18 03.2","-24 20",40.0,156.0,7.5,5.0,"CL,B,L,PRI,FM8","nan","O,R,SH",271.18375,-24.33083
NGC_6531,"nan",1,"18 03.1","-22 30",41.0,257.0,7.0,5.0,"CL,PRI,LC,ST9...12","nan","O,R,M21",271.15333,-22.49778
NGC_6546,"nan",1,"18 05.7","-23 19",4.0,212.0,8.5,5.0,"CL,VL,VRI","nan","O,R",271.80542,-23.31278
NGC_6568,"nan",1,"18 11.3","-21 36",253.0,300.0,8.5,5.0,"CL,VL,LC","nan","O,R",273.20083,-21.59278
NGC_6583,"nan",1,"18 14.3","-22 09",215.0,268.0,12.0,5.0,"CL,PRI,PC,CE,ST13...","nan","O,R",273.95208,-22.14083
NGC_6595,"nan",6,"18 15.5","-19 53",75.0,72.0,7.0,5.0,"F,PL,CE,**INV","nan","O,R,IC4700",274.24583,-19.87361
NGC_6596,"nan",1,"18 16.0","-16 40",64.0,243.0,"nan","nan","CL,LC","nan","nan",274.36208,-16.65639
NGC_6603,"nan",1,"18 17.0","-18 25",54.0,151.0,11.5,5.0,"CL,VRI,VMC,R,M WAY,ST15","nan","O,R,9,M24",274.61667,-18.40583
NGC_6604,"nan",1,"18 16.7","-12 14",43.0,156.0,8.0,5.0,"CL,LRI,LC","nan","O,SH,R,G",274.52583,-12.22278
