"Cluster","RAJ2000","DEJ2000","Class","Diam","Dist","E(B-V)","Age","r_pmRA","pmRA","e_pmRA","pmDE","e_pmDE","Nc","K14","RV","e_RV","o_RV","r_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","TrType"
"Bochum 10",160.55,-59.13333,"nan",20.0,2027.0,0.306,6.857,"D14",-5.79,0.05,-1.31,0.06,1142.0,"K14",-2.3,1.78,1.0,"D14","nan","nan","nan","nan"
"IC 2602",160.74167,-64.4,"nan",100.0,161.0,0.024,7.507,"TYC",-17.49,0.22,10.1,0.22,22.0,"K14",18.12,0.3,10.0,"M09",0.0,0.02,8.0,"nan"
"Alessi 5",160.78333,-61.16667,"nan",33.0,398.0,0.15,7.6,"AMD",-14.33,2.24,4.4,2.24,13.0,"K14",18.0,3.7,1.0,"D14",-0.382,0.1,1.0,"3-3-p-*"
"Trumpler 14",160.98333,-59.55,"v",8.4,2900.0,0.36,6.0,"BDW",-7.25,0.64,2.69,0.52,1.0,"K14",-6.74,8.93,3.0,"D14","nan","nan","nan","nan"
"Collinder 228",161.0,-60.08667,"v",14.0,2201.0,0.342,6.83,"BDW",-6.55,0.6,2.03,0.46,1.0,"K14",-10.71,3.12,11.0,"D14","nan","nan","nan","nan"
"Collinder 232",161.1625,-59.56,"nan",4.0,2300.0,0.48,6.3,"D14",-6.09,0.17,0.75,0.46,117.0,"K14",-3.0,4.6,1.0,"D14","nan","nan","nan","nan"
"Trumpler 15",161.17917,-59.36667,"v",14.0,1853.0,0.434,6.926,"BDW",-7.71,1.03,3.26,0.78,1.0,"K14",-15.06,4.05,2.0,"D14","nan","nan","nan","nan"
"Trumpler 16",161.29167,-59.71667,"v",12.0,2900.0,0.36,6.0,"D14",-6.94,0.09,1.41,0.08,490.0,"K14",-22.78,2.84,4.0,"D14","nan","nan","nan","nan"
"ASCC 61",161.53333,-56.86,"nan",38.4,1700.0,0.23,7.96,"D14",-4.54,0.05,-0.22,0.05,4681.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Bochum 11",161.8125,-60.08333,"nan",21.0,2412.0,0.576,6.764,"D14",-6.01,0.05,-0.29,0.03,1390.0,"K14",-14.6,3.12,7.0,"D14","nan","nan","nan","nan"
"Ruprecht 91",161.90833,-57.46722,"nan",17.0,900.0,0.01,8.63,"D14",-3.08,0.16,0.64,0.14,1000.0,"K14",-10.58,5.98,2.0,"D14","nan","nan","nan","3-3-vp-"
"ASCC 62",162.72083,-60.1,"nan",33.6,3000.0,0.24,7.5,"D14",-4.23,0.04,-1.38,0.03,4389.0,"K14",0.63,1.99,2.0,"D14","nan","nan","nan","nan"
"NGC 3446",163.05,-45.14833,"nan",15.0,1485.0,0.16,9.0,"D14",-8.26,0.36,2.23,0.24,226.0,"K14","nan","nan","nan","nan","nan","nan","nan","3-3-p-*"
"VDBH 106",163.175,-54.23333,"nan",3.0,1879.0,0.406,8.0,"D14",-6.88,0.64,0.74,0.55,55.0,"K14","nan","nan","nan","nan","nan","nan","nan","2-2-p-*"
"Teutsch 31",163.20833,-59.46083,"nan",1.8,3250.0,1.09,8.78,"K14",-8.28,1.07,-0.65,1.07,49.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Ruprecht 162",163.225,-62.31667,"nan",5.0,3019.0,0.312,8.385,"D14",-1.7,0.4,-0.2,0.42,203.0,"K14",-0.3,10.0,1.0,"D14","nan","nan","nan","2-1-p-*"
"Ruprecht 92",163.44583,-61.75,"nan",7.0,2211.0,0.396,7.65,"D14",-2.44,0.11,-2.06,0.11,476.0,"K14",-15.6,1.8,1.0,"K07",0.201,0.13,1.0,"nan"
"Kronberger 39",163.55833,-61.73778,"nan",0.8,11100.0,0.9,"nan","K14",-3.91,2.39,6.07,2.39,7.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"ASCC 63",163.96667,-60.41,"nan",18.0,3500.0,0.45,7.24,"D14",-2.72,0.06,-1.43,0.07,1691.0,"K14",-142.0,0.0,2.0,"K05","nan","nan","nan","nan"
"Trumpler 17",164.1,-59.2,"nan",5.0,2189.0,0.605,7.706,"BDW",-69.59,1.97,2.88,1.61,1.0,"K14",30.93,17.93,2.0,"D14","nan","nan","nan","nan"
"Collinder 236",164.2125,-61.11667,"nan",10.0,800.0,0.07,8.37,"D14",-2.23,0.09,-2.31,0.12,789.0,"K14",18.32,9.49,3.0,"D14",0.042,0.13,1.0,"4-1-m-*"
"Bochum 12",164.35,-61.71667,"nan",10.0,2218.0,0.24,7.61,"D14",-2.49,0.09,-3.08,0.11,735.0,"K14",-3.8,0.8,1.0,"D14","nan","nan","nan","nan"
"Hogg 9",164.59167,-59.05,"nan",1.0,3049.0,0.38,7.45,"D14",0.12,0.16,-0.97,0.85,28.0,"K14","nan","nan","nan","nan","nan","nan","nan","2-1-vp-*"
"Majaess 133",164.67917,-61.1875,"IR",4.0,"nan","nan","nan","D14",-2.15,0.2,-2.27,0.26,169.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Turner 6",164.75417,-59.49944,"nan",1.3,3250.0,1.32,7.9,"D14",0.72,0.05,1.76,0.76,39.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
