"Cluster","RAJ2000","DEJ2000","Class","Diam","Dist","E(B-V)","Age","r_pmRA","pmRA","e_pmRA","pmDE","e_pmDE","Nc","K14","RV","e_RV","o_RV","r_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","TrType"
"FSR 0158",296.99583,26.03222,"IR",1.2,2769.0,1.208,8.505,"D14",0.58,0.02,-6.26,0.85,29.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 6832",297.0625,59.42167,"nan",24.0,1750.0,0.1,9.48,"D14",-1.17,0.05,-2.94,0.18,353.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Turner 1",297.10417,27.29306,"nan",4.0,1675.0,0.476,7.46,"D14",-3.48,0.55,-3.81,0.32,64.0,"K14",0.5,1.7,1.0,"D14","nan","nan","nan","nan"
"ASCC 107",297.13333,21.96,"nan",13.2,700.0,0.2,8.41,"D14",0.93,0.12,-4.04,0.18,423.0,"K14",-7.0,3.7,1.0,"D14","nan","nan","nan","nan"
"NGC 6827",297.22083,21.215,"r",3.0,4550.0,0.78,8.98,"D14",1.92,0.87,-5.07,0.53,70.0,"K14","nan","nan","nan","nan","nan","nan","nan","2-2-m-*"
"Dias 7",297.3375,21.17,"nan",10.0,2540.0,0.42,9.3,"D14",0.48,0.08,-6.19,0.16,410.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 6830",297.74583,23.1,"nan",5.0,1639.0,0.501,7.572,"BDW",0.89,1.17,-2.76,1.03,1.0,"K14",-30.9,0.9,1.0,"K07",0.24,0.05,"nan","nan"
"Czernik 41",297.75417,25.26861,"nan",4.4,1360.0,1.28,8.7,"D14",-2.49,0.62,-2.6,0.15,68.0,"K14","nan","nan","nan","nan","nan","nan","nan","3-2-m-*"
"Saurer 6",297.75833,32.24306,"nan",1.8,9330.0,0.77,9.29,"D14",-2.08,0.12,-1.56,0.6,34.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0182",297.94167,33.51194,"IR",1.2,4569.0,0.625,9.0,"D14",-2.79,0.03,-3.78,0.82,60.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Dias 8",298.025,11.63444,"nan",10.0,2220.0,0.3,9.35,"D14",-2.56,0.35,-3.28,0.26,237.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 6834",298.05,29.40833,"nan",5.0,2067.0,0.708,7.883,"D14",-3.43,0.06,-3.16,0.15,171.0,"K14",-6.8,1.4,1.0,"D14","nan","nan","nan","nan"
"Harvard 20",298.275,18.33333,"nan",7.0,1604.0,0.229,8.05,"D14",-1.68,0.13,-0.93,0.29,241.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 6837",298.28333,11.69833,"nan",4.6,943.0,0.25,9.0,"D14",-1.61,0.64,-0.76,0.26,60.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-1-p-*"
"ASCC 108",298.45417,39.37,"nan",26.4,1100.0,0.05,8.64,"K05",-0.21,0.42,-0.81,0.31,12.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"ASCC 109",298.5,34.58,"nan",60.0,450.0,0.0,8.31,"K05",0.47,0.4,-2.23,0.68,16.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 6839",298.6375,17.93833,"nan",6.0,1410.0,0.29,9.15,"D14",-0.85,0.25,-3.28,0.27,196.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-1-p-*"
"NGC 6840",298.825,12.12667,"nan",6.0,1970.0,0.25,9.11,"D14",-0.65,0.38,1.01,0.47,103.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 6843",299.025,12.16333,"nan",5.0,1945.0,0.3,9.11,"D14",0.38,0.86,2.75,0.4,89.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 6846",299.11667,32.34833,"nan",2.0,4450.0,1.05,8.7,"K14",0.12,0.61,-3.95,0.61,83.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-1-p-*"
"NGC 6847",299.15417,30.21333,"r",20.0,1894.0,0.58,8.7,"D14",-0.81,0.08,-2.83,0.08,1191.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-3-r-n"
"SAI 132",299.25417,31.60861,"nan",8.0,2860.0,0.94,8.75,"D14",-1.75,0.07,-3.81,0.05,272.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0165",299.525,26.75861,"IR",7.9,2628.0,1.249,6.91,"D14",-1.32,0.29,-2.76,0.01,137.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Kronberger 52",299.53333,30.88833,"nan",1.2,705.0,2.45,8.11,"D14",-0.87,0.57,-3.79,0.44,39.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Loiano 1",299.55833,32.545,"nan",6.0,2700.0,0.44,8.4,"D14",-0.7,0.29,-4.63,0.2,136.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Roslund 3",299.675,20.48333,"nan",5.0,1467.0,0.348,8.036,"D14",-0.98,0.05,-4.74,0.01,153.0,"K14",-4.7,3.0,"nan","RGDZ","nan","nan","nan","nan"
"NGC 6856",299.82083,56.13,"r",3.2,1704.0,0.16,9.26,"D14",-2.85,0.84,-6.54,0.25,18.0,"K14","nan","nan","nan","nan","nan","nan","nan","3-2-p-*"
"Berkeley 49",299.875,34.64167,"nan",2.5,2090.0,1.18,8.9,"K14",-2.9,0.38,-3.3,0.38,47.0,"K14","nan","nan","nan","nan","nan","nan","nan","1-1-p-*"
"Patchick 89",299.8875,49.31389,"nan",1.4,1845.0,0.33,9.35,"D14",4.55,0.14,-5.38,0.02,19.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0163",300.07917,25.42111,"IR",4.4,3412.0,1.041,8.55,"D14",-1.48,0.13,-4.8,0.31,74.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Kronberger 68",300.15,30.58972,"nan",2.2,710.0,2.19,8.3,"K14",-3.27,0.76,-5.46,0.76,62.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Berkeley 83",300.325,28.61667,"nan",2.0,5728.0,1.3,8.95,"K14",-3.03,0.35,-6.91,0.35,66.0,"K14","nan","nan","nan","nan",0.0,"nan","nan","2-1-p-*"
"Toepler 1",300.325,33.62,"nan",1.5,2793.0,0.65,7.85,"D14",-3.49,0.16,-7.96,0.01,52.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0162",300.38333,25.235,"IR",1.5,1721.0,0.687,8.95,"D14",-0.02,2.33,-6.15,1.82,10.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Kronberger 69",300.49583,31.43833,"nan",4.0,6140.0,1.8,7.85,"D14",-2.63,0.16,-2.75,0.03,107.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0188",300.52083,33.91917,"IR",3.4,3354.0,1.312,8.2,"D14",-1.14,0.35,-5.43,0.33,97.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Teutsch 8",300.59583,35.31139,"nan",1.1,1600.0,0.58,7.0,"D14",-1.94,0.07,4.83,0.18,7.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0198",300.6125,35.67528,"IR",7.0,1700.0,0.96,7.0,"D14",-2.63,0.23,-4.93,0.34,132.0,"K14",-13.0,3.7,1.0,"D14","nan","nan","nan","nan"
"Dolidze 36",300.625,42.1,"nan",14.0,900.0,0.22,8.83,"D14",-1.47,0.13,-3.39,0.21,437.0,"K14",77.0,14.1,1.0,"D14","nan","nan","nan","4-3-r-n"
"NGC 6858",300.73333,11.25833,"nan",10.0,1310.0,0.13,9.4,"D14",1.82,0.22,-0.51,0.1,202.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"ASCC 110",300.75,33.57,"nan",27.6,800.0,0.15,8.75,"D14",-1.81,0.05,-6.49,0.06,3530.0,"K14",-2.87,3.62,5.0,"D14","nan","nan","nan","nan"
"Dolidze 37",300.75,37.68333,"nan",8.0,1400.0,2.311,7.585,"D14",-0.16,0.32,-3.42,0.35,112.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-2-p-n"
"Kronberger 54",300.78333,31.96694,"nan",0.8,1715.0,0.94,8.4,"K14",-4.2,0.45,-3.35,0.45,105.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 6866",300.97917,44.15833,"nan",14.0,1189.0,0.074,8.91,"D14",-1.39,0.17,-3.07,0.13,498.0,"K14",13.68,0.06,2.0,"MMU",-0.013,0.002,"nan","nan"
"Berkeley 84",301.17917,33.90667,"nan",2.5,2750.0,0.73,8.65,"K14",-2.09,0.41,-0.41,0.41,42.0,"K14","nan","nan","nan","nan","nan","nan","nan","2-1-p-n"
"Alessi 10",301.19167,-10.47833,"nan",18.0,513.0,0.22,8.35,"AMD",2.32,1.08,-8.57,1.08,17.0,"K14",75.9,2.6,1.0,"K14","nan","nan","nan","4-3-p-*"
"FSR 0167",301.20833,27.07056,"IR",5.2,1993.0,1.249,8.2,"D14",0.56,0.27,3.22,0.25,100.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Roslund 4",301.225,29.21667,"nan",5.0,2000.0,0.91,6.6,"D14",-2.9,0.06,-4.91,0.05,80.0,"K14",-15.7,5.2,"nan","DMFA","nan","nan","nan","nan"
"ESO 461 38",301.225,-30.35,"nan",4.0,2402.0,0.458,8.975,"D14",-1.03,0.79,-8.46,0.96,22.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-3-p-n"
"FSR 0190",301.36667,33.57472,"IR",4.2,3924.0,0.874,6.1,"D14",-2.73,0.1,-6.95,0.25,109.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Dolidze 38",301.425,41.2,"nan",18.0,1200.0,0.15,8.95,"D14",-1.73,0.09,-6.11,0.13,767.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-3-r-n"
"Dol Dzim 10",301.45,40.53333,"nan",2.5,1670.0,0.55,9.0,"K14",-4.77,0.63,-1.84,0.63,16.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 6871",301.49583,35.77667,"nan",29.0,1574.0,0.443,6.958,"D14",-3.26,0.04,-5.15,0.05,2585.0,"K14",-108.01,2.41,11.0,"D14","nan","nan","nan","nan"
"Kronberger 28",301.63333,35.57611,"nan",0.8,550.0,2.26,8.6,"K14",-2.11,0.55,-5.43,0.55,59.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Basel 6",301.7,38.35,"nan",7.0,1548.0,0.58,7.977,"D14",-2.21,0.14,-2.99,0.19,228.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0192",301.71667,33.83,"IR",5.6,2645.0,0.895,7.2,"D14",-1.57,0.33,-6.86,0.31,119.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Biurakan 1",301.875,35.68333,"nan",10.0,1600.0,0.33,7.25,"D14",-2.83,0.16,-4.65,0.16,421.0,"K14",-9.0,3.7,2.0,"D14","nan","nan","nan","4-3-p-n"
"NGC 6873",301.93333,21.0975,"nan",15.0,1250.0,0.35,8.94,"D14",-2.73,0.09,-5.82,0.13,607.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0170",301.94167,27.56528,"IR",3.6,4023.0,2.415,8.9,"D14",-1.23,0.25,2.94,0.7,8.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Biurakan 2",302.3,35.48333,"nan",20.0,1106.0,0.36,7.011,"D14",-1.95,0.08,-4.49,0.1,914.0,"K14",-19.66,2.86,4.0,"D14","nan","nan","nan","nan"
"Dolidze 1",302.40833,36.50583,"OC",8.0,1445.0,0.625,7.6,"D14",-1.27,0.09,-5.65,0.11,275.0,"K14",4.0,3.7,1.0,"D14","nan","nan","nan","4-2-p-n"
"FSR 0189",302.44167,32.91306,"IR",5.6,2588.0,1.041,6.5,"D14",-2.84,0.59,-11.15,0.5,55.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Roslund 5",302.5,33.76667,"nan",50.0,389.0,0.098,7.832,"TYC",2.32,0.34,-1.5,0.34,60.0,"K14",-17.66,4.6,13.0,"D14","nan","nan","nan","nan"
"IC 1311",302.575,41.21667,"nan",5.0,6026.0,0.28,9.2,"D14",0.59,0.4,-6.51,0.4,91.0,"K14",-63.15,1.79,5.0,"WC09",-0.3,0.16,5.0,"nan"
"Berkeley 50",302.6,34.96667,"nan",2.0,2653.0,0.75,8.35,"K14",-1.06,0.21,-2.39,0.21,150.0,"K14","nan","nan","nan","nan","nan","nan","nan","2-1-p-n"
"ASCC 111",302.80417,37.45,"nan",66.0,1600.0,0.3,7.05,"D14",-0.08,0.04,0.14,0.06,8004.0,"K14",-11.06,0.94,13.0,"D14","nan","nan","nan","nan"
"NGC 6883",302.82917,35.83167,"nan",35.0,1380.0,0.3,"nan","BDW",-2.89,0.55,-6.53,0.6,1.0,"K14",-8.18,3.58,5.0,"D14","nan","nan","nan","4-2-m-n"
"Ruprecht 172",302.9,35.605,"nan",15.0,1100.0,0.2,8.91,"D14",-2.55,0.07,-4.58,0.09,954.0,"K14","nan","nan","nan","nan","nan","nan","nan","3-2-p-n"
"NGC 6882",302.94583,26.81167,"nan",5.0,432.0,0.062,8.2,"BDW",1.6,0.29,-9.8,0.29,3.0,"K14",-17.8,0.13,2.0,"MMU",-0.02,0.01,2.0,"nan"
"Berkeley 51",302.975,34.40167,"nan",2.0,1300.0,1.6,9.05,"K14",-1.15,0.28,-1.37,0.28,101.0,"K14","nan","nan","nan","nan","nan","nan","nan","1-1-p-n"
"AH03 J2011+26.7",302.9875,26.73556,"nan",4.5,2567.0,0.9,7.35,"D14",0.29,0.02,-2.56,1.02,32.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 6885",303.00417,26.47833,"nan",20.0,597.0,0.08,9.16,"D14",-3.3,0.09,-5.14,0.09,689.0,"K14",-1.5,0.87,6.0,"FM09","nan","nan","nan","nan"
"Kronberger 72",303.07917,37.89083,"nan",2.0,1055.0,0.55,8.7,"K14",-2.99,0.56,-0.08,0.56,53.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0178",303.28333,29.12333,"IR",6.0,3700.0,1.34,9.18,"D14",-0.89,0.48,-4.21,0.23,58.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Kronberger 73",303.44583,36.74861,"nan",1.2,1695.0,0.97,8.6,"D14",-0.93,0.09,0.54,0.75,29.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Berkeley 52",303.625,28.94667,"nan",3.0,4900.0,1.5,9.3,"D14",-16.46,1.4,6.37,0.41,5.0,"K14","nan","nan","nan","nan","nan","nan","nan","1-1-m-*"
"FSR 0219",303.75,41.17944,"IR",2.1,884.0,0.833,6.5,"K14",-2.85,0.47,-3.97,0.47,73.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Patchick 75",303.75833,33.92861,"nan",1.5,1442.0,0.73,8.95,"D14",-1.5,0.02,-8.62,1.87,17.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Dolidze 3",303.87083,36.86306,"nan",15.0,1032.0,0.562,8.29,"D14",-1.42,0.1,-4.13,0.11,532.0,"K14","nan","nan","nan","nan","nan","nan","nan","3-2-m-n"
"IC 4996",304.12917,37.65528,"nan",2.2,2398.0,0.71,6.87,"TYC",-0.53,0.69,-4.34,0.69,15.0,"K14",-13.0,3.0,"nan","RGDZ","nan","nan","nan","nan"
"Alessi Teutsch 11",304.13333,52.075,"nan",26.4,550.0,0.08,8.15,"D14",-0.06,0.1,-1.46,0.12,1015.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0195",304.2125,33.62667,"IR",3.6,2331.0,1.437,9.345,"D14",4.5,0.06,-2.72,0.06,13.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"VDB 130",304.425,39.35,"nan",6.0,1589.0,0.916,7.4,"D14",-3.61,0.47,-4.58,0.48,50.0,"K14","nan","nan","nan","nan","nan","nan","nan","2-2-p-n"
"Feibelman 1",304.44583,38.03333,"nan",5.0,1457.0,2.124,6.7,"D14",-2.35,0.1,-2.24,0.23,121.0,"K14",-8.9,0.74,1.0,"D14","nan","nan","nan","nan"
"Dolidze 40",304.48333,37.93306,"OC",16.5,2702.0,1.062,8.4,"D14",-0.22,0.12,-0.77,0.14,668.0,"K14",-8.9,0.74,1.0,"D14","nan","nan","nan","3-1-p-n"
"Kronberger 74",304.4875,36.76028,"nan",1.1,1760.0,0.87,9.0,"D14",14.64,0.93,20.68,0.0,11.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Collinder 419",304.52917,40.73194,"nan",4.0,740.0,0.34,6.85,"D14",-2.15,0.07,-6.28,0.01,51.0,"K14",-8.22,2.79,2.0,"D14","nan","nan","nan","4-2-p-*"
"FSR 0232",304.55833,42.63056,"IR",3.1,1546.0,0.791,8.15,"D14",0.81,0.92,-3.47,1.72,22.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Teutsch 124",304.5875,31.20611,"nan",4.0,840.0,1.82,9.84,"D14",0.34,0.01,-2.77,0.14,45.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Berkeley 85",304.72917,37.75917,"nan",5.0,1760.0,0.77,9.0,"D14",-1.45,0.3,-1.52,0.2,142.0,"K14","nan","nan","nan","nan","nan","nan","nan","3-1-m-*"
"FSR 0223",304.91667,40.92778,"IR",1.8,2466.0,1.832,6.55,"K14",-2.7,0.5,-4.8,0.5,141.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Dolidze 42",304.925,38.13333,"nan",7.0,972.0,0.571,7.542,"D14",-1.14,0.23,-0.53,0.37,136.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0222",305.02083,40.83639,"IR",1.2,1238.0,1.666,7.2,"D14",2.94,0.04,-5.65,0.04,8.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Berkeley 86",305.1,38.7,"v",6.0,1112.0,0.898,7.116,"D14",-4.56,0.01,-5.56,0.01,73.0,"K14",-25.54,2.6,2.0,"FM09","nan","nan","nan","nan"
"Kronberger 58",305.2,41.20472,"nan",0.2,1515.0,1.35,8.2,"nan","nan","nan","nan","nan","nan","K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Berkeley 88",305.4,48.08333,"nan",2.0,6319.0,0.88,9.2,"K14",-2.49,0.6,-4.02,0.6,12.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-1-p-*"
"Berkeley 87",305.425,37.36667,"nan",10.0,633.0,1.369,7.152,"D14",-1.93,0.26,-3.11,0.29,99.0,"K14",-65.0,84.8,1.0,"D14","nan","nan","nan","nan"
"NGC 6904",305.45,25.74,"nan",8.0,1355.0,0.39,9.0,"D14",-1.01,0.29,-5.88,0.22,232.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Collinder 421",305.79167,41.69306,"nan",3.6,1050.0,0.64,8.4,"D14",-3.61,0.02,-11.58,0.2,21.0,"K14","nan","nan","nan","nan","nan","nan","nan","3-1-p-n"
"NGC 6910",305.8,40.77833,"nan",10.0,1139.0,0.971,7.127,"D14",-2.46,0.14,-6.02,0.07,156.0,"K14",-31.57,2.05,3.0,"D14","nan","nan","nan","nan"
"Kronberger 57",305.9875,36.605,"nan",2.2,1295.0,1.06,8.2,"K14",-2.35,0.69,-2.01,0.69,26.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 6913",305.9875,38.50833,"nan",10.0,1540.0,1.03,6.7,"D14",-3.21,0.15,-4.56,0.16,131.0,"K14",-16.9,0.6,"nan","BMTB","nan","nan","nan","nan"
"Majaess 207",306.05417,35.8725,"IR",7.0,"nan","nan","nan","D14",0.8,0.33,-16.49,0.7,70.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Dolidze 8",306.09583,42.28111,"nan",7.3,1078.0,1.666,8.855,"D14",-12.96,0.2,-4.4,0.83,3.0,"K14","nan","nan","nan","nan","nan","nan","nan","1-2-p-n"
"Berkeley 89",306.15,46.05,"nan",3.0,2040.0,1.05,9.05,"D14",-1.86,0.5,-3.62,0.01,66.0,"K14","nan","nan","nan","nan","nan","nan","nan","3-1-p-*"
"FSR 0239",306.19167,42.81778,"IR",4.4,"nan","nan","nan","D14",1.59,0.61,-16.2,1.78,13.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0224",306.3375,40.22694,"IR",2.0,1427.0,0.708,9.005,"K14",-5.25,0.54,-7.05,0.54,40.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Dolidze 9",306.425,41.93333,"nan",5.0,1063.0,0.833,8.0,"D14",4.2,0.78,-11.71,2.01,11.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-2-p-n"
"FSR 0210",306.65417,37.28111,"IR",4.3,1087.0,0.833,8.8,"D14",1.46,0.53,-0.33,0.56,29.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0213",306.74583,38.97556,"IR",6.4,1434.0,0.833,8.715,"D14",-0.53,0.71,-3.16,0.37,59.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Teutsch 30",306.92917,36.07556,"nan",3.2,1600.0,1.24,6.9,"D14",1.34,0.14,-6.55,0.53,35.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Teutsch 28",307.07917,35.11528,"nan",4.4,3100.0,1.44,9.95,"D14",3.02,0.62,-0.83,1.13,22.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Roslund 6",307.20417,39.32667,"nan",24.0,450.0,0.06,8.47,"D14",-0.52,0.21,-4.17,0.22,350.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-3-m-n"
"Dolidze 44",307.425,41.71667,"nan",10.0,1499.0,0.687,8.155,"D14",-0.61,0.41,-5.44,0.63,93.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-2-p-n"
"NGC 6939",307.875,60.66167,"v",10.0,1800.0,0.33,9.2,"D14",-2.37,0.09,-5.29,0.08,285.0,"K14",-42.0,10.0,4.0,"TFV",0.0,0.1,"nan","nan"
"FSR 0236",308.18333,41.45222,"IR",3.9,901.0,1.172,8.2,"K14",0.1,0.29,-1.01,0.29,303.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Bica 1",308.29167,41.21861,"nan",3.0,1800.0,2.12,6.6,"D14",-1.67,0.31,-2.07,0.39,27.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Bica 2",308.3125,41.3125,"nan",5.0,1800.0,1.82,6.6,"D14",-0.49,0.23,-3.56,0.27,74.0,"K14",-28.0,18.0,1.0,"D14","nan","nan","nan","nan"
"FSR 0260",308.41667,45.64306,"IR",2.2,1318.0,0.625,8.93,"K14",-5.9,0.63,0.68,0.63,63.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Kronberger 59",308.45833,40.14806,"nan",1.0,780.0,0.84,8.0,"K14",-2.47,0.91,0.01,0.91,12.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 6940",308.60833,28.28333,"nan",25.0,770.0,0.214,8.858,"D14",-3.4,0.07,-4.47,0.14,877.0,"K14",7.89,0.14,21.0,"MMU",0.013,0.13,6.0,"nan"
"NGC 6938",308.675,22.215,"nan",7.2,1250.0,0.13,9.11,"D14",0.55,0.54,-3.55,0.37,105.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0238",308.69583,41.41556,"IR",3.7,3091.0,1.707,6.77,"K14",-1.03,0.41,-3.55,0.41,78.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0247",308.7375,42.92222,"IR",0.4,"nan","nan","nan","nan","nan","nan","nan","nan","nan","K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Patchick 103",308.78333,53.3,"nan",1.3,2220.0,0.71,8.9,"D14",6.8,1.78,2.35,0.72,7.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Berkeley 90",308.825,46.83333,"nan",5.0,2070.0,1.19,8.05,"D14",-2.13,0.32,-0.52,0.37,77.0,"K14","nan","nan","nan","nan","nan","nan","nan","2-1-p-n"
"FSR 0255",308.97083,44.32528,"IR",0.7,1233.0,1.666,7.9,"K14",-2.17,0.49,-3.66,0.49,98.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Majaess 209",309.3375,47.23444,"IR",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0245",309.52083,42.23111,"IR",1.2,1186.0,1.332,8.58,"K14",1.98,0.63,0.76,0.63,21.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0249",309.6,42.50083,"IR",4.0,1790.0,1.353,6.1,"D14",3.22,1.15,-3.17,1.03,14.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0251",310.05833,42.97583,"IR",2.7,857.0,1.041,8.7,"K14",-1.77,0.62,-3.28,0.62,117.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0246",310.12917,42.05,"IR",3.6,"nan","nan","nan","D14",5.68,1.49,1.21,2.38,8.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"NGC 6950",310.26667,16.61833,"nan",15.0,1070.0,0.06,9.26,"D14",-1.77,0.21,-3.62,0.2,299.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Dolidze 47",310.47917,36.57694,"OC",11.0,2293.0,0.77,8.4,"D14",-2.28,0.17,-3.57,0.19,223.0,"K14","nan","nan","nan","nan","nan","nan","nan","3-2-p-*"
"FSR 0225",310.72083,37.82889,"IR",3.0,1150.0,2.165,8.865,"D14",-2.23,0.02,-4.19,0.51,27.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Turner 11",310.85,35.58833,"nan",8.2,1905.0,1.13,8.6,"D14",-3.58,0.26,-5.41,0.17,127.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Ruprecht 174",310.87917,37.02417,"nan",9.6,2110.0,0.32,8.9,"D14",-2.73,0.23,-4.49,0.14,249.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-1-p-*"
"Alessi 12",310.95,23.79167,"nan",40.0,537.0,0.08,8.1,"AMD",4.33,1.44,-5.35,1.44,28.0,"K14",-26.0,3.7,1.0,"D14","nan","nan","nan","4-3-m-*"
"FSR 0248",310.9875,41.6575,"IR",2.6,"nan","nan","nan","nan","nan","nan","nan","nan","nan","K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0258",311.20833,43.915,"IR",1.6,1238.0,1.666,8.3,"D14",21.47,0.5,-23.72,0.06,3.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"Ruprecht 175",311.3,35.5,"nan",14.0,4431.0,0.521,9.0,"D14",-2.6,0.14,-4.4,0.1,588.0,"K14","nan","nan","nan","nan","nan","nan","nan","4-2-m-*"
"FSR 0237",311.375,39.61111,"IR",2.8,1656.0,2.811,8.1,"K14",-0.94,0.52,-2.95,0.52,73.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"FSR 0274",312.27917,47.89472,"IR",1.6,2153.0,1.041,7.8,"D14",-3.18,0.02,5.01,0.33,24.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
"SAI 137",312.47083,41.255,"nan",6.0,1060.0,0.89,8.7,"D14",-3.26,0.09,-8.75,0.02,19.0,"K14","nan","nan","nan","nan","nan","nan","nan","nan"
