"Cluster","Rlim","Rc","Age","e_Age","EBV","e_EBV","R_sun","e_R_sun","RGC","X_sun","Y_sun","Z","Ref.","RA","DEC"
"Czernik_45",2.5,0.19,0.02,0.0,1.45,0.11,2530,115,9.9,"1150",2251.0,"102",4,359.075,64.55
"Dol-Dzim_1",7.0,0.16,5.0,0.25,0.1,0.03,960,45,9.4,"710",278.0,"-584",4,41.875,17.26667
"Dol-Dzim_2",5.0,0.38,0.8,0.03,0.65,0.11,1220,55,9.7,"1159",-251.0,"-286",4,80.76667,11.46667
"Dol-Dzim_3",4.5,0.19,0.4,0.02,0.77,0.13,2530,115,11.0,"2525",-30.0,"-v156",4,83.425,26.48333
"Dol-Dzim_4",12.0,0.26,0.1,0.0,1.1,0.18,1220,55,9.7,"1217",-30.0,"-73",4,83.975,25.95
"Dol-Dzim_5",15.0,0.55,2.0,0.09,0.02,0.0,900,40,8.1,"-316",567.0,"624",4,246.85,38.06667
"Dol-Dzim_6",4.0,0.53,5.0,0.26,0.03,0.0,820,35,8.1,"-297",549.0,"531",4,251.35,38.35
"Dol-Dzim_7",3.0,0.88,2.0,0.11,0.13,0.02,1140,50,7.6,"-802",589.0,"555",4,257.65,15.53333
"Dol-Dzim_8",8.0,0.9,3.0,0.12,0.06,0.0,2330,100,7.1,"-1392",1494.0,"1123",4,261.55,24.18333
"Dol-Dzim_9",12.0,0.3,2.3,0.1,0.06,0.0,2330,100,7.6,"-1091",1752.0,"845",4,272.2,31.53333
"Dol-Dzim_10",2.5,0.07,1.0,0.05,0.55,0.09,1670,75,8.3,"-384",1620.0,"135",4,301.45,40.53333
"Dol-Dzim_11",3.0,0.4,2.0,0.11,0.42,0.05,2545,115,8.4,"-522",2480.0,"-232",4,312.75,35.95
"Ruprecht_13",4.5,0.07,1.0,0.05,0.26,0.05,1300,60,9.3,"685",-1090.0,"-185",9,107.0125,-25.86667
"Ruprecht_15",5.5,0.32,0.5,0.03,0.65,0.05,1845,85,9.7,"1095",-1482.0,"-93",8,109.8875,-19.63333
"Ruprecht_16",3.5,0.31,0.16,0.02,0.71,0.07,2160,100,9.9,"1276",-1742.0,"-78",9,110.79167,-19.46667
"Ruprecht_24",5.0,0.54,0.06,0.0,0.35,0.05,1983,90,9.9,"1300",-1492.0,"103",9,112.975,-12.75
"Ruprecht_135",3.0,0.5,0.5,0.02,1.1,0.05,1850,85,6.74,"-1764",520.0,"201",1,269.55,-11.65
"Ruprecht_137",2.8,0.25,0.8,0.06,0.67,0.05,1450,65,7.06,"-1445",123.0,"-23",1,270.06667,-25.2275
"Ruprecht_138",3.0,0.21,2.0,0.11,0.18,0.05,930,40,7.57,"-926",86.0,"-9",1,269.98333,-24.6825
"Ruprecht_142",3.3,0.03,0.4,0.04,0.91,0.05,1735,80,6.89,"-1631",590.0,"-41",1,278.04583,-12.22972
"Ruprecht_168",2.6,0.8,2.0,0.12,1.06,0.11,820,35,7.68,"-820",18.0,"-16",1,268.19167,-28.43333
"Ruprecht_169",2.6,0.14,1.0,0.05,0.66,0.05,1390,60,7.12,"-1384",125.0,"-13",1,269.84167,-24.76694
"Ruprecht_171",5.7,0.26,3.2,0.15,0.12,0.03,1140,50,7.41,"-1092",323.0,"-62",1,278.04583,-16.04972
"Dolidze_9",3.0,0.72,0.02,0.0,0.8,0.05,866,40,8.4,"-152",852.0,"35",5,306.425,41.93333
"Dolidze_10",1.8,0.32,0.25,0.05,0.8,0.05,950,44,8.4,"-190",931.0,"19",5,306.575,40.11667
"Dolidze_11",2.5,0.27,0.4,0.03,0.83,0.06,1127,52,8.4,"-204",1108.0,"37",5,306.625,41.45
"Dolidze_19",12.0,0.4,0.16,0.05,0.55,0.02,1320,60,9.8,"1229",-332.0,"-349",5,80.925,8.18333
"Dolidze_21",6.0,0.65,0.2,0.08,0.55,0.03,1447,65,9.9,"1339",-399.0,"-377",5,81.85,7.06667
"Dolidze_26",11.0,0.8,0.1,0.01,0.44,0.04,1907,88,10.2,"1657",-826.0,"458",5,112.525,11.9
"Dolidze_27",14.0,0.78,0.05,0.0,0.75,0.07,1015,45,7.5,"-914",122.0,"424",5,249.125,-8.95
"Dolidze_37",4.0,0.4,0.3,0.08,0.48,0.05,1490,70,8.2,"-411",1429.0,"93",5,300.75,37.68333
"Dolidze_39",4.0,0.06,0.25,0.06,0.44,0.05,872,40,8.3,"-218",844.0,"22",5,304.1,37.86667
"Dolidze_41",5.0,0.25,0.4,0.05,0.53,0.03,1763,80,8.2,"-435",1708.0,"31",5,304.70417,37.75
"Dias_2",5.5,0.41,0.79,0.02,0.61,0.11,2835,130,11.2,"2570",-1142.0,"-358",3,92.2875,4.59
"Dias_3",8.0,0.88,1.41,0.11,0.64,0.11,4650,215,12.3,"3423",-3147.0,"28",3,107.61667,-8.43722
"Dias_4",3.2,0.04,1.26,0.09,0.6,0.1,2150,100,7.3,"-1347",-1675.0,"-28",3,205.91667,-63.025
"Dias_6",3.0,0.28,0.6,0.02,0.91,0.07,1580,70,7.03,"-1488",530.0,"-28",1,277.625,-12.31639
"Dias_7",5.0,0.22,2.0,0.1,0.42,0.04,2540,115,7.5,"-1334",2158.0,"-109",3,297.34167,21.16333
"Dias_8",5.0,0.12,2.24,0.1,0.3,0.05,2220,100,7.3,"-1404",1693.0,"-302",3,298.02917,11.63167
"Turner_2",3.8,0.87,0.1,0.01,0.36,0.04,1190,55,7.34,"-1163",250.0,"-27",1,274.29583,-18.82417
"Turner_6",1.3,0.11,0.08,0.01,1.32,0.13,3250,145,8.0,"278",-3071.0,"18",4,164.75417,-59.49944
"Turner_7",13.0,0.32,0.08,0.01,1.39,0.15,1800,80,7.3,"-251",-1238.0,"104",4,218.1375,-56.88667
"Turner_8",5.0,0.34,5.0,0.3,1.16,0.12,2160,100,7.8,"-30",1933.0,"64",4,296.31667,27.84167
"Turner_11",8.2,0.45,0.4,0.03,1.13,0.1,1905,85,8.3,"-30",1850.0,"-142",4,310.85,35.58833
"King_17",2.8,0.16,0.79,0.03,0.73,0.12,2960,135,11.4,"2887",650.0,"-38",3,77.1,39.08333
"King_18",2.4,0.16,0.35,0.03,0.52,0.07,1860,85,9.2,"567",1770.0,"-33",3,343.025,58.28333
"King_23",3.6,0.37,0.89,0.04,0.16,0.05,3113,140,11.2,"2513",-1795.0,"390",3,110.44583,-0.985
"King_26",2.2,0.24,0.44,0.02,1.27,0.15,2600,120,7.1,"-1656",2003.0,"-61",3,292.25417,14.86722
"VDBH_47, BH_47",7.7,0.27,0.8,0.05,0.73,0.05,2465,110,6.03,"145",-2456.0,"-154",1,130.6375,-48.08694
"VDBH_60, BH_60",2.1,0.09,0.4,0.01,0.67,0.05,1325,60,7.17,"-38",-1324.0,"-16",1,138.97083,-50.01056
"VDBH_218, BH_218",2.8,0.06,0.4,0.01,0.88,0.06,1215,55,7.28,"-1188",-254.0,"-14",1,259.05,-39.40111
"ESO_524-01",3.0,0.3,3.2,0.14,0.3,0.03,2800,130,5.75,"-2694",430.0,"-629",1,284.15417,-26.96083
"ESO_522-05",2.2,0.23,3.2,0.14,1.82,0.15,660,30,7.84,"-654",80.0,"-35",1,273.22083,-24.36389
"ESO_525-08",3.0,0.26,1.0,0.05,0.36,0.04,1640,75,6.93,"-1505",407.0,"-507",1,291.81667,-23.57639
"IC_1434",3.5,0.27,0.32,0.02,0.66,0.05,3035,140,9.5,"523",2986.0,"-143",3,332.64167,52.82778
"IC_2156",2.0,0.07,0.25,0.02,0.67,0.05,2100,95,10.6,"2087",-230.0,"47",3,91.2125,24.15833
