"Cluster","RA_ICRS","DE_ICRS","pmRA*","e_pmRA*","pmDE","e_pmDE","DMode","RV","e_RV","o_RV","f_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","f_[Fe/H]","GX","e_GX","GY","e_GY","GZ","e_GZ","U","e_U","V","e_V","W","e_W","Rap","Rperi","EC","Zmax","RGC","e_RGC","Ageref","Distref","E(B-V)ref","Ref","_RA.icrs","_DE.icrs"
"FSR_1032",99.072,4.011,-1.372,0.39,-3.174,0.356,2062.3,22.27458,"nan",1,"nan",0.0,0.0,0,"nan",-10162.155,394.23203,-953.9866,206.39777,-55.044556,11.90902,1.9226055,"nan",223.27155,"nan",-19.499283,"nan",10.656709110672368,8.864297722530615,0.0918196178843126,0.3742152993825284,10215.298,414.89053,0.0,0.0,0.0,"nan",99.072,4.011
"FSR_1051",103.046,3.662,-0.761,0.071,-2.639,0.087,2333.8,41.860023,"nan",1,"nan",0.0,0.0,0,"nan",-10373.937,506.45984,-1162.7719,289.53595,75.018555,18.67998,-14.798204,"nan",211.90154,"nan",-12.183117,"nan",10.532446502691108,8.486688477103469,0.1075631477331118,0.2466277428905342,10442.919,527.6055,8.79,1180.0,0.437,"(2)",103.046,3.662
"FSR_1063",98.654,-0.265,0.057,0.1,-1.541,0.097,2367.5,12.663234,"nan",1,"nan",0.0,0.0,0,"nan",-10355.644,508.65103,-1223.0323,308.63293,-159.20099,40.174473,8.853299,"nan",232.53873,"nan",-0.91618633,"nan",11.62227612058918,9.198069874852417,0.1164344841467822,0.1403690178790582,10445.144,544.1624,8.403,2281.3928,0.5703226,"(3)",98.654,-0.265
"FSR_1083",110.503,3.557,-0.331,0.143,0.245,0.16,4542.4,95.819176,12.98783,5,"nan",-0.28133333,0.091029294,3,"nan",-12080.128,2149.4326,-2451.206,1408.6957,661.9332,380.40958,-73.01053,11.070722,206.59772,8.152309,17.35685,4.1532974,13.24471241052058,10.534850200054196,0.113957613722521,0.9225906942431878,12386.107,2391.434,0.0,0.0,0.0,"nan",110.503,3.557
"FSR_1085",103.29,-0.192,-1.05,0.097,0.262,0.108,1599.9,42.229004,5.6130285,2,"nan",-0.438,"nan",1,"nan",-9673.939,221.5538,-876.1848,145.52798,8.217109,1.3648063,-27.18645,4.7259016,233.55197,3.2415812,1.2867789,1.2650139,9.92216039166187,9.54634976595974,0.0193035123211525,0.0433663329919523,9719.539,232.25877,8.735,1429.0,0.079,"(2)",103.29,-0.192
"Feibelman_1",304.417,38.03,-3.192,0.069,-4.956,0.089,3457.0,-21.904337,6.7771697,2,"nan",0.0,0.0,0,"nan",-7492.388,330.43365,3352.45,1306.9155,80.7056,31.462307,99.378716,25.190598,207.38687,"nan",4.5036354,24.120672,8.290596111288869,7.476003027567731,0.0516657445620965,0.1166021367577658,8321.651,275.7372,0.0,0.0,0.0,"nan",304.417,38.03
"Ferrero_11",93.646,0.637,-3.013,0.149,-4.339,0.101,788.0,17.065998,2.4647858,5,"nan",-0.178,0.078064084,5,"nan",-9027.773,53.80799,-367.71576,28.768196,-108.206764,8.465551,2.6364565,2.2788155,237.30927,1.2807783,-12.398773,1.453346,9.42537509820321,8.732091675369675,0.0381817260898182,0.2070124564420943,9037.061,55.995502,8.554,798.73004,0.18419355,"(3)",93.646,0.637
"Gulliver_11",67.996,43.62,0.4,0.206,-2.229,0.149,917.3,-3.6923487,8.135792,4,"nan",0.021333335,0.078213386,3,"nan",-9197.118,79.88148,321.5898,29.971344,-49.243156,4.5893497,11.913849,7.6147447,243.09677,3.0308137,2.1172032,1.0291224,9.808708326868398,9.24543682339586,0.0295616255166779,0.0386957825896505,9203.16,79.56781,0.0,0.0,0.0,"nan",67.996,43.62
"Gulliver_18",302.905,26.532,-3.198,0.089,-5.646,0.1,1558.6,12.848355,18.410892,4,"nan",0.0,0.0,0,"nan",-7695.0464,101.97053,1416.9752,224.03375,-108.07358,17.087177,59.877144,9.087278,243.8958,16.708076,3.4125729,5.8338633,8.752090460464977,7.735288641663046,0.0616715253833577,0.0992898293890043,7830.016,60.65157,0.0,0.0,0.0,"nan",302.905,26.532
"Gulliver_20",273.736,11.082,1.039,0.251,-6.525,0.169,420.9,-19.551905,6.5543556,3,"nan",-0.097,0.018384777,2,"nan",-8020.6143,13.597235,257.07678,10.944583,95.17476,4.0518875,4.385894,4.9896846,232.90776,4.0362616,-4.4656754,1.5632398,8.095405595095153,7.519100073738442,0.0369083423823663,0.131670125122321,8025.4214,13.07086,8.289,395.0027,0.04806452,"(3)",273.736,11.082
