"Cl","Ns","Age","e_Age","f_Age","RAdeg","e_RAdeg","DEdeg","e_DEdeg","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","Nred","E(Bp-Rp)","e_E(Bp-Rp)","Nwd","e_Nwd","f_Nwd","GC20","Nt1","Nt4"
"NGC 2099",1488.0,447.0,213.0,"H",88.076,0.19,32.545,0.176,1.931,0.237,-5.638,0.223,0.667,0.117,715.0,0.374,0.005,327.0,179.0,"nan",1,0,0
"NGC 2168",1600.0,"nan","nan","nan",92.261,0.471,24.326,0.464,2.276,0.285,-2.914,0.284,0.441,0.626,776.0,0.29,0.005,"nan","nan","#",1,0,0
"NGC 2169",133.0,12.0,6.0,"H",92.122,0.191,13.953,0.179,-0.944,0.612,-1.602,0.501,1.006,0.212,35.0,0.321,0.057,0.0,0.52,"nan",1,0,0
"NGC 2184",158.0,646.0,308.0,"H",92.557,1.038,-3.343,0.891,-0.605,0.234,-0.291,0.242,1.347,0.247,17.0,0.252,0.036,5.0,1.6,"nan",1,0,0
"NGC 2186",256.0,251.0,120.0,"H",93.01,0.168,5.453,0.163,0.437,0.177,-1.976,0.173,0.413,0.358,96.0,0.405,0.019,21.7,10.9,"nan",1,0,0
"NGC 2232",142.0,18.0,8.0,"H",96.906,0.664,-4.793,0.667,-4.681,0.299,-1.799,0.306,3.06,0.321,59.0,0.146,0.026,0.0,0.73,"nan",1,0,0
"NGC 2244",394.0,"nan","nan","nan",98.085,0.483,4.875,0.445,-1.581,0.369,0.155,0.363,0.648,0.122,104.0,0.917,0.04,"nan","nan","#",1,0,0
"NGC 2281",313.0,617.0,294.0,"H",102.079,0.482,41.041,0.457,-2.954,0.297,-8.316,0.266,1.886,0.146,207.0,0.153,0.01,28.0,9.6,"nan",1,0,0
"NGC 2287",649.0,170.0,81.0,"H",101.495,0.468,-20.705,0.478,-4.333,0.224,-1.357,0.246,1.356,0.191,423.0,0.039,0.003,24.6,12.5,"nan",1,0,0
"NGC 2301",536.0,214.0,102.0,"H",102.949,0.223,0.47,0.206,-1.337,0.253,-2.178,0.233,1.14,0.13,350.0,0.092,0.004,25.6,11.0,"nan",1,0,0
"NGC 2302",162.0,250.0,50.0,"CG",102.978,0.14,-7.088,0.14,-1.439,0.296,-0.247,0.252,0.807,0.175,75.0,0.195,0.017,8.7,1.6,"nan",1,0,0
"NGC 2323",795.0,132.0,63.0,"H",105.706,0.191,-8.349,0.191,-0.704,0.466,-0.624,0.391,0.992,0.146,378.0,0.306,0.007,26.2,14.2,"nan",0,0,0
"NGC 2335",207.0,200.0,50.0,"CG",106.696,0.133,-10.023,0.129,-0.767,0.229,-0.647,0.217,0.582,0.119,63.0,0.531,0.027,17.8,4.9,"nan",1,0,0
"NGC 2343",174.0,87.0,42.0,"H",107.02,0.13,-10.623,0.123,0.216,0.28,-0.189,0.207,0.909,0.127,107.0,0.262,0.013,3.0,2.3,"nan",1,0,0
"NGC 2353","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",1,0,0
"NGC 2362",223.0,6.0,3.0,"H",109.676,0.125,-24.951,0.135,-2.762,0.263,2.934,0.266,0.749,0.143,77.0,0.17,0.029,0.0,"nan","nan",1,0,0
"NGC 2368","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"NGC 2396",388.0,72.0,35.0,"H",112.018,0.485,-11.708,0.466,-1.509,0.158,-0.239,0.149,0.669,0.071,165.0,0.132,0.009,4.5,4.6,"nan",1,0,0
"NGC 2413","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,0,0
"NGC 2430",308.0,600.0,100.0,"CG",114.825,0.246,-16.512,0.27,-3.228,0.265,2.439,0.209,0.746,0.122,151.0,0.134,0.01,47.6,7.7,"nan",0,0,0
"NGC 2448",474.0,95.0,46.0,"H",116.11,0.608,-24.754,0.613,-3.299,0.232,2.945,0.216,0.831,0.205,209.0,0.104,0.01,7.4,5.3,"nan",1,0,0
"NGC 2451A",73.0,35.0,17.0,"H",115.824,0.906,-38.383,0.782,-21.053,0.73,15.328,0.71,5.157,0.218,52.0,0.036,0.016,0.0,0.48,"nan",1,0,0
"NGC 2451B",118.0,41.0,20.0,"H",116.155,0.682,-37.903,0.651,-9.529,0.554,4.788,0.458,2.708,0.294,73.0,0.189,0.021,0.0,1.1,"nan",1,0,10
