"Name","RAJ2000","DEJ2000","Rc","e_Rc","Type","Nm","pmRA*","pmDE"
"Ruprecht 134",268.17917,-29.55,5.5,0.5,"A",200,-1.564,-2.385
"Czernik 37",268.32083,-27.36944,3.95,0.25,"A",235,0.537,-0.406
"Bochum 14",270.5,-23.68333,2.8,0.2,"B",164,0.351,-1.167
"NGC 6520",270.85,-27.88833,3.5,0.1,"B",317,0.477,-0.72
"NGC 6531",271.05417,-22.49,5.5,1.5,"B",145,0.597,-1.404
"NGC 6530",271.12917,-24.35833,7.0,2.0,"A",626,1.48,-1.938
"ESO 521 38",272.35417,-24.53,2.5,0.5,"B",65,-0.132,-2.104
"NGC 6561",272.625,-16.725,7.0,2.0,"B",122,-1.159,-1.731
"NGC 6568",273.18333,-21.605,11.5,1.5,"B",153,0.544,-1.326
"Markarian 38",273.82083,-19.0,1.7,0.3,"B",35,0.759,-2.15
"NGC 6583",273.95417,-22.13667,4.15,0.45,"B",216,1.504,0.034
"Collinder 469",274.14167,-18.31167,2.75,0.75,"B",110,-0.061,-1.453
"NGC 6603",274.60833,-18.40667,6.5,2.2,"A",760,0.143,-2.131
"NGC 6613",274.99167,-17.10167,3.7,0.9,"B",38,-0.629,-0.985
"Bica 3",276.51667,-13.05889,1.9,0.3,"B",90,-0.519,-1.572
"NGC 6631",276.79583,-12.03,3.5,1.4,"B",183,-0.53,-3.025
"Dias 6",277.625,-12.31639,4.05,0.85,"A",228,0.435,-0.524
"Trumpler 34",279.95,-8.41667,3.0,0.7,"B",74,-1.211,-3.473
"Teutsch 145",280.62083,-5.25333,2.3,0.5,"B",204,-1.534,-3.748
"Andrews Lindsay 5",281.07917,-4.93,2.35,0.15,"B",350,-1.066,-3.793
"NGC 6694",281.325,-9.38333,5.25,1.65,"B",296,0.15,-1.539
"FSR 0101",282.30833,2.76833,2.95,0.35,"B",125,-1.772,-2.227
"Czernik 38",282.425,4.93333,4.85,0.25,"A",160,-1.669,-4.883
"NGC 6704",282.6875,-5.205,3.7,1.4,"A",153,-0.714,-3.009
"Berkeley 80",283.59167,-1.21667,3.3,1.6,"A",302,-0.769,-2.712
"NGC 6735",285.15417,-0.475,7.0,1.0,"B",185,-0.015,-1.135
"Berkeley 81",285.41667,-0.45611,2.8,0.5,"A",118,-1.327,-1.706
"Alessi 56",286.71667,9.58333,1.6,0.1,"B",132,-1.805,-5.152
"Juchert 3",286.8875,6.28611,4.0,1.0,"A",77,-1.758,-3.997
"NGC 6755",286.95417,4.26667,6.0,1.0,"A",654,-0.831,-4.325
"NGC 6756",287.175,4.705,2.6,0.2,"A",223,-1.712,-3.695
"FSR 0124",287.925,12.05139,3.3,0.7,"A",198,-1.281,-4.378
"Berkeley 44",289.3,19.55,5.3,0.5,"A",232,0.025,-2.755
"Berkeley 45",289.8,15.71667,2.2,0.5,"A",138,-1.346,-4.484
"NGC 6791",290.22083,37.77167,10.5,1.0,"A",3658,-0.412,-2.225
"Berkeley 47",292.15,17.36833,3.65,0.65,"B",172,-2.026,-5.23
"King 26",292.25417,14.86722,4.7,0.2,"B",153,-2.461,-5.031
"NGC 6802",292.64583,20.26167,6.4,1.4,"B",788,-2.768,-6.408
"NGC 6811",294.32083,46.38833,13.5,1.5,"A",257,-3.391,-8.656
"NGC 6819",295.31667,40.19694,15.0,3.0,"A",1961,-2.893,-3.727
"Skiff J1942+38.6",295.6,38.65,3.85,1.95,"B",70,-3.138,-5.891
"Dolidze 53",296.59583,24.65139,4.0,2.0,"B",92,-1.433,-4.675
"NGC 6827",297.22083,21.215,1.9,0.4,"A",233,-2.273,-5.454
"NGC 6830",297.74583,23.1,5.25,2.95,"B",227,-3.154,-5.753
"SAI 132",299.25417,31.60861,4.0,0.8,"B",206,-2.434,-4.065
"Berkeley 49",299.875,34.64167,2.3,0.7,"A",157,-3.009,-6.146
"Teutsch 8",300.59583,35.31139,1.7,0.1,"B",94,-3.452,-6.827
"NGC 6866",300.97917,44.15833,7.5,5.5,"B",146,-1.397,-5.57
"Collinder 416",302.89583,26.53444,5.5,2.3,"B",201,-3.145,-5.599
"Ruprecht 172",302.9,35.605,3.0,1.0,"A",78,-2.082,-3.621
"NGC 6885",303.00417,26.47833,7.5,3.5,"B",268,-3.145,-5.666
"Berkeley 52",303.625,28.94667,4.5,0.5,"B",424,-4.093,-5.476
"vdBergh 130",304.425,39.35,4.3,1.1,"B",101,-3.971,-4.889
"Dolidze 5",305.04167,39.33056,5.9,2.1,"A",106,-1.929,-5.289
"Berkeley 87",305.425,37.36667,10.0,0.5,"A",137,-3.522,-6.348
"FSR 0239",306.19167,42.81778,4.35,0.25,"B",421,-3.107,-5.865
"NGC 6939",307.875,60.66167,14.75,1.45,"A",777,-1.9,-5.284
"FSR 0258",311.20833,43.915,2.3,0.2,"B",92,-3.124,-3.641
"NGC 6996",314.125,44.63333,8.0,4.0,"A",227,-4.33,-6.867
"FSR 0275",314.15,46.89167,3.25,1.35,"A",129,-2.826,-4.91
"Teutsch 22",315.42083,44.11194,2.5,0.8,"B",167,-3.407,-4.629
"FSR 0282",315.575,48.11667,5.0,1.0,"A",286,-3.721,-4.492
"Teutsch 156",315.94583,47.215,3.1,0.4,"B",238,-3.349,-3.851
"NGC 7031",316.8,50.875,5.5,2.5,"B",137,-1.291,-4.396
"Berkeley 91",317.71667,48.53667,2.0,0.8,"B",181,-1.287,-2.759
"IC 1369",318.025,47.73333,5.5,1.4,"A",264,-4.618,-5.631
"NGC 7044",318.2875,42.495,6.75,0.85,"A",1036,-4.651,-5.39
"Berkeley 55",319.24167,51.75889,4.85,0.95,"A",295,-3.976,-4.546
"NGC 7062",320.8625,46.37833,3.25,1.35,"A",115,-1.929,-4.079
"FSR 0296",320.97917,49.92194,2.8,1.1,"B",70,-4.184,-5.3
"NGC 7086",322.6125,51.6,12.5,0.5,"A",736,-1.539,-1.74
"FSR 0316",325.21667,52.30694,1.75,0.05,"A",58,-3.147,-3.798
"NGC 7128",325.9875,53.715,3.65,1.25,"A",272,-3.925,-4.245
"Teutsch 74",326.43333,58.08417,2.9,0.9,"A",142,-3.333,-3.076
"FSR 0342",331.92083,53.12917,7.45,2.65,"A",279,-1.285,-1.904
"IC 1434",332.64167,52.82778,7.5,1.3,"B",380,-3.805,-3.323
"NGC 7235",333.10417,57.27,3.95,1.15,"B",164,-3.811,-3.021
"NGC 7245",333.79583,54.34333,6.5,2.3,"A",393,-3.857,-3.109
"King 9",333.875,54.4,2.9,0.4,"B",374,-2.297,-0.881
"NGC 7261",335.02917,58.12806,4.25,1.35,"A",150,-3.998,-2.745
"Berkeley 94",335.675,55.85,3.35,0.65,"A",115,-3.492,-3.016
"Berkeley 96",337.45417,55.39639,2.5,0.5,"A",76,-3.591,-2.972
"Czernik 42",339.95,59.915,3.1,0.3,"A",98,-3.426,-2.69
"Berkeley 98",340.65833,52.38778,4.3,2.4,"B",183,-1.33,-3.176
"FSR 0384",342.91667,56.10944,3.15,0.75,"B",43,-4.041,-1.506
"FSR 0406",343.45,62.61194,3.55,0.35,"B",98,-1.275,-2.608
"NGC 7423",343.78333,57.09667,3.45,1.15,"A",180,-1.31,-1.074
"FSR 0416",345.57083,63.06278,6.5,1.3,"B",82,-2.158,-3.19
"King 19",347.075,60.51667,6.4,1.4,"A",240,-4.676,-2.648
"NGC 7510",347.7625,60.57,6.25,0.85,"A",411,-3.793,-2.135
"Berkeley 99",350.4,71.75,5.3,0.7,"A",178,-3.088,-0.318
"Berkeley 100",351.49167,63.78,2.0,0.1,"B",77,-3.207,-1.595
"FSR 0436, Skiff J2330+60.2",352.525,60.2575,2.55,0.15,"B",84,-3.444,-1.773
"King 20",353.3125,58.46667,4.6,0.3,"A",95,-2.693,-2.584
"SAI 149",354.50833,60.54917,3.9,1.0,"B",83,-3.837,-1.706
"Berkeley 103",356.3,59.3,3.05,0.25,"B",145,-1.321,-0.919
"Negueruela 1",356.83333,63.22,2.8,0.2,"B",84,-2.911,-1.367
"King 11",356.95,68.63333,5.95,0.45,"A",706,-3.492,-0.545
"Teutsch 23",356.97917,62.98972,4.75,1.55,"B",78,-3.05,-1.317
"King 21",357.475,62.71667,3.1,0.4,"A",168,-3.044,-1.848
"King 12",358.25417,61.94583,4.15,1.35,"B",110,-3.433,-1.592
"NGC 7788",359.15833,61.40056,2.9,0.2,"A",139,-3.006,-1.671
"NGC 7790",359.6,61.20833,4.4,0.7,"A",278,-3.125,-1.405
