"Cluster","Age","Mc","Mdotc","Lwc","k","Mmin*","Mmax*","_RA","_DE"
"Sigma_Ori",1.3,113.4,1.3e-09,2.5000000000000002e+33,1677.5,1.16,4.58,84.716,-2.582
"Skiff_J2330+60.2",20.4,354.4,7.5e-09,1.4999999999999999e+34,5127.5,2.72,7.75,352.553,60.257
"Stephenson_1",28.2,89.5,6.1e-10,1.1000000000000001e+33,1352.5,0.41,5.57,283.568,36.899
"Stock_16",6.0,340.2,3.4e-08,8.099999999999999e+34,4661.1,2.59,6.78,199.86,-62.622
"Stock_17",10.0,80.1,4.3e-10,7.1e+32,1221.9,1.8,2.59,355.949,62.161
"Stock_18",13.2,245.3,1.3e-08,2.8999999999999997e+34,3432.4,2.07,5.43,0.399,64.625
"Stock_20",19.1,254.1,6.2e-09,1.3e+34,3656.3,2.27,8.5,6.318,62.624
"Stock_8",14.5,1778.7,7.7e-08,1.7e+35,25066.0,1.59,10.28,81.956,34.452
"Teutsch_1",27.5,378.2,4.4e-09,8.2e+33,5599.7,2.29,3.88,84.871,33.347
"Teutsch_125",8.7,247.3,1.4e-08,3.1e+34,3452.6,2.41,4.35,333.13208,58.85278
"Teutsch_127",11.5,352.9,2.5e-08,5.799999999999999e+34,4887.5,2.42,6.4,334.74708,56.12361
"Teutsch_13",7.9,252.2,1.5e-08,3.3e+34,3517.8,2.46,4.46,100.97917,1.4025
"Teutsch_23",5.6,537.3,1.2e-07,3.2e+35,7180.1,3.18,5.13,356.97583,62.99722
"Teutsch_30",28.8,217.4,2.3e-09,4.3e+33,3230.6,2.04,9.6,306.92917,36.07556
"Teutsch_42",1.3,480.0,9e-08,2.3e+35,6451.7,6.39,7.12,292.55458,18.53583
"Teutsch_8",4.0,236.6,1.2e-08,2.7e+34,3311.6,2.04,4.79,300.59708,35.31139
"Teutsch_85",4.0,760.3,3.2e-07,8.9e+35,9990.8,3.29,14.3,258.309,-39.718
"Trumpler_1",28.8,572.4,6.1e-09,1.0999999999999999e+34,8504.6,2.43,5.24,23.915,61.283
"Trumpler_11",27.5,437.2,5.1e-09,9.5e+33,6473.1,1.42,5.12,151.248,-61.619
"Trumpler_15",8.9,925.4,1.2e-07,2.9e+35,12578.7,2.03,7.16,161.177,-59.369
"Trumpler_16",13.5,1106.9,1.2e-05,9.2e+36,15518.1,2.64,7.19,161.253,-59.7
"Trumpler_17",20.0,1001.2,2.2e-08,4.5e+34,14459.0,1.46,6.59,164.108,-59.23
"UBC_101",28.2,525.0,5.8e-09,1.0999999999999999e+34,7785.7,2.36,5.47,279.496,-7.135
"UBC_103",22.4,883.0,1.5e-08,2.9999999999999997e+34,12865.6,2.69,5.51,280.633,-6.592
"UBC_10a",14.1,205.4,8.3e-09,1.8e+34,2901.5,1.39,5.77,324.652,62.206
"UBC_126",20.0,434.4,9.6e-09,1.8999999999999998e+34,6273.1,1.89,4.37,294.985,20.054
"UBC_130",27.5,605.8,7.1e-09,1.3e+34,8969.1,1.79,13.1,298.06,27.437
"UBC_135",24.0,654.5,1e-08,1.8999999999999998e+34,9586.0,2.66,12.33,299.824,33.724
"UBC_159",14.5,112.1,1.3e-09,2.3e+33,1662.3,1.02,4.1,339.03,39.621
"UBC_167",21.9,224.6,4.1e-09,8.1e+33,3266.6,1.42,3.5,324.786,62.332
"UBC_173",13.2,2024.1,1.1e-07,2.3999999999999998e+35,28327.4,2.47,6.03,341.704,56.408
"UBC_174",10.0,1724.5,1.7e-07,4e+35,23641.9,2.41,7.31,341.388,57.382
"UBC_176",6.9,1082.9,2.6e-07,6.9e+35,14448.0,1.88,5.23,345.532,57.063
"UBC_177",27.5,184.0,2.1e-09,4e+33,2724.1,1.21,6.29,339.659,67.044
"UBC_178",10.2,307.9,2.6e-08,5.999999999999999e+34,4244.0,1.9,7.69,346.201,63.36
"UBC_17a",18.6,228.3,5.8e-09,1.2e+34,3279.6,1.0,4.28,83.422,-1.671
"UBC_17b",11.5,173.7,4.9e-09,1e+34,2485.0,0.95,3.65,83.195,-1.585
"UBC_182",13.5,151.5,3.2e-09,6.4e+33,2191.4,1.24,2.52,4.18,52.298
"UBC_186",23.4,3003.5,4.8e-08,9.299999999999999e+34,43915.4,1.37,12.97,23.711,60.658
"UBC_187",17.8,115.6,1.4e-09,2.6000000000000003e+33,1709.5,1.07,2.58,37.868,72.346
"UBC_188",26.3,363.0,4.6e-09,8.7e+33,5354.4,1.39,4.6,27.466,53.9
"UBC_19",6.9,142.8,2.7e-09,5.4e+33,2075.0,1.99,3.05,56.336,29.827
"UBC_190",18.6,624.7,1.6e-08,3.2e+34,8973.9,2.14,5.78,37.448,59.782
"UBC_191",18.2,677.6,1.8e-08,3.6999999999999996e+34,9717.3,2.27,14.64,37.507,58.0
"UBC_204",14.8,322.6,1.3e-08,2.8999999999999997e+34,4553.9,1.7,3.96,102.36667,12.04611
"UBC_207",15.1,122.7,1.7e-09,3.2e+33,1805.2,0.88,1.35,83.848,-4.486
"UBC_224",14.8,1135.3,4.7e-08,1e+35,16026.3,1.47,13.12,111.415,-20.903
"UBC_236",18.2,477.8,1.3e-08,2.6e+34,6851.7,2.85,5.24,117.653,-29.945
"UBC_238",19.5,1395.5,3.2e-08,6.499999999999999e+34,20117.6,2.5,15.16,117.053,-33.703
"UBC_261",18.6,861.4,2.2e-08,4.5e+34,12374.7,1.73,4.74,159.52,-60.503
"UBC_263",25.1,384.6,5.4e-09,1e+34,5653.5,1.49,6.17,162.656,-59.992
"UBC_266",12.9,949.5,5.2e-08,1.1999999999999999e+35,13266.1,1.69,8.83,166.334,-59.759
"UBC_267",12.9,695.0,3.8e-08,8.6e+34,9709.4,1.71,8.02,168.283,-58.901
"UBC_287",23.4,513.9,8.2e-09,1.6e+34,7513.2,1.67,5.67,189.765,-61.272
"UBC_291",25.1,416.8,5.8e-09,1.0999999999999999e+34,6127.2,1.75,4.91,199.091,-63.436
"UBC_293",20.0,648.4,1.4e-08,2.8999999999999997e+34,9364.3,1.67,4.88,202.711,-61.775
"UBC_31",26.3,278.7,3.6e-09,6.7e+33,4111.6,1.53,2.55,61.146,32.532
"UBC_318",11.2,1944.4,1.5e-07,3.4e+35,26886.0,1.84,7.65,251.144,-47.577
"UBC_320",17.8,1135.3,3.2e-08,6.6e+34,16252.9,2.43,5.61,251.403,-44.448
"UBC_323",8.9,1694.8,2.2e-07,5.4e+35,23037.2,1.54,12.74,253.94,-40.729
"UBC_334",20.0,2375.6,5.3e-08,1.1e+35,34307.6,2.56,5.57,265.57,-30.731
"UBC_341",21.9,992.8,1.8e-08,3.6e+34,14438.6,2.24,5.08,276.464,-17.076
"UBC_342",14.1,464.8,2.1e-08,4.6e+34,6539.0,1.66,5.58,273.914,-14.925
"UBC_343",20.0,762.3,1.7e-08,3.4e+34,11009.2,1.61,5.05,276.989,-14.72
"UBC_344",3.5,3715.1,5e-06,1.7e+37,47141.1,2.63,10.01,274.475,-12.083
"UBC_345",14.5,477.1,2.1e-08,4.5e+34,6724.1,2.55,8.34,276.005,-12.256
"UBC_352",6.9,1227.5,3e-07,7.9e+35,16376.7,2.74,4.56,281.22,-5.849
