"Theia","N*","OName","logAge","Av","String","Width","Height","Length","GLON","GLAT","plx","pmGLON","pmGLAT","RV","X","Y","Z","U","V","W","_RA.icrs","_DE.icrs","dist"
"Theia_665",56,"nan",8.43362,0.575964,"nan",8.04239,3.5199,"nan",249.537,-0.848649,1.266,-13.5764,2.04479,14.3356,-276.228,-740.245,-11.7037,-18.0933,-8.92787,1.86655,120.7227783,-32.5062663,790.19
"Theia_667",141,"nan",8.46289,0.826034,"nan",16.2351,5.14698,"nan",114.151,2.66144,1.24,-38.5224,-3.74373,-34.4471,-329.617,735.122,37.4495,50.7184,-15.6282,-5.50047,352.4040356,64.12933217,806.51
"Theia_669",43,"nan",8.41034,0.616325,"nan",22.2932,7.1666,"nan",173.396,8.39081,1.217,1.67725,9.29724,-69.3919,-807.491,93.4845,119.903,70.918,-9.86402,-1.03307,91.2113106,38.8296675,821.68
"Theia_684",232,"nan",8.56228,0.153519,"y",25.7538,6.05528,130.3,164.045,11.2456,4.44,-9.65246,1.23141,-8.36173,-209.836,69.2866,44.7609,10.3772,7.46954,-0.15837,88.6430531,48.29486311,225.47
"Theia_696",40,"nan",8.51127,0.61337,"nan",6.95276,4.12026,"nan",321.808,-22.7839,2.946,-3.4,-1.5479,10.872,245.932,-193.473,-131.433,5.38736,-8.75214,-5.74745,272.7576288,-72.36359265,339.4
"Theia_698",120,"nan",8.51795,0.458066,"nan",13.4224,12.6211,"nan",118.522,5.03909,2.729,-26.5925,6.25542,-14.1203,-174.264,320.662,32.1803,31.2111,-0.0499402,5.10617,1.3066322,67.51431591,366.37
"Theia_701",133,"nan",8.54322,0.329913,"nan",16.5444,8.31246,"nan",134.644,-7.57214,2.561,-2.04698,-4.66848,-6.17322,-272.007,275.407,-51.457,6.32081,-3.42957,-3.85832,32.628351,53.49184675,390.49
"Theia_704",132,"nan",8.51367,0.27503,"y",25.3922,10.1844,167.8,292.104,-9.30904,2.506,-4.37633,8.2797,7.54924,137.719,-363.154,-62.7668,-0.769058,-10.1051,7.03578,160.9739933,-69.45388568,393.43
"Theia_708",74,"nan",8.50787,0.124526,"nan",11.2761,13.9687,"nan",84.7231,15.5442,2.361,-13.7356,0.0925378,-8.08682,37.5354,406.404,113.525,13.2709,-9.28383,-2.01437,293.0099927,52.74371342,423.63
"Theia_710",46,"nan",8.50586,1.83412,"nan",10.8401,8.98789,"nan",109.655,5.20119,2.284,-6.98697,-7.89102,1.39017,-146.637,410.557,39.6844,5.96582,4.40198,-7.81362,340.5238005,64.68489588,437.76
"Theia_711",68,"nan",8.54935,0.61026,"nan",8.36431,5.00048,"nan",26.2316,-2.66554,2.252,-13.922,-4.62137,0.168954,397.869,196.048,-20.6499,6.24855,-12.7894,-4.74382,282.1806101,-7.17694161,444.03
"Theia_713",268,"nan",8.55069,0.603714,"nan",22.8747,20.5301,"nan",121.857,4.2074,2.203,-31.22,-0.726181,-11.7235,-238.911,384.476,33.3,33.6298,6.88397,-1.62219,10.1086028,67.05618039,453.88
"Theia_729",179,"nan",8.51669,0.42819,"nan",21.4096,13.8147,"nan",130.18,18.7763,1.901,-1.7364,8.9227,-10.4904,-321.336,380.516,169.319,9.92911,-8.868,5.4418,52.9693671,79.31495383,526.04
"Theia_738",368,"NGC_6793",8.57812,0.959503,"nan",7.42215,5.39283,"nan",56.1214,3.27065,1.708,11.3178,1.67806,-2.25168,325.758,485.17,33.3951,-11.1594,4.60097,1.65017,290.829466,22.07980505,585.34
"Theia_743",113,"nan",8.50641,0.270313,"nan",7.57045,4.67411,"nan",293.648,0.881161,1.501,-30.6976,1.64511,-14.4456,267.281,-610.382,10.2485,-34.7262,0.948263,1.48392,173.6760492,-60.60001224,666.42
"Theia_745",304,"ASCC_104",8.54737,0.355286,"nan",25.6172,11.746,"nan",52.552,-2.59729,1.477,-11.964,-0.280569,-0.614163,411.261,536.975,-30.6818,9.26041,-7.90258,-0.318603,294.4670974,16.13321033,677.07
"Theia_746",69,"nan",8.58478,0.785153,"nan",20.7293,8.75666,"nan",133.861,2.87505,1.459,17.8738,2.20187,-10.3861,-474.399,493.64,34.3835,-5.51396,-20.1756,1.81458,38.0534714,63.58783664,685.5
"Theia_752",161,"nan",8.50696,1.17197,"nan",24.281,17.098,"nan",129.849,0.125948,1.388,-29.9317,4.81742,-18.0563,-461.57,553.033,1.58347,35.7628,5.78161,4.86363,27.8198375,62.19134256,720.34
"Theia_754",333,"NGC_1750",8.54598,0.885999,"nan",6.75425,5.04328,"nan",179.172,-10.6964,1.366,-7.71989,-2.47792,-20.8016,-719.42,10.4012,-135.903,21.4811,7.58405,1.48555,75.9746152,23.66276209,732.22
