"Cluster","radius","Ntot","Ncabs","Ncrel","pmRAC","s_pmRAC","pmDEC","s_pmDEC","rhoC","Nfabs","pmRAF","s_pmRAF","pmDEF","s_pmDEF","rhoF","FileName"
"Majaess_215",4.0,64,56,0.87,-2.74,1.49,-1.82,1.68,0.07,8,9.83,14.64,1.32,17.04,-0.07,"Majaess_215.dat"
"Majaess_225",7.0,185,135,0.73,-2.49,2.33,-1.77,1.97,0.24,50,4.26,10.54,-0.14,6.29,0.23,"Majaess_225.dat"
"Majaess_227",7.5,219,165,0.75,-2.2,3.03,-2.45,0.97,0.33,54,1.96,12.32,-1.9,7.23,0.08,"Majaess_227.dat"
"Majaess_26",3.0,65,53,0.82,0.3,2.04,-0.82,0.1,-0.1,12,-1.62,12.83,-3.37,4.94,-0.76,"Majaess_26.dat"
"Majaess_41",13.5,377,291,0.77,1.14,2.8,-1.97,2.4,-0.09,86,6.93,10.29,-6.25,9.64,0.27,"Majaess_41.dat"
"Majaess_50",9.5,454,374,0.82,0.4,1.25,-2.0,1.92,-0.09,80,1.26,8.64,-4.65,9.16,-0.14,"Majaess_50.dat"
"Majaess_58",8.0,258,179,0.69,1.47,1.15,-3.42,2.09,0.1,79,2.58,8.96,-7.04,9.31,-0.38,"Majaess_58.dat"
"Majaess_61",3.0,34,26,0.75,-0.79,2.98,-4.11,2.59,-0.33,8,4.73,10.01,-7.86,14.82,0.72,"Majaess_61.dat"
"Majaess_65",8.0,186,140,0.75,1.33,1.78,-4.58,2.7,-0.06,46,1.14,10.15,-9.22,13.4,-0.2,"Majaess_65.dat"
"Majaess_68",12.0,290,219,0.76,0.24,1.75,-4.25,2.84,-0.11,71,0.86,8.16,-9.32,9.66,-0.45,"Majaess_68.dat"
"Majaess_69",8.5,280,203,0.72,0.59,1.29,-3.67,1.71,0.24,77,-0.7,6.21,-5.99,8.43,-0.26,"Majaess_69.dat"
"Majaess_79",5.0,39,28,0.71,-1.76,1.29,-2.75,0.5,0.18,11,2.62,9.5,-4.44,13.19,-0.24,"Majaess_79.dat"
"Majaess_86",6.5,195,178,0.92,-2.46,1.83,0.91,2.78,0.08,17,-1.21,8.4,2.73,9.52,-0.35,"Majaess_86.dat"
"Majaess_95",2.5,56,50,0.9,-3.62,1.19,3.19,2.76,-0.38,6,6.08,5.92,-8.54,5.32,0.91,"Majaess_95.dat"
"Majaess_99",6.0,101,69,0.68,-6.21,1.93,5.56,2.19,-0.34,32,-6.85,8.84,2.95,12.15,-0.47,"Majaess_99.dat"
"Markarian_38",2.0,151,129,0.86,0.01,1.39,-2.19,1.39,0.14,22,3.27,9.91,-6.96,10.35,0.1,"Markarian_38.dat"
"Markarian_50",2.0,33,22,0.66,-3.99,0.16,-2.51,0.43,0.64,11,4.72,8.51,-2.08,14.93,0.54,"Markarian_50.dat"
"Markarian_6",4.0,47,35,0.75,-2.4,0.68,-0.62,0.24,-0.45,12,2.58,5.44,-3.03,6.48,-0.58,"Markarian_6.dat"
"Mayer_1",4.5,136,112,0.83,-3.88,3.51,-0.71,0.1,0.09,24,1.14,13.5,-2.67,11.08,0.32,"Mayer_1.dat"
"Mayer_2",2.5,25,18,0.73,1.42,0.1,-2.01,0.65,-0.34,7,25.18,9.04,-1.01,18.03,0.46,"Mayer_2.dat"
"Mayer_3",3.0,44,34,0.78,-2.54,0.1,3.04,0.1,-0.27,10,-0.59,1.58,-3.21,14.63,0.2,"Mayer_3.dat"
"Melotte_101",8.5,1066,727,0.68,-6.21,0.77,2.68,0.34,-0.12,339,-8.58,8.1,2.58,6.4,-0.16,"Melotte_101.dat"
"Melotte_105",3.5,292,249,0.85,-6.78,0.1,2.64,0.1,0.19,43,-8.55,6.66,0.81,3.9,-0.24,"Melotte_105.dat"
"Melotte_66",8.0,372,247,0.66,-1.7,0.5,2.9,1.04,-0.11,125,-3.92,6.68,5.04,8.59,-0.25,"Melotte_66.dat"
"Melotte_71",4.5,348,302,0.87,-2.72,0.1,3.52,0.84,-0.18,46,-3.7,4.44,1.8,5.97,-0.27,"Melotte_71.dat"
"Melotte_72",3.5,148,125,0.84,-4.95,0.39,3.4,1.12,-0.14,23,-0.34,4.01,-1.25,9.27,-0.34,"Melotte_72.dat"
"Miller_1",1.5,34,23,0.68,-2.37,0.1,2.04,0.1,-0.01,11,-5.94,6.29,3.67,7.39,0.38,"Miller_1.dat"
"Moffat_1",4.5,214,181,0.85,-2.73,1.66,-3.8,1.71,0.07,33,-6.77,9.37,-6.03,9.3,0.35,"Moffat_1.dat"
"Moitinho_1",2.5,57,48,0.85,-4.89,1.85,3.49,3.09,-0.7,9,-7.1,5.01,-3.84,3.79,-0.54,"Moitinho_1.dat"
"Muzzio_1",6.0,115,77,0.67,-7.36,0.16,5.05,0.56,0.13,38,-9.29,9.02,5.35,7.84,-0.53,"Muzzio_1.dat"
"NGC_1027",4.1,137,101,0.74,-1.18,1.04,1.54,0.1,-0.02,36,0.2,7.61,-3.26,5.94,-0.29,"NGC_1027.dat"
"NGC_103",3.0,135,125,0.93,-2.33,1.24,0.08,0.1,0.02,10,10.35,6.94,-4.35,2.2,0.67,"NGC_103.dat"
"NGC_1039",18.5,986,784,0.8,1.39,2.11,-3.39,2.88,-0.03,202,3.95,11.46,-3.42,9.15,-0.12,"NGC_1039.dat"
"NGC_110",7.0,216,188,0.87,-0.7,2.96,0.71,0.96,0.12,28,4.11,15.43,1.67,10.43,0.1,"NGC_110.dat"
"NGC_1220",3.0,39,31,0.8,0.06,0.55,0.07,0.1,0.11,8,10.82,0.1,-10.06,7.13,-0.52,"NGC_1220.dat"
"NGC_129",10.5,864,639,0.74,-2.38,1.05,-0.63,0.1,0.12,225,1.88,10.19,-0.44,6.3,-0.07,"NGC_129.dat"
"NGC_133",4.5,174,149,0.86,-1.97,2.04,-0.09,1.22,0.03,25,10.04,11.35,-1.37,9.8,-0.71,"NGC_133.dat"
"NGC_1342",8.5,190,118,0.62,0.71,0.1,-1.47,0.1,0.11,72,1.8,8.15,-6.83,7.47,0.05,"NGC_1342.dat"
"NGC_1348",4.0,52,41,0.78,1.24,0.1,-0.4,0.1,0.01,11,3.7,3.77,3.92,9.55,-0.04,"NGC_1348.dat"
"NGC_136",3.0,129,103,0.8,-1.02,1.71,-0.49,0.57,0.05,26,-1.15,11.63,-1.19,11.6,0.16,"NGC_136.dat"
"NGC_146",3.75,148,111,0.75,-1.92,0.1,0.04,0.12,-0.09,37,-0.95,7.36,-0.76,6.54,-0.05,"NGC_146.dat"
"NGC_1496",3.0,67,55,0.82,1.74,0.1,-1.42,0.25,0.12,12,4.59,3.08,-8.45,1.99,-0.14,"NGC_1496.dat"
"NGC_1502",5.0,121,101,0.83,-1.01,0.1,-0.57,0.1,0.01,20,5.3,10.37,-7.95,12.74,-0.45,"NGC_1502.dat"
"NGC_1513",6.0,227,165,0.73,1.25,0.1,-3.6,0.1,0.19,62,1.59,6.7,-6.26,7.29,-0.29,"NGC_1513.dat"
"NGC_1528",9.0,507,346,0.68,1.88,0.1,-1.85,0.1,-0.25,161,1.92,5.98,-3.23,7.0,-0.08,"NGC_1528.dat"
"NGC_1545",10.0,421,328,0.78,0.12,1.84,-1.77,1.82,-0.18,93,4.33,7.44,-7.19,8.32,-0.25,"NGC_1545.dat"
"NGC_1548",16.0,435,279,0.64,0.63,1.84,-1.76,2.49,0.09,156,3.91,8.71,-8.18,11.54,-0.25,"NGC_1548.dat"
"NGC_1582",13.0,734,581,0.79,1.48,1.51,-3.13,2.03,-0.05,153,2.28,10.11,-8.2,9.57,-0.17,"NGC_1582.dat"
"NGC_1624",2.5,40,30,0.76,3.29,2.43,-0.75,3.25,-0.04,10,-8.15,4.15,-8.83,13.72,0.8,"NGC_1624.dat"
"NGC_1647",21.0,830,537,0.65,-0.31,0.12,-2.06,0.1,0.0,293,2.91,8.1,-6.76,8.77,-0.12,"NGC_1647.dat"
"NGC_1664",5.5,302,240,0.8,2.37,0.1,-4.0,1.58,0.0,62,4.01,7.52,-0.61,9.63,-0.3,"NGC_1664.dat"
"NGC_1758",5.5,141,119,0.84,2.21,1.78,-3.42,0.1,-0.36,22,2.64,4.58,-7.71,5.2,0.8,"NGC_1758.dat"
"NGC_1778",5.0,167,136,0.81,0.68,0.33,-3.17,0.74,0.1,31,5.29,4.75,-2.81,5.7,-0.3,"NGC_1778.dat"
"NGC_1785",4.0,122,100,0.82,2.39,0.79,1.93,3.93,0.3,22,-0.12,19.36,5.22,14.76,-0.26,"NGC_1785.dat"
"NGC_1790",8.5,249,160,0.64,1.16,0.94,-2.15,1.74,-0.2,89,4.5,8.07,-6.48,9.55,0.11,"NGC_1790.dat"
"NGC_1798",3.5,123,100,0.81,0.87,0.95,-1.24,1.68,-0.13,23,1.24,14.08,-5.47,17.69,0.23,"NGC_1798.dat"
"NGC_1802",13.5,590,468,0.79,-0.38,1.94,-3.15,2.98,-0.1,122,1.83,9.34,-5.71,8.6,0.03,"NGC_1802.dat"
"NGC_1817",9.0,313,223,0.71,1.62,0.1,-2.16,0.1,0.2,90,2.53,4.82,-5.46,5.89,-0.27,"NGC_1817.dat"
"NGC_1857",5.0,222,156,0.7,0.83,0.76,-1.63,0.72,-0.02,66,2.29,5.25,-4.81,6.3,0.02,"NGC_1857.dat"
"NGC_188",9.5,579,445,0.77,-1.87,1.47,0.1,1.42,0.15,134,1.78,11.62,0.51,10.38,-0.04,"NGC_188.dat"
"NGC_189",3.5,101,86,0.85,-0.33,0.18,-2.63,0.38,-0.49,15,5.64,6.36,1.04,6.3,-0.05,"NGC_189.dat"
"NGC_1893",13.5,799,577,0.72,1.05,1.19,-2.02,1.79,-0.02,222,3.18,7.39,-5.99,8.27,-0.08,"NGC_1893.dat"
"NGC_1907",4.5,217,174,0.8,0.78,0.1,-2.83,0.17,-0.28,43,-0.96,8.38,-2.6,6.48,0.04,"NGC_1907.dat"
"NGC_1931",9.5,320,259,0.81,2.17,2.24,-2.46,2.51,-0.03,61,1.68,7.48,-9.52,8.99,-0.4,"NGC_1931.dat"
"NGC_1960",6.0,266,209,0.79,0.26,0.1,-3.38,0.1,-0.02,57,0.88,5.21,-4.18,4.84,-0.03,"NGC_1960.dat"
"NGC_1981",12.0,168,93,0.55,1.84,1.04,0.23,0.64,0.1,75,3.45,8.34,-6.22,10.81,-0.12,"NGC_1981.dat"
"NGC_1996",12.0,437,356,0.81,0.08,1.84,-3.22,2.8,-0.13,81,3.46,8.28,-9.26,8.4,-0.06,"NGC_1996.dat"
"NGC_2013",4.0,42,27,0.65,1.82,2.36,-2.93,3.18,-0.63,15,8.75,15.02,2.63,23.99,-0.58,"NGC_2013.dat"
"NGC_2026",9.0,291,232,0.8,0.68,1.93,-2.95,2.51,-0.26,59,3.5,6.41,-6.66,11.01,0.1,"NGC_2026.dat"
"NGC_2099",8.0,891,707,0.79,1.81,0.1,-5.39,0.1,-0.18,184,0.88,4.59,-2.59,5.85,0.01,"NGC_2099.dat"
"NGC_2112",10.0,338,272,0.81,-2.42,0.1,3.5,0.1,-0.25,66,0.8,4.77,-5.13,5.55,0.07,"NGC_2112.dat"
"NGC_2126",4.2,90,63,0.7,0.33,0.1,-3.09,0.1,-0.13,27,-2.04,5.77,-7.37,10.74,-0.03,"NGC_2126.dat"
"NGC_2129",3.5,82,73,0.89,1.04,0.1,-2.13,0.1,-0.27,9,3.07,5.47,-4.63,12.73,0.42,"NGC_2129.dat"
"NGC_2141",6.0,507,420,0.83,0.1,0.96,-1.69,1.83,0.03,87,-1.21,13.17,-7.35,10.58,0.06,"NGC_2141.dat"
"NGC_2143",6.5,145,131,0.91,1.05,3.88,-1.82,2.93,-0.01,14,6.16,9.14,-13.17,0.8,-0.43,"NGC_2143.dat"
"NGC_2158",3.5,313,219,0.7,1.69,1.28,-2.46,0.91,-0.1,94,2.92,15.07,-3.0,15.52,0.24,"NGC_2158.dat"
"NGC_2165",6.0,68,59,0.87,-0.07,3.7,-2.56,3.58,0.02,9,-4.12,10.82,-15.87,10.23,-0.18,"NGC_2165.dat"
"NGC_2169",3.5,63,48,0.76,-0.89,0.1,-2.26,0.12,0.16,15,0.72,4.89,-4.44,4.59,-0.77,"NGC_2169.dat"
"NGC_2175",12.0,395,281,0.71,0.24,1.8,-4.0,2.29,-0.08,114,0.65,7.45,-7.05,8.45,0.04,"NGC_2175.dat"
"NGC_2180",6.0,142,135,0.95,0.61,2.42,-3.01,3.04,0.11,7,15.39,5.36,-16.14,15.68,0.02,"NGC_2180.dat"
"NGC_2184",18.5,833,636,0.76,0.63,1.61,-0.3,2.18,-0.16,197,1.35,7.16,-5.3,8.58,-0.09,"NGC_2184.dat"
"NGC_2186",5.05,154,126,0.82,0.93,1.44,-1.67,1.22,-0.21,28,1.23,7.07,-2.0,9.17,0.09,"NGC_2186.dat"
"NGC_2192",3.5,114,96,0.84,0.59,1.88,-2.42,1.64,-0.15,18,4.93,6.84,-4.72,8.19,-0.31,"NGC_2192.dat"
"NGC_2194",5.5,453,395,0.87,0.59,0.85,-1.49,1.11,0.0,58,0.92,7.64,-3.56,6.76,-0.02,"NGC_2194.dat"
"NGC_2204",6.0,292,234,0.8,-1.04,0.1,2.41,0.62,-0.05,58,0.01,6.34,0.97,8.07,0.05,"NGC_2204.dat"
"NGC_2215",5.3,133,123,0.92,0.66,0.1,-2.16,1.85,-0.09,10,2.93,6.67,-5.11,6.86,-0.17,"NGC_2215.dat"
"NGC_2219",4.5,75,67,0.89,-0.78,2.6,-0.42,1.69,-0.28,8,-2.33,4.86,1.72,9.79,-0.25,"NGC_2219.dat"
"NGC_2224",8.0,315,277,0.88,0.01,2.52,-2.45,3.06,0.16,38,-0.67,6.92,-5.15,9.85,-0.45,"NGC_2224.dat"
"NGC_2225",2.4,51,45,0.88,0.79,0.73,0.82,0.1,0.05,6,6.73,2.97,-9.89,11.63,0.09,"NGC_2225.dat"
"NGC_2236",4.5,210,158,0.75,-1.37,0.1,0.18,0.1,-0.1,52,-3.18,4.6,-4.73,5.14,0.16,"NGC_2236.dat"
"NGC_2239",6.0,107,95,0.89,-3.0,2.6,-1.16,3.82,0.02,12,4.55,7.74,8.91,11.26,-0.89,"NGC_2239.dat"
"NGC_2240",6.5,144,112,0.77,0.45,2.47,-2.71,3.11,0.15,32,3.34,9.71,-7.98,8.91,0.2,"NGC_2240.dat"
"NGC_2243",3.5,128,105,0.82,-2.41,0.32,4.61,0.1,0.3,23,-0.74,10.16,-0.22,12.02,0.21,"NGC_2243.dat"
"NGC_2244",15.5,750,524,0.7,-2.03,1.46,-0.62,2.28,-0.07,226,0.11,7.1,-3.35,9.17,-0.09,"NGC_2244.dat"
"NGC_225",7.0,108,76,0.7,-2.4,2.93,-1.21,0.86,-0.27,32,0.11,14.35,-3.78,7.27,0.06,"NGC_225.dat"
"NGC_2251",6.0,198,160,0.81,0.34,0.76,-3.32,1.77,-0.01,38,0.61,6.15,-4.86,6.9,-0.06,"NGC_2251.dat"
"NGC_2252",10.0,499,402,0.81,-1.21,1.24,-1.6,2.27,-0.07,97,-1.36,7.56,-4.85,8.81,-0.18,"NGC_2252.dat"
"NGC_2254",3.5,140,127,0.91,-1.04,0.92,-1.35,1.92,-0.09,13,-5.87,10.86,-5.13,9.69,-0.01,"NGC_2254.dat"
"NGC_2262",3.5,124,111,0.9,0.08,0.72,-0.73,1.65,0.06,13,-1.28,8.1,-3.03,11.78,0.19,"NGC_2262.dat"
"NGC_2264",20.5,813,645,0.79,-0.85,1.69,-3.22,1.62,-0.01,168,-0.56,9.29,-8.11,11.4,-0.22,"NGC_2264.dat"
"NGC_2265",7.0,269,212,0.79,1.64,1.35,-3.11,1.95,-0.06,57,-0.5,9.92,-5.5,7.63,-0.36,"NGC_2265.dat"
"NGC_2266",3.5,166,156,0.94,-2.0,1.35,-2.54,0.89,0.08,10,3.71,0.78,-14.65,10.85,0.55,"NGC_2266.dat"
"NGC_2270",8.0,251,204,0.81,-0.62,1.46,-1.32,2.24,-0.03,47,1.03,5.89,-6.68,8.21,-0.19,"NGC_2270.dat"
"NGC_2281",13.5,405,315,0.78,-0.89,2.83,-4.75,3.43,0.29,90,1.98,8.34,-5.56,10.65,0.01,"NGC_2281.dat"
"NGC_2286",8.0,360,274,0.76,-0.69,0.99,-0.71,0.75,-0.25,86,-1.5,5.88,-1.87,6.7,-0.17,"NGC_2286.dat"
"NGC_2301",8.0,412,341,0.83,-0.99,0.1,-1.37,0.83,0.08,71,-0.74,5.41,-2.06,5.24,-0.33,"NGC_2301.dat"
"NGC_2302",3.5,90,67,0.75,-1.83,0.1,0.44,0.1,-0.32,23,2.03,8.37,1.08,9.75,0.11,"NGC_2302.dat"
"NGC_2304",6.0,276,218,0.79,0.28,1.03,-1.99,0.36,-0.06,58,-0.47,3.77,-4.99,6.19,0.03,"NGC_2304.dat"
"NGC_2306",7.0,263,202,0.77,-1.74,1.8,0.61,1.53,0.16,61,-3.24,5.9,-2.63,6.21,-0.51,"NGC_2306.dat"
"NGC_2309",3.5,128,113,0.88,-1.66,0.1,0.6,0.66,0.08,15,-1.68,6.52,0.27,6.1,0.09,"NGC_2309.dat"
"NGC_2319",10.0,469,366,0.78,-1.6,2.35,-0.92,2.55,-0.04,103,-0.91,7.78,-5.91,10.3,-0.2,"NGC_2319.dat"
"NGC_2323",8.0,456,359,0.79,-1.66,0.1,0.02,0.1,-0.07,97,-2.45,4.41,-0.74,6.52,-0.09,"NGC_2323.dat"
"NGC_2324",6.3,440,344,0.78,-1.02,0.49,-0.42,0.1,0.14,96,-2.57,5.69,-2.66,5.98,-0.23,"NGC_2324.dat"
"NGC_2331",8.0,122,91,0.74,-0.75,1.52,-3.79,3.3,-0.12,31,-0.76,7.08,-9.69,8.26,-0.04,"NGC_2331.dat"
"NGC_2338",4.5,161,134,0.83,-1.71,0.99,-0.29,2.09,-0.11,27,-0.62,5.14,-2.66,4.92,0.07,"NGC_2338.dat"
"NGC_2343",3.5,81,71,0.88,0.56,0.54,0.37,0.1,-0.21,10,-0.49,6.27,0.18,6.0,-0.76,"NGC_2343.dat"
"NGC_2345",7.0,440,388,0.88,-1.79,0.1,1.77,0.1,-0.06,52,-2.36,5.22,-2.96,7.65,-0.2,"NGC_2345.dat"
"NGC_2349",10.0,727,580,0.8,-1.38,1.7,0.19,1.73,-0.12,147,-0.72,6.33,-1.82,8.5,0.14,"NGC_2349.dat"
"NGC_2351",6.0,226,217,0.96,-2.22,2.11,0.69,2.65,-0.18,9,-0.09,11.3,-8.92,4.64,0.92,"NGC_2351.dat"
"NGC_2352",4.0,136,128,0.94,-1.38,1.6,1.55,3.45,-0.34,8,-9.38,0.98,-8.44,11.57,-0.46,"NGC_2352.dat"
"NGC_2353",10.0,644,502,0.78,-1.04,0.1,0.69,0.73,0.04,142,-1.87,5.21,-0.85,6.41,-0.24,"NGC_2353.dat"
"NGC_2354",10.0,726,530,0.73,-2.61,0.73,1.87,1.32,-0.06,196,-1.17,5.75,2.27,7.11,-0.17,"NGC_2354.dat"
"NGC_2355",4.5,197,183,0.93,-3.9,0.1,-1.33,0.1,-0.1,14,-1.16,3.48,-5.94,8.9,0.85,"NGC_2355.dat"
"NGC_2360",7.5,625,474,0.76,-0.83,0.1,4.67,2.05,0.47,151,-3.16,4.3,0.78,5.11,-0.19,"NGC_2360.dat"
"NGC_2362",3.5,176,108,0.62,-1.84,0.1,2.74,0.1,-0.71,68,-1.04,3.53,2.11,6.48,0.12,"NGC_2362.dat"
"NGC_2364",7.5,413,316,0.77,-1.42,1.28,0.91,1.95,-0.23,97,-2.67,6.82,-1.72,8.85,-0.34,"NGC_2364.dat"
"NGC_2367",3.5,81,54,0.67,-2.96,0.84,2.64,1.21,-0.27,27,-2.79,6.22,0.25,8.02,-0.23,"NGC_2367.dat"
"NGC_2374",7.0,417,337,0.81,-3.32,1.59,1.64,1.2,-0.16,80,-3.25,4.72,0.61,6.52,-0.04,"NGC_2374.dat"
"NGC_2383",3.5,234,189,0.81,-2.14,0.48,1.81,0.61,-0.05,45,-2.83,4.9,1.39,6.5,0.22,"NGC_2383.dat"
"NGC_2384",3.5,116,87,0.75,-2.3,0.1,2.08,1.25,-0.32,29,-3.49,4.45,2.71,6.09,-0.22,"NGC_2384.dat"
"NGC_2394",5.0,86,67,0.78,-2.61,2.42,-0.17,2.74,-0.05,19,-4.19,7.89,-3.01,9.64,-0.13,"NGC_2394.dat"
"NGC_2395",8.0,181,148,0.82,-2.42,2.86,-1.33,3.13,-0.25,33,-1.9,12.16,-6.76,9.97,0.35,"NGC_2395.dat"
"NGC_2396",6.0,297,248,0.84,-2.05,1.38,0.42,1.92,0.03,49,-4.25,8.01,-0.99,8.41,-0.22,"NGC_2396.dat"
"NGC_2414",3.5,197,158,0.8,-1.54,0.21,1.69,0.72,-0.13,39,-1.65,5.7,1.31,9.81,-0.36,"NGC_2414.dat"
"NGC_2420",3.5,225,197,0.88,0.73,0.1,-2.67,0.1,0.27,28,0.4,8.28,-4.21,9.21,0.38,"NGC_2420.dat"
"NGC_2421",4.0,254,225,0.89,-3.03,0.1,3.21,0.1,-0.12,29,-1.23,7.48,-1.71,7.35,0.29,"NGC_2421.dat"
"NGC_2423",7.0,460,370,0.8,-1.45,0.91,-1.11,2.71,-0.14,90,-2.85,7.65,2.06,8.11,0.23,"NGC_2423.dat"
"NGC_2425",5.0,262,197,0.75,-2.76,1.2,1.68,0.28,-0.08,65,-2.37,6.24,1.4,7.32,-0.01,"NGC_2425.dat"
"NGC_2428",7.0,490,390,0.8,-3.12,0.56,1.99,0.74,-0.05,100,-3.23,6.5,2.04,8.13,-0.06,"NGC_2428.dat"
"NGC_2430",8.5,615,506,0.82,-2.36,1.48,1.82,1.75,0.05,109,-2.33,5.93,-1.87,6.96,-0.49,"NGC_2430.dat"
"NGC_2439",5.5,503,430,0.86,-2.77,0.1,2.8,0.1,-0.09,73,-3.25,5.91,2.1,7.91,-0.32,"NGC_2439.dat"
"NGC_2447",6.0,443,357,0.81,-2.96,0.1,3.9,0.58,-0.11,86,-3.3,5.92,1.02,7.29,-0.13,"NGC_2447.dat"
"NGC_2453",3.0,135,109,0.81,-2.89,0.1,3.34,0.91,0.13,26,-3.19,9.25,2.62,11.68,0.04,"NGC_2453.dat"
"NGC_2455",5.0,254,188,0.74,-1.62,0.1,2.54,0.1,0.02,66,-2.39,6.31,1.93,6.33,-0.27,"NGC_2455.dat"
"NGC_2467",8.0,711,543,0.76,-1.99,1.0,2.78,1.22,-0.04,168,-1.59,6.69,1.33,8.45,-0.01,"NGC_2467.dat"
"NGC_2479",6.0,286,235,0.82,-2.44,1.32,1.15,1.3,0.0,51,-1.41,5.6,0.8,5.63,0.01,"NGC_2479.dat"
"NGC_2482",6.0,324,270,0.83,-3.28,1.71,2.18,0.67,-0.08,54,-1.18,5.06,2.75,8.4,-0.07,"NGC_2482.dat"
"NGC_2483",4.5,178,157,0.88,-2.24,1.84,1.81,1.93,-0.1,21,-9.58,3.42,6.92,5.87,0.27,"NGC_2483.dat"
"NGC_2506",7.0,800,646,0.81,-2.81,0.1,4.59,0.1,0.05,154,-3.86,7.81,-0.6,6.89,-0.13,"NGC_2506.dat"
"NGC_2516",16.0,902,546,0.6,-3.61,0.1,10.06,2.04,-0.36,356,-2.85,6.75,5.36,9.3,-0.31,"NGC_2516.dat"
"NGC_2527",6.0,356,292,0.82,-3.5,1.32,3.75,2.63,-0.29,64,-0.77,8.56,1.69,9.76,-0.11,"NGC_2527.dat"
"NGC_2533",3.5,164,142,0.86,-4.12,1.27,3.6,1.8,-0.32,22,-6.05,1.12,-0.27,7.61,0.51,"NGC_2533.dat"
"NGC_2539",5.5,216,177,0.82,-2.04,0.1,-1.13,0.1,-0.15,39,-5.75,6.58,1.27,5.42,-0.34,"NGC_2539.dat"
"NGC_2547",13.5,910,720,0.79,-5.79,2.86,4.86,2.59,-0.12,190,-4.96,8.08,4.55,10.27,-0.4,"NGC_2547.dat"
"NGC_2548",16.0,720,475,0.66,-2.51,1.3,1.04,0.39,0.03,245,-4.73,7.49,-1.53,7.36,-0.22,"NGC_2548.dat"
"NGC_2567",4.5,219,182,0.83,-2.87,0.1,2.09,0.1,-0.2,37,-4.79,4.07,1.94,5.42,-0.26,"NGC_2567.dat"
"NGC_2579",4.5,167,126,0.75,-3.05,1.83,2.83,1.62,-0.24,41,-1.72,7.3,4.88,6.89,-0.28,"NGC_2579.dat"
"NGC_2580",2.75,106,79,0.75,-2.42,0.1,2.05,0.1,-0.08,27,-6.02,4.23,2.37,5.72,-0.73,"NGC_2580.dat"
"NGC_2587",9.0,690,520,0.75,-3.91,1.21,2.76,1.18,-0.12,170,-4.76,7.84,1.25,9.39,0.03,"NGC_2587.dat"
"NGC_2609",3.5,50,39,0.77,-1.99,3.66,4.62,2.83,-0.32,11,-11.74,1.26,14.36,9.88,0.8,"NGC_2609.dat"
"NGC_2627",5.0,316,240,0.76,-2.81,0.38,2.99,0.1,-0.08,76,-6.04,4.54,2.82,4.8,-0.2,"NGC_2627.dat"
"NGC_2635",5.0,250,187,0.75,-3.05,0.94,2.23,1.08,0.1,63,-7.13,9.65,4.16,8.87,-0.23,"NGC_2635.dat"
"NGC_2645",2.5,74,53,0.72,-5.89,0.1,4.35,0.1,0.03,21,-5.07,6.52,1.7,4.74,-0.34,"NGC_2645.dat"
"NGC_2658",4.0,238,186,0.78,-2.58,0.1,2.2,0.1,-0.01,52,-6.4,6.02,2.31,5.78,-0.25,"NGC_2658.dat"
"NGC_2659",3.5,159,131,0.83,-5.3,0.1,3.9,0.81,-0.23,28,-9.5,8.89,3.2,8.08,0.13,"NGC_2659.dat"
"NGC_2660",2.75,248,214,0.86,-4.05,1.02,5.1,0.37,0.01,34,-6.71,9.22,6.48,11.62,-0.07,"NGC_2660.dat"
"NGC_2670",4.5,132,106,0.8,-7.21,0.1,3.33,0.1,0.07,26,-8.86,7.19,5.08,5.3,-0.04,"NGC_2670.dat"
"NGC_2671",4.0,131,93,0.71,-2.53,0.33,0.57,0.12,0.02,38,-6.72,4.49,4.77,5.38,-0.43,"NGC_2671.dat"
"NGC_2682",13.5,626,533,0.85,-10.21,0.1,-3.0,0.1,0.11,93,-2.55,7.22,-2.31,6.45,-0.16,"NGC_2682.dat"
"NGC_2818",5.5,289,220,0.76,-3.76,0.43,3.44,0.69,-0.11,69,-8.39,7.36,1.54,7.35,-0.19,"NGC_2818.dat"
"NGC_2866",2.0,87,64,0.73,-4.14,0.12,3.34,0.11,0.24,23,-8.71,4.47,3.99,6.73,-0.81,"NGC_2866.dat"
"NGC_2925",6.0,378,288,0.76,-5.76,1.73,3.83,0.6,-0.34,90,-8.29,7.71,4.44,8.85,-0.29,"NGC_2925.dat"
"NGC_2972",2.5,88,76,0.86,-4.44,0.1,1.95,0.1,-0.13,12,-1.92,8.55,1.55,8.15,-0.79,"NGC_2972.dat"
"NGC_3105",2.0,93,65,0.7,-2.95,0.92,0.89,1.01,-0.38,28,-6.85,7.08,1.53,10.02,-0.02,"NGC_3105.dat"
"NGC_3255",2.0,136,124,0.91,-6.66,1.77,2.89,0.1,-0.03,12,-7.18,12.92,-1.87,9.33,-0.72,"NGC_3255.dat"
"NGC_3324",7.0,518,385,0.74,-7.59,1.5,2.92,0.58,-0.02,133,-9.94,7.42,2.88,5.58,-0.38,"NGC_3324.dat"
"NGC_3330",3.0,134,86,0.64,-6.45,1.01,2.32,0.3,0.1,48,-4.92,8.72,2.01,6.6,-0.3,"NGC_3330.dat"
"NGC_3446",8.5,274,203,0.74,-6.56,3.71,0.52,2.52,-0.42,71,-10.44,12.2,2.2,10.15,-0.18,"NGC_3446.dat"
"NGC_3496",5.0,701,563,0.8,-7.3,0.94,2.08,0.1,-0.2,138,-8.62,7.44,2.65,6.47,-0.3,"NGC_3496.dat"
