"Name","Type","RA_ICRS","DE_ICRS","pmRA","pmDE","Plx","dataSource","Family","Age","RVcomb","Xhelio","Yhelio","Zhelio","U","V","W","e_Xhelio","e_Yhelio","e_Zhelio","e_U","e_V","e_W","nRVcomb","Mass16","Mass50","Mass84","nSNe16","nSNe50","nSNe84","nsg8M16","nsg8M50","nsg8M84","Weightsc","NameBoth","dist"
"CWNU_1129","o",68.7714,22.80022,10.84469,-17.45033,6.25073,"hunt","alphaPer",15.03225,16.997,-152.27219,11.48881,-45.07999,-17.40206,-13.25265,-7.05255,0.33166,0.02502,0.09819,0.59358,0.27212,0.2046,6.0,42.67424,60.56313,92.37243,0.0,0.0,1.0,0.0,1.0,2.0,0.40347,"CWNU_1129",159.22003
"CWNU_1143","o",239.07096,-25.70113,-21.49181,-33.35873,9.24389,"hunt","alphaPer",18.48682,-4.1937,98.64737,-22.64289,38.70571,-5.60123,-18.91272,-5.63451,0.0756,0.01735,0.02966,0.91655,0.18242,0.36091,33.0,44.78246,52.42162,67.75869,0.0,0.0,1.0,0.0,0.0,1.0,0.53755,"CWNU_1143",108.36114
"CWNU_1144","o",106.42125,-52.66363,-13.04534,11.9328,5.14939,"hunt","cr135",23.59693,8.14912,-22.05263,-181.29774,-63.63195,-15.00649,-4.51371,-10.65831,0.02818,0.23165,0.0813,0.36199,0.77114,0.31952,8.0,35.97281,47.76328,65.66714,0.0,0.0,1.0,0.0,0.0,1.0,0.58913,"CWNU_1144",193.40169
"CWNU_1150","o",133.07294,-47.40862,-12.52768,10.84248,2.04287,"hunt","none",65.60039,15.29187,-24.21349,-481.12227,-15.71137,-38.67115,-12.03906,-6.77144,0.07113,1.41326,0.04615,0.29852,2.03924,0.10421,7.0,89.72689,116.77899,171.08387,0.0,1.0,2.0,0.0,1.0,2.0,1.0,"CWNU_1150",481.98732
"CWNU_1178","o",67.64392,-43.18514,0.44554,19.61347,7.21886,"hunt","cr135",36.82866,11.43593,-37.54869,-92.68785,-94.3557,-15.64411,-2.84964,-8.47076,0.0376,0.09281,0.09448,0.27511,0.51077,0.46036,12.0,15.07836,23.06093,33.12745,0.0,0.0,1.0,0.0,0.0,1.0,0.66749,"CWNU_1178",137.4916
"CWNU_1183","o",295.61068,38.27214,1.49138,-0.59185,2.07012,"hunt","none",45.87641,-7.52596,141.52432,445.87426,60.47877,-2.74844,-7.64559,-4.61099,0.36302,1.14371,0.15513,0.46988,1.53304,0.19978,17.0,119.96406,153.95303,209.91016,1.0,2.0,3.0,1.0,2.0,3.0,0.6641,"CWNU_1183",471.68916
"CWNU_1205","o",322.2046,70.54419,10.40898,6.09766,4.27556,"hunt","none",20.23198,-11.51894,-67.0895,212.30645,55.53508,-9.02145,-13.55499,-6.21087,0.10968,0.34709,0.09079,0.42888,1.83464,0.38321,11.0,42.62276,59.59004,81.85157,0.0,0.0,1.0,0.0,1.0,2.0,0.48077,"CWNU_1205",229.47587
"Chamaleon_I","o",167.117,-77.49946,-22.55541,0.43756,5.26101,"hunt","alphaPer",5.66729,13.92284,83.35113,-161.30908,-51.25213,-11.3833,-19.28299,-10.94024,0.06116,0.11837,0.03761,0.89115,1.75842,0.53207,29.0,184.03736,205.82925,243.19516,0.0,0.0,1.0,1.0,2.0,4.0,0.37125,"Chamaleon_I",188.66587
"Collinder_69","o",83.81418,9.88806,1.2149,-2.04665,2.5039,"hunt","none",5.23961,26.92444,-371.86687,-100.3909,-81.82635,-24.46736,-11.24551,-5.29254,0.40296,0.10878,0.08867,0.53656,0.22421,0.11764,201.0,1122.26918,1210.30639,1322.96642,1.0,2.0,3.0,9.0,12.0,16.0,0.27109,"Collinder_69",393.77513
"Collinder_132","o",108.34616,-30.97053,-4.12549,3.72734,1.52515,"hunt","cr135",13.87011,21.60612,-284.98317,-560.82332,-103.06799,-25.66434,-15.97323,-10.40697,0.87991,1.7316,0.31823,0.6469,1.05939,0.16916,13.0,222.48495,265.93267,359.82634,0.0,1.0,3.0,0.0,3.0,4.0,0.34553,"Collinder_132",637.46468
