"ID","Name","OName","Cat","GLON","GLAT","RAJ2000","DEJ2000","Diam","l_Dist","Dist","e_Dist","r_Dist","l_Dnear","Dnear","e_Dnear","l_Dfar","Dfar","e_Dfar","Age","e_Age","r_Age","Mtype","Mflag","l_Sep","Sep","Flg","NameVlsr","Vlsr","r_Vlsr","l_KDist","KDist","e_KDist","l_KDnear","KDnear","e_KDnear","l_KDfar","KDfar","e_KDfar","KDA","r_KDA","SDist","e_SDist","r_SDist","f_SDist","ref2","Dias","Conf","HII","Bub","IRDC","noGL","SubCl","Complex","r_Complex","Comm1","Comm2","RA","DEC"
371,"DBSB 179, DBS2003 179","nan","05,17",347.576,0.188,"17 11 31.7","-39 10 36",128,"nan",6.3,0.19,"KC","nan","nan","nan","nan","nan","nan",3.5,1.5,"40","OC0","surr.bub-cen-trig","nan",0.84,11,"G347.59+0.22",-95.1,249.0,"nan",6.31,0.19,"nan","nan","nan","nan","nan","nan","N","187*",6.4,1.92,140.0,"nan","nan","nan","40","CH87 347.600+0.211","Bub(ID:371)","nan",0,"nan","KC-21","nan","We favor stellar distance from Ref:140 over Ref:40, since is more consistent with kinematic estimate","nan",257.88208,-39.17667
372,"G3CC 41","nan","17",347.883,-0.291,"17 14 27.3","-39 12 35",62,"nan",6.3,0.19,"KC","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.pah","nan",0.0,13,"IRAS 17110-3910",-93.0,43.0,"nan",6.28,0.19,"nan","nan","nan","nan","nan","nan","N","C","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","KC-21","nan","nan","nan",258.61375,-39.20972
373,"VVV CL098","nan","14",347.902,0.048,"17 13 06.0","-38 59 45",40,"nan",12.5,0.53,"K","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,14,"CH87 347.893+0.044",-31.0,51.0,"nan",12.5,0.53,"nan","nan","nan","nan","nan","nan","F","187*","nan","nan","nan","nan","nan","nan","nan","CH87 347.893+0.044","nan","nan",0,"nan","nan","nan","nan","nan",258.275,-38.99583
374,"NGC 6318","nan","01",347.902,-0.688,"17 16 11.0","-39 25 30",240,"nan",2.1,0.5,"S","nan","nan","nan","nan","nan","nan",158.0,36.0,"178","OC2","exp","nan",2.06,1,"HRDS G347.918-0.761",6.1,4.0,"<",0.04,"nan","nan","nan","nan","nan","nan","nan","N","z",2.1,0.5,178.0,"nan","nan",178.0,"178","nan","nan","nan",0,"nan","nan","nan","nan","nan",259.04583,-39.425
375,"G3CC 42","nan","17",348.18,0.483,"17 12 08.1","-38 30 54",38,"nan",1.33,0.36,"C(Ref:257)","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC1","emb.bub-edge","nan",0.0,11,"G348.18+0.49",-6.3,249.0,"<",1.91,"nan","nan","nan","nan","nan","nan","nan","N","C","nan","nan","nan","nan","nan","nan","nan","CH87 348.225+0.459 (bub)","S7","nan",0,"nan","RCW 120","257","nan","nan",258.03375,-38.515
376,"MCM 91, MCM2005b 91","nan","09",348.207,0.43,"17 12 26.0","-38 31 27",132,"nan",1.33,0.36,"C(Ref:257)","nan","nan","nan","nan","nan","nan","nan","nan","nan","EC2","p-emb.pah","nan",0.0,13,"G348.23+0.42",-6.0,253.0,"<",1.88,"nan","nan","nan","nan","nan","nan","nan","N","C","nan","nan","nan","nan","nan","nan","nan","CH87 348.225+0.459 (bub)","S7","nan",0,"nan","RCW 120","257","nan","nan",258.10833,-38.52417
377,"DBSB 118, DBS2003 118","nan","05",348.237,-0.975,"17 18 24.0","-39 19 05",96,"nan",1.94,0.9,"KC","nan","nan","nan","nan","nan","nan",4.2,1.47,"197","EC2","p-emb.bub-cen","nan",0.0,11,"G348.24-0.98",-12.9,253.0,"nan",1.81,0.9,"nan","nan","nan","nan","nan","nan","N","S,51,(7),z",2.84,1.15,148.0,"nan","nan","nan","203","CH87 348.231-0.982","S6","nan",0,"nan","KC-22","nan","nan","nan",259.6,-39.31806
378,"FSR2007 1755","nan","(01),11",348.246,0.483,"17 12 20.0","-38 27 44",382,"nan",1.33,0.36,"C(Ref:257)","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC0","surr.bub-cen-trig","nan",0.88,21,"G348.18+0.49",-6.3,249.0,"<",1.91,"nan","nan","nan","nan","nan","nan","nan","N","C,51","nan","nan","nan","nan","nan","nan","nan","CH87 348.225+0.459","S7","nan",0,"nan","RCW 120","257","It can be spurious due to the high extinction surrounding the area, but it can be also a sparse young stellar cluster (Ref:21)","nan",258.08333,-38.46222
379,"Teutsch 86","nan","02",348.423,-0.213,"17 15 45.0","-38 43 32",78,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","OC2","exp","nan",13.87,0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0,"nan","nan","nan","nan","nan",258.9375,-38.72556
380,"VVV CL100","nan","14",348.53,-0.971,"17 19 15.0","-39 04 34",40,"nan",1.94,0.9,"KC","nan","nan","nan","nan","nan","nan",7.5,2.62,"41","EC1","emb.pah","nan",0.0,11,"G348.54-0.97",-15.4,249.0,"nan",2.16,0.86,"nan","nan","nan","nan","nan","nan","N","187,75,(7),z",4.3,1.1,41.0,"nan","nan","nan","41","HRDS G348.533-0.972","nan","nan",0,"nan","KC-22","nan","nan","nan",259.8125,-39.07611
