"Cl","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","r50","N85","dmode05","dmode16","dmode","dmode84","dmode95","Xgc","Ygc","Zgc","Rgc","logAge","e_logAge","Dist","e_Dist","Avmag","e_Avmag"
"NGC 2215",95.203,0.08,-7.263,0.082,1.053,0.092,0.424,0.195,-3.659,0.073,0.151,134,0.946,0.947,0.95,0.952,0.953,-9.057,-0.549,-0.137,9.074,"nan","nan","nan","nan","nan","nan"
"NGC 2232",96.88,0.208,-4.755,0.257,3.1,0.04,-4.721,0.239,-1.833,0.165,0.354,145,0.322,0.322,0.322,0.323,0.323,-8.564,-0.181,-0.014,8.565,"nan","nan","nan","nan","nan","nan"
"NGC 2236",97.409,0.042,6.839,0.031,0.384,0.052,-0.765,0.081,0.041,0.089,0.082,479,2.592,2.597,2.611,2.626,2.631,-10.678,-1.077,-0.042,10.732,"nan","nan","nan","nan","nan","nan"
"NGC 2243",97.396,0.029,-31.284,0.026,0.241,0.051,-1.287,0.101,5.498,0.116,0.05,594,4.253,4.263,4.292,4.322,4.332,-10.377,-3.516,-1.294,10.957,"nan","nan","nan","nan","nan","nan"
"NGC 2244",98.029,0.073,4.917,0.054,0.681,0.094,-1.734,0.2,0.221,0.245,0.235,713,1.443,1.445,1.45,1.455,1.457,-9.599,-0.643,-0.02,9.62,"nan","nan","nan","nan","nan","nan"
"NGC 225",10.929,0.205,61.812,0.04,1.45,0.057,-5.329,0.109,-0.131,0.195,0.121,53,0.687,0.688,0.689,0.69,0.691,-8.665,0.584,0.015,8.685,"nan","nan","nan","nan","nan","nan"
"NGC 2251",98.671,0.045,8.352,0.067,0.697,0.09,0.701,0.1,-3.831,0.077,0.128,128,1.428,1.43,1.436,1.441,1.443,-9.616,-0.575,0.034,9.633,"nan","nan","nan","nan","nan","nan"
"NGC 2259",99.638,0.001,10.876,0.032,0.376,0.03,-0.245,0.032,-1.128,0.039,0.054,107,2.618,2.634,2.684,2.733,2.749,-10.789,-0.996,0.134,10.835,"nan","nan","nan","nan","nan","nan"
"NGC 2264",100.247,0.06,9.734,0.189,1.383,0.089,-1.818,0.424,-3.701,0.2,0.241,725,0.717,0.717,0.718,0.72,0.72,-8.96,-0.281,0.056,8.965,"nan","nan","nan","nan","nan","nan"
"NGC 2266",100.833,0.018,26.976,0.03,0.298,0.062,-0.462,0.099,-1.264,0.091,0.058,316,3.346,3.355,3.385,3.414,3.423,-11.597,-0.451,0.643,11.606,"nan","nan","nan","nan","nan","nan"
