"IAU","Name","RAJ2000","DEJ2000","r1(ASCC)","r2(ASCC)","r1(USNO)","r2(USNO)","Bc","N(P>61)","Npm","pmRA","e_pmRA","pmDE","e_pmDE","Dist","E(B-V)","Ref"
"C1356-581","Loden_1171",209.85,-58.4,0.11,0.2,"nan",0.07,18.0,6,5,-12.95,0.41,-6.07,0.44,714,0.2,5
"C1402-673","Ruprecht_110",211.42,-67.45,0.1,0.25,"nan",0.33,18.5,8,5,-13.32,0.67,-5.19,0.82,800,0.35,5
"C1404-480","NGC_5460",211.86,-48.32,0.2,0.5,"nan",0.28,19.8,26,15,-5.47,0.37,-3.77,0.37,678,0.09,1
"C1405-594","Loden_1225",212.23,-59.72,0.12,0.4,0.12,0.52,16.0,41,10,-9.83,0.86,-0.76,1.1,1429,0.1,5
"C1414-612","Loden_1256",214.57,-61.43,0.12,0.25,0.07,0.22,17.0,15,8,-4.02,0.65,-1.72,1.05,1250,0.1,5
"C1414-587","Ruprecht_167",214.56,-58.97,0.1,0.25,"nan",0.2,20.4,18,6,-5.76,0.91,-4.01,0.54,1250,0.1,5
"C1420-611","Lynga_2",216.04,-61.35,0.08,0.2,"nan",0.18,19.9,17,11,-5.25,0.61,-6.27,1.05,1000,0.2,1
"C1422-545","NGC_5593",216.46,-54.8,0.09,0.2,"nan",0.23,19.6,14,9,-3.17,0.68,-1.55,0.7,1428,0.1,5
"C1424-594","NGC_5606",216.94,-59.63,0.06,0.2,0.03,0.12,17.0,15,5,-1.55,1.28,-0.03,1.48,1805,0.45,1
"C1427-609","Trumpler_22",217.78,-61.15,0.1,0.15,"nan",0.11,19.7,10,7,-5.71,0.97,-3.39,1.44,1516,0.52,1
"C1431-563","NGC_5662",218.88,-56.62,0.15,0.45,0.08,0.33,19.7,49,20,-5.03,0.39,-4.12,0.41,666,0.25,1
"C1439-661","VDBH_164,vdB-Hagen_164",222.06,-66.44,0.35,0.95,"nan",0.45,18.2,65,19,-7.06,0.43,-10.9,0.39,541,0.15,5
"C1445-543","NGC_5749",222.22,-54.5,0.06,0.1,"nan",0.07,19.0,7,7,0.52,0.66,-3.91,0.6,1031,0.36,1
"C1447-520","Hogg_18",222.7,-52.26,0.09,0.19,0.03,0.07,19.0,6,5,-0.82,0.85,-4.16,1.36,1535,0.5,1
"C1501-541","NGC_5822",226.03,-54.33,0.2,0.65,"nan",0.5,19.0,124,51,-8.23,0.32,-6.4,0.34,917,0.15,1
"C1502-554","NGC_5823",226.41,-55.62,0.07,0.19,"nan",0.15,19.7,8,5,-4.79,0.9,-3.51,1.81,1192,0.09,1
"C1546-575","Collinder_292",237.61,-57.66,0.12,0.2,"nan",0.17,19.7,12,7,2.21,1.3,0.36,1.1,1667,0.1,5
"C1553-593","Ruprecht_113",239.41,-59.43,0.2,0.45,"nan",0.33,19.8,31,8,-3.38,1.09,-1.34,1.17,667,0.1,5
"C1559-603","NGC_6025",240.82,-60.43,0.15,0.45,"nan",0.3,18.1,62,23,-3.65,0.29,-2.47,0.34,757,0.16,1
"C1607-551","Lynga_7",242.71,-55.32,0.08,0.2,0.04,0.12,18.0,16,5,-1.86,0.84,-1.4,1.52,751,0.27,1
"C1609-540","NGC_6067",243.28,-54.22,0.15,0.6,"nan",0.17,19.8,123,39,-2.97,0.36,-1.84,0.32,1417,0.38,1
"C1614-577","NGC_6087",244.74,-57.9,0.15,0.5,0.08,0.58,17.0,89,22,-1.46,0.38,-3.44,0.39,892,0.18,1
"C1615-548","Harvard_10",244.81,-54.96,0.2,0.55,"nan",0.35,17.2,55,23,-2.38,0.36,-12.12,0.38,1312,0.25,3
"C1619-518","Ruprecht_116",245.89,-52.0,0.07,0.12,"nan",0.08,19.9,13,7,-1.67,0.69,-4.56,0.95,667,0.1,5
"C1622-405","NGC_6124",246.33,-40.65,0.17,0.55,"nan",0.38,20.2,68,40,-1.42,0.29,-3.42,0.26,512,0.75,1
"C1624-514","Ruprecht_119",247.03,-51.52,0.09,0.15,"nan","nan","nan",9,8,-2.42,0.63,-0.96,0.52,956,0.5,1
