ID,ra,ra_sigma,dec,dec_sigma,plx,pmra,pmra_sigma,pmdec,pmdec_sigma,l,l_sigma,b,b_sigma,Nmem,n17,class,Age,Age_sigma,[Fe/H],[Fe/H]_sigma,M,M_sigma,Av,Av_sigma
CKCWDM_48071,164.4533,0.0019,-59.8611,0.0003,0.1561,-5.942,0.128,2.5434,0.0753,289.1128,0.0003,-0.0734,0.0004,21,20,1,8.8808,0.0233,0.33707,0.16997,14.03052,0.05163,11.10785,0.01004
CKCWDM_48195,166.9822,0.0009,-59.538,0.0002,0.1836,-6.1731,0.1287,2.3993,0.1021,290.1476,0.0002,0.7398,0.0002,25,25,1,8.9119,0.0383,-0.85232,0.47795,13.67942,0.04875,3.3997,0.01008
CKCWDM_48201,168.4398,0.001,-59.1526,0.0001,0.1353,-6.1759,0.3004,1.9457,0.0944,290.6899,0.0003,1.3776,0.0001,25,24,1,8.8972,0.0223,0.32673,0.17887,14.3428,0.05177,2.59762,0.01009
CKCWDM_48235,169.2537,0.0016,-59.3542,0.0001,0.1854,-6.2055,0.1618,2.0901,0.0883,291.1509,0.0003,1.3405,0.0002,25,24,1,8.9183,0.0177,-0.40509,0.2378,13.65658,0.05042,2.29133,0.00989
CKCWDM_48243,169.8889,0.0008,-59.2083,0.0004,0.1376,-6.7385,0.1356,1.9733,0.203,291.4033,0.0003,1.5913,0.0003,23,23,1,8.9284,0.034,-0.18943,0.10778,14.30549,0.05059,2.20592,0.01009
CKCWDM_48257,169.6682,0.0018,-59.5398,0.0004,0.1457,-5.9746,0.1684,1.9364,0.0771,291.4137,0.0005,1.2413,0.0004,23,22,1,8.9188,0.0195,-0.60556,0.32316,14.18128,0.04982,2.5809,0.01013
CKCWDM_48263,167.0298,0.0014,-59.635,0.0004,0.1368,-6.1437,0.1359,2.2137,0.0906,290.2075,0.0006,0.6597,0.0002,20,19,1,8.9052,0.0383,-0.2764,0.17228,14.31957,0.05131,3.2608,0.00992
CKCWDM_48434,171.857,0.0038,-59.9362,0.0001,0.1568,-6.5275,0.3751,1.843,0.0437,292.586,0.0009,1.2372,0.0001,29,29,1,8.8764,0.0387,0.31488,0.16417,14.02105,0.04981,3.39854,0.01022
CKCWDM_48472,171.5509,0.002,-60.3687,0.0001,0.16,-7.2632,0.1771,2.0885,0.0922,292.5806,0.0004,0.7788,0.0001,25,24,1,8.9341,0.0215,-0.83906,0.48006,13.97751,0.05061,3.73745,0.00992
CKCWDM_48561,170.053,0.0003,-59.7553,0.0001,0.1665,-6.586,0.4898,1.926,0.0919,291.671,0.0001,1.107,0.0001,20,20,1,8.9147,0.0372,-0.5852,0.34079,13.89218,0.05151,2.6149,0.00993
