"COCD","Name","GLON","GLAT","DistMod","E(B-V)","Dist","logt","rt","e_rt","logM","e_logM","rtA","e_rtA","logMA","e_logMA","_RA.icrs","_DE.icrs"
143,"Bochum 4",232.75,0.77,10.292,0.19,872,7.25,"nan","nan","nan","nan",3.2,0.7,1.02,0.306,112.8992,-17.1924
144,"NGC 2413",229.28,3.09,8.341,0.04,440,8.46,"nan","nan","nan","nan",3.9,0.9,1.296,0.298,113.2755,-13.036
145,"NGC 2414",231.41,1.95,14.039,0.56,2888,6.94,"nan","nan","nan","nan",10.3,2.8,2.366,0.349,113.3033,-15.4499
146,"NGC 2421",236.27,0.07,13.088,0.45,2181,7.41,"nan","nan","nan","nan",13.8,3.1,2.828,0.299,114.0548,-20.6107
147,"NGC 2422",230.95,3.13,8.672,0.07,491,8.12,7.7,1.0,2.191,0.167,8.8,1.0,2.364,0.152,114.1416,-14.4764
148,"NGC 2423",230.48,3.53,9.731,0.1,766,8.98,13.4,1.8,2.9,0.177,11.4,1.2,2.682,0.139,114.2671,-13.8719
149,"Ruprecht 26",232.05,2.69,11.102,0.1,1440,7.49,10.8,1.5,2.567,0.183,10.9,2.2,2.577,0.26,114.2969,-15.6502
150,"Melotte 71",228.95,4.49,12.835,0.11,3154,8.37,"nan","nan","nan","nan",17.6,4.1,3.02,0.304,114.3686,-12.0716
151,"Ruprecht 27",241.58,-2.57,9.206,0.15,560,8.41,"nan","nan","nan","nan",4.1,1.1,1.387,0.347,114.3669,-26.5323
152,"NGC 2428",233.08,2.72,11.766,0.05,2100,8.68,"nan","nan","nan","nan",10.4,2.0,2.463,0.251,114.8475,-16.5332
153,"NGC 2430",232.94,2.85,9.592,0.17,650,8.68,"nan","nan","nan","nan",3.7,0.9,1.241,0.314,114.8942,-16.3475
154,"ESO 493-03",242.48,-2.51,11.041,0.1,1400,8.6,"nan","nan","nan","nan",9.2,2.3,2.384,0.326,114.919,-27.2871
155,"Haffner 13",245.0,-3.73,9.423,0.05,714,7.51,8.1,1.6,2.264,0.26,11.7,1.9,2.735,0.218,115.1147,-30.0782
156,"NGC 2439",246.43,-4.47,14.17,0.4,3855,6.82,"nan","nan","nan","nan",25.2,7.1,3.513,0.371,115.1769,-31.6842
157,"NGC 2432",235.58,1.82,11.909,0.12,2030,8.18,"nan","nan","nan","nan",19.8,5.6,3.313,0.368,115.3161,-19.1506
158,"Ruprecht 151",233.09,3.23,12.231,0.2,2100,8.49,"nan","nan","nan","nan",20.5,3.6,3.342,0.232,115.3157,-16.2913
159,"NGC 2451A",252.5,-7.69,6.371,0.0,188,7.76,10.3,1.2,2.607,0.158,8.4,1.2,2.335,0.184,115.3162,-38.5235
