"Cluster","Comment"
"CWNU 1488","Bronze sample."
"CWNU 1490","Gold sample."
"CWNU 1491","Gold sample."
"CWNU 1492","Gold sample."
"CWNU 1494","Gold sample."
"CWNU 1495","Gold sample."
"CWNU 1497","Gold sample."
"CWNU 15","Gold sample."
"CWNU 1500","Bronze sample."
"CWNU 1502","Gold sample."
"CWNU 1503","Gold sample."
"CWNU 1504","Gold sample."
"CWNU 1505","Gold sample."
"CWNU 1506","Silver sample."
"CWNU 1507","Gold sample."
"CWNU 1508","Gold sample."
"CWNU 151","Silver sample."
"CWNU 1510","Gold sample."
"CWNU 1512","Gold sample."
"CWNU 1515","Gold sample."
"CWNU 1516","Gold sample."
"CWNU 1519","Gold sample."
"CWNU 152","Gold sample."
"CWNU 1521","Gold sample."
"CWNU 1523","Gold sample."
"CWNU 1524","Gold sample."
"CWNU 1526","Gold sample."
"CWNU 1528","Gold sample."
"CWNU 1529","Silver sample."
"CWNU 153","Gold sample."
"CWNU 1535","Silver sample."
"CWNU 1536","Gold sample."
"CWNU 1537","Silver sample."
"CWNU 1538","Gold sample."
"CWNU 154","Gold sample."
"CWNU 1540","Gold sample."
"CWNU 1541","Gold sample."
"CWNU 1542","Gold sample."
"CWNU 1544","Gold sample."
"CWNU 1546","Silver sample."
"CWNU 155","Silver sample."
"CWNU 1553","Gold sample."
"CWNU 1554","Gold sample."
"CWNU 1556","Wood sample."
"CWNU 1558","Gold sample."
"CWNU 1559","Silver sample."
"CWNU 1560","Gold sample."
"CWNU 1564","Gold sample."
"CWNU 1566","Gold sample."
"CWNU 1567","Gold sample."
"CWNU 1573","Silver sample."
"CWNU 1577","Bronze sample."
"CWNU 1579","Silver sample."
"CWNU 158","Gold sample."
"CWNU 1580","Gold sample."
"CWNU 1582","Gold sample."
"CWNU 1585","Gold sample."
"CWNU 1586","Gold sample."
"CWNU 1590","Gold sample."
"CWNU 1592","Gold sample."
"CWNU 1594","Wood sample."
"CWNU 1595","Gold sample."
"CWNU 161","Gold sample."
"CWNU 1611","Gold sample."
"CWNU 1615","Gold sample."
"CWNU 1616","Gold sample."
"CWNU 1619","Gold sample."
"CWNU 162","Gold sample."
"CWNU 1624","Gold sample."
"CWNU 1625","Gold sample."
"CWNU 1630","Bronze sample."
"CWNU 1635","Gold sample."
"CWNU 1637","Gold sample."
"CWNU 1638","Gold sample."
"CWNU 1639","Gold sample."
"CWNU 164","Gold sample."
"CWNU 1643","Gold sample."
"CWNU 1645","Gold sample."
"CWNU 1648","Gold sample."
"CWNU 165","Gold sample."
"CWNU 1654","Gold sample."
"CWNU 1656","Gold sample."
"CWNU 1664","Gold sample."
"CWNU 1665","Gold sample."
"CWNU 1666","Gold sample."
"CWNU 1667","Gold sample."
"CWNU 1671","Gold sample."
"CWNU 1673","Gold sample."
"CWNU 1674","Gold sample."
"CWNU 1677","Gold sample."
"CWNU 1678","Gold sample."
"CWNU 1679","Gold sample."
"CWNU 168","Gold sample."
"CWNU 1680","Silver sample."
"CWNU 1684","Gold sample."
"CWNU 1685","Gold sample."
"CWNU 1694","Gold sample."
"CWNU 1697","Gold sample."
"CWNU 170","Silver sample."
"CWNU 1702","Silver sample."
"CWNU 1704","Gold sample."
"CWNU 1706","Gold sample."
"CWNU 1707","Gold sample."
"CWNU 1712","Gold sample."
"CWNU 1714","Gold sample."
"CWNU 1715","Gold sample."
"CWNU 1717","Silver sample."
"CWNU 1718","Gold sample."
"CWNU 1719","Gold sample."
"CWNU 172","Gold sample."
"CWNU 1720","Gold sample."
"CWNU 1722","Gold sample."
"CWNU 1726","Gold sample."
"CWNU 1730","Gold sample."
"CWNU 1733","Gold sample."
"CWNU 1734","Gold sample."
"CWNU 174","Gold sample."
"CWNU 1746","Gold sample."
"CWNU 1749","Gold sample."
"CWNU 175","Silver sample."
"CWNU 1752","Gold sample."
"CWNU 1753","Gold sample."
"CWNU 1755","Silver sample."
"CWNU 1756","Gold sample."
"CWNU 1757","Gold sample."
"CWNU 1759","Gold sample."
"CWNU 1760","Silver sample."
"CWNU 1761","Silver sample."
"CWNU 1762","Gold sample."
"CWNU 1767","Gold sample."
"CWNU 1768","Gold sample."
"CWNU 1769","Gold sample."
"CWNU 1773","Gold sample."
"CWNU 1774","Gold sample."
"CWNU 1777","Gold sample."
"CWNU 1780","Gold sample."
"CWNU 1785","Silver sample."
"CWNU 1787","Gold sample."
"CWNU 1789","Gold sample."
"CWNU 1790","Gold sample."
"CWNU 1791","Gold sample."
"CWNU 1797","Bronze sample."
"CWNU 1799","Gold sample."
"CWNU 180","Gold sample."
"CWNU 1800","Gold sample."
"CWNU 1801","Gold sample."
"CWNU 1803","Gold sample."
"CWNU 1804","Bronze sample."
"CWNU 1807","Gold sample."
"CWNU 181","Gold sample."
"CWNU 1810","Gold sample."
"CWNU 1813","Silver sample."
"CWNU 1814","Silver sample."
"CWNU 1816","Gold sample."
"CWNU 1818","Gold sample."
