"Cluster","Comment"
"Berkeley_96","Tidal & Core radii: r_t=154+/-72.2 [pc], r_c=0.24+/-0.0 [pc]; stars within r_t: N~95"
"Berkeley_97","Tidal & Core radii: r_t=62+/-63.4 [pc], r_c=0.48+/-0.0 [pc]; stars within r_t: N~132"
"Berkeley_98","Tidal & Core radii: r_t=31+/-30.7 [pc], r_c=0.23+/-0.05 [pc]; stars within r_t: N~160"
"Berkeley_99","Tidal & Core radii: r_t=62+/-63.6 [pc], r_c=0.44+/-0.05 [pc]; stars within r_t: N~69"
"BH_111","Tidal & Core radii: r_t=39+/-57.7 [pc], r_c=0.34+/-0.0 [pc]; stars within r_t: N~59"
"BH_118","Tidal & Core radii: r_t=153+/-63.1 [pc], r_c=0.51+/-0.0 [pc]; stars within r_t: N~92"
"BH_132","Tidal & Core radii: r_t=55+/-53.7 [pc], r_c=0.47+/-0.0 [pc]; stars within r_t: N~146"
"BH_144","Tidal & Core radii: r_t=172+/-55.6 [pc], r_c=0.48+/-0.0 [pc]; stars within r_t: N~109"
"BH_150","Tidal & Core radii: r_t=42+/-60.5 [pc], r_c=0.23+/-0.0 [pc]; stars within r_t: N~72"
"BH_151","Tidal & Core radii: r_t=53+/-55.7 [pc], r_c=0.56+/-0.0 [pc]; stars within r_t: N~87"
"BH_164","Tidal & Core radii: r_t=21+/-3.5 [pc], r_c=0.57+/-0.03 [pc]; stars within r_t: N~276"
"BH_19","Tidal & Core radii: r_t=51+/-64.8 [pc], r_c=0.39+/-0.0 [pc]; stars within r_t: N~72"
"BH_200","Tidal & Core radii: r_t=23+/-12.7 [pc], r_c=0.37+/-0.02 [pc]; stars within r_t: N~145"
"BH_202","Tidal & Core radii: r_t=22+/-4.6 [pc], r_c=0.66+/-0.01 [pc]; stars within r_t: N~342"
"BH_205","Tidal & Core radii: r_t=30+/-11.3 [pc], r_c=0.51+/-0.0 [pc]; stars within r_t: N~518"
"BH_211","Tidal & Core radii: r_t=23+/-11.3 [pc], r_c=0.52+/-0.01 [pc]; stars within r_t: N~125"
"BH_217","Tidal & Core radii: r_t=14+/-11.2 [pc], r_c=0.39+/-0.05 [pc]; stars within r_t: N~89"
"BH_221","Tidal & Core radii: r_t=107+/-81.9 [pc], r_c=0.48+/-0.0 [pc]; stars within r_t: N~283"
"BH_23","Tidal & Core radii: r_t=49+/-16.6 [pc], r_c=0.22+/-0.0 [pc]; stars within r_t: N~243"
"BH_37","Tidal & Core radii: r_t=23+/-22.1 [pc], r_c=0.69+/-0.06 [pc]; stars within r_t: N~114"
"BH_54","Tidal & Core radii: r_t=66+/-61.9 [pc], r_c=0.45+/-0.0 [pc]; stars within r_t: N~93"
"BH_55","Tidal & Core radii: r_t=124+/-71.7 [pc], r_c=0.57+/-0.0 [pc]; stars within r_t: N~100"
"BH_56","Tidal & Core radii: r_t=36+/-28.4 [pc], r_c=0.39+/-0.02 [pc]; stars within r_t: N~178"
"BH_66","Tidal & Core radii: r_t=138+/-68.1 [pc], r_c=0.47+/-0.0 [pc]; stars within r_t: N~150"
"BH_67","Tidal & Core radii: r_t=105+/-76.3 [pc], r_c=0.54+/-0.0 [pc]; stars within r_t: N~66"
"BH_72","Tidal & Core radii: r_t=80+/-70.3 [pc], r_c=0.33+/-0.0 [pc]; stars within r_t: N~115"
"BH_73","Tidal & Core radii: r_t=105+/-81.2 [pc], r_c=0.15+/-0.0 [pc]; stars within r_t: N~72"
"BH_78","Tidal & Core radii: r_t=169+/-55.9 [pc], r_c=0.47+/-0.0 [pc]; stars within r_t: N~125"
"BH_84","Tidal & Core radii: r_t=29+/-37.7 [pc], r_c=0.36+/-0.0 [pc]; stars within r_t: N~77"
"BH_85","Tidal & Core radii: r_t=96+/-75.3 [pc], r_c=0.46+/-0.0 [pc]; stars within r_t: N~70"
"BH_87","Tidal & Core radii: r_t=26+/-13.0 [pc], r_c=0.52+/-0.0 [pc]; stars within r_t: N~231"
"BH_90","Tidal & Core radii: r_t=22+/-7.8 [pc], r_c=0.57+/-0.0 [pc]; stars within r_t: N~171"
"BH_92","Tidal & Core radii: r_t=135+/-75.0 [pc], r_c=0.52+/-0.0 [pc]; stars within r_t: N~98"
"BH_99","Tidal & Core radii: r_t=23+/-5.7 [pc], r_c=0.65+/-0.03 [pc]; stars within r_t: N~549"
"Biurakan_2","Tidal & Core radii: r_t=48+/-36.8 [pc], r_c=0.47+/-0.0 [pc]; stars within r_t: N~195"
"Blanco_1","Tidal & Core radii: r_t=11+/-0.7 [pc], r_c=0.2+/-0.02 [pc]; stars within r_t: N~459"
"Bochum_13","Tidal & Core radii: r_t=200+/-0.0 [pc], r_c=0.32+/-0.0 [pc]; stars within r_t: N~157"
"Bochum_3","Tidal & Core radii: r_t=97+/-76.7 [pc], r_c=0.75+/-0.0 [pc]; stars within r_t: N~91"
"Bochum_4","Tidal & Core radii: r_t=71+/-65.1 [pc], r_c=0.62+/-0.0 [pc]; stars within r_t: N~95"
"COIN-Gaia_10","Tidal & Core radii: r_t=12+/-20.1 [pc], r_c=0.36+/-0.05 [pc]; stars within r_t: N~47"
"COIN-Gaia_11","Tidal & Core radii: r_t=57+/-45.0 [pc], r_c=0.53+/-0.0 [pc]; stars within r_t: N~139"
"COIN-Gaia_12","Tidal & Core radii: r_t=40+/-43.4 [pc], r_c=0.27+/-0.02 [pc]; stars within r_t: N~94"
"COIN-Gaia_13","Tidal & Core radii: r_t=193+/-18.8 [pc], r_c=0.39+/-0.0 [pc]; stars within r_t: N~179"
"COIN-Gaia_14","Tidal & Core radii: r_t=145+/-78.3 [pc], r_c=0.29+/-0.0 [pc]; stars within r_t: N~51"
"COIN-Gaia_15","Tidal & Core radii: r_t=30+/-38.3 [pc], r_c=0.45+/-0.07 [pc]; stars within r_t: N~136"
"COIN-Gaia_16","Tidal & Core radii: r_t=200+/-0.0 [pc], r_c=0.42+/-0.0 [pc]; stars within r_t: N~162"
"COIN-Gaia_18","Tidal & Core radii: r_t=47+/-62.5 [pc], r_c=0.41+/-0.01 [pc]; stars within r_t: N~50"
"COIN-Gaia_19","Tidal & Core radii: r_t=29+/-37.4 [pc], r_c=0.15+/-0.02 [pc]; stars within r_t: N~88"
"COIN-Gaia_20","Tidal & Core radii: r_t=46+/-55.4 [pc], r_c=0.26+/-0.01 [pc]; stars within r_t: N~73"
"COIN-Gaia_21","Tidal & Core radii: r_t=80+/-80.3 [pc], r_c=0.46+/-0.0 [pc]; stars within r_t: N~64"
"COIN-Gaia_23","Tidal & Core radii: r_t=91+/-71.1 [pc], r_c=0.37+/-0.0 [pc]; stars within r_t: N~97"
"COIN-Gaia_24","Tidal & Core radii: r_t=17+/-19.8 [pc], r_c=0.48+/-0.09 [pc]; stars within r_t: N~94"
"COIN-Gaia_25","Tidal & Core radii: r_t=15+/-1.8 [pc], r_c=0.52+/-0.03 [pc]; stars within r_t: N~115"
"COIN-Gaia_26","Tidal & Core radii: r_t=67+/-69.5 [pc], r_c=0.18+/-0.0 [pc]; stars within r_t: N~84"
"COIN-Gaia_28","Tidal & Core radii: r_t=22+/-26.3 [pc], r_c=0.47+/-0.06 [pc]; stars within r_t: N~110"
"COIN-Gaia_3","Tidal & Core radii: r_t=34+/-24.1 [pc], r_c=0.43+/-0.0 [pc]; stars within r_t: N~100"
"COIN-Gaia_30","Tidal & Core radii: r_t=7+/-0.8 [pc], r_c=0.54+/-0.07 [pc]; stars within r_t: N~99"
"COIN-Gaia_34","Tidal & Core radii: r_t=140+/-78.2 [pc], r_c=0.64+/-0.0 [pc]; stars within r_t: N~78"
