"Cluster","Comment"
"NGC_6124","Both stragglers candidates have a radius larger than the cluster's apparent radius (r=39.0 arcmin (Dias et al., 2002A&A...389..871D, Cat. B/ocl). Ahumada & Lapasset (2007A&A...463..789A, Cat. J/A+A/463/789) cite star DR2 5993137136537019136=HD 325560 as a possible blue straggler, however, the star does not have an astrometric solution in the Gaia system."
"NGC_6152","Parameter log(t)=8.65 and E(b-v)=0.20 were taken from WEBDA."
"NGC_6192","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.251, Av=1.731, [Fe/H]=0.120 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_6204","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.576, Av=1.291, [Fe/H]=0.020 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_6242","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.767, Av=0.988, [Fe/H]=0.00  were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). The distance d=1131.3 (dmode+01) of Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93) was use to fit the isochrone."
"NGC_6531","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=7.873, Av=0.636, [Fe/H]=0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_6603","The parameter log(t) was selected from Netopil et al. (2015A&A...582A..19N). This object probably suffers from differential reddening, we suggest exploring this effect in future works."
"NGC_6633","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however,  parameters log(t)=8.888, Av=0.451, [Fe/H]=-0.080 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108)."
"NGC_6704","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.237, Av=2.260, [Fe/H]=0.00  were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). The distance d=1775.0 (dmode+01) of Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93) was use to fit the isochrone."
"NGC_6709","This cluster was include in (Dias et al., 2002A&A...389..871D, Cat. B/ocl) however, parameters log(t)=8.239, Av=0.814, [Fe/H]=0.00 were taken from Bossini et al. (2019A&A...623A.108B, Cat. J/A+A/623/A108). Ahumada & Lapasset (2007A&A...463..789A, Cat. J/A+A/463/789) cite stars DR2 4311560408276862080=NGC 6709 11 and DR2 4311607652919937920=Cl* NGC 6709 SS B3 as possible stragglers. Both are members according to Cantat-Gaudin et al. (2018A&A...618A..93C, Cat. J/A+A18/A93) however, both appear in the main sequence and not in the region of the stragglers in the CMD."
