"Name(s)","name","N_50","r_50","RA_ICRS","DEC_ICRS","GLON","GLAT","Plx","pmRA","pmDE","Rv","N_Rv","Dist_[kpc]","Dist_STDDEV","Av_[mag]","Av_STDDEV","Diff_ext_[mag]","Diff_ext_STDDEV","Age_[Myr]","Age_STDDEV","FeH_[dex]","FeH_STDDEV","Mass_[Msun]","Mass_STDDEV","Binary_fr","Binary_fr_STDDEV","Blue_str","C3","P_dup","UTI","bad_oc"
"Alessi 44;ASCC 106;MWSC 3164","alessi44",18.0,27.3,294.82529,1.76497,39.93485,-9.75184,1.5237,0.3993,-2.2721,-13.05875,8.0,0.66,0.0865,1.07,0.2711,0.58,"nan",244.0,72.0,0.043,0.2312,324.0,291.0,"nan","nan","nan","BB",0.0,0.53,"n"
"Alessi 49","alessi49",21.0,2.6,154.07639,-57.34216,283.17458,-0.54138,0.178,-5.5216,3.4857,"nan",0.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","AB",0.0,0.2,"y"
"Alessi 5;MWSC 1844;FoF 2407;OCSN 138","alessi5",665.0,24.3,160.83295,-61.08948,288.08368,-1.97732,2.5082,-15.3861,2.5256,10.0649,149.0,0.4,0.0321,0.48,0.1232,0.73,"nan",51.0,11.0,0.0,0.2002,37.0,283.0,0.17,"nan","nan","AA",0.0,1.0,"n"
"Alessi 50;DSH J0622.0+2104;FSR 0901","alessi50",239.0,3.7,95.52362,21.07119,190.90818,3.32272,0.313,0.2613,1.2674,24.49115,6.0,2.92,0.1838,1.37,0.2687,0.69,"nan",2312.0,537.0,-0.21,0.1744,845.0,"nan","nan","nan","nan","AC",0.0,0.66,"n"
"Alessi 52","alessi52",15.0,4.4,183.13853,-62.70394,298.4799,-0.15405,0.1364,-6.3598,0.6856,"nan",0.0,3.33,"nan",3.35,"nan","nan","nan",1413.0,"nan","nan","nan","nan","nan","nan","nan","nan","AB",0.0,0.16,"y"
"Alessi 53;MWSC 879;DSH J0629.4+0910;DC 7;FSR 0986","alessi53",54.0,1.3,97.35234,9.18036,202.25887,-0.66322,0.1833,0.3995,-0.2128,56.0536,2.0,4.28,1.0058,1.98,0.2085,1.68,"nan",254.0,285.0,-0.421,0.3097,202.0,310.0,"nan","nan","nan","BB",0.0,0.8,"n"
"Alessi 55;FSR 1080;MWSC 1038","alessi55",18.0,6.5,104.54606,0.88011,212.91439,1.90479,0.3777,-1.0516,1.9734,"nan",0.0,1.75,0.0,1.74,0.0,"nan","nan",234.0,0.0,"nan","nan",104.0,"nan","nan","nan","nan","CD",0.0,0.23,"n"
"Alessi 56;MWSC 3047;DSH J1906.8+0935;GLIMPSE 19;Mercer 19","alessi56",24.0,2.1,286.71513,9.59725,43.2224,0.96983,0.2799,-2.0954,-5.436,"nan",0.0,4.9,0.9256,6.78,0.4997,"nan","nan",385.0,123.0,"nan","nan",902.0,"nan","nan","nan","nan","BB",0.0,0.5,"n"
"Alessi 57;DSH J1920.8+1540;FSR 0130;MWSC 3089","alessi57",30.0,1.3,290.22287,15.67861,50.19749,0.7664,0.1452,-2.1392,-5.2434,15.43635,2.0,3.9,0.0,6.54,0.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","AB",0.0,0.49,"n"
"Alessi 58;DSH J0625.7+1954;FSR 0912","alessi58",60.0,1.9,96.44485,19.90134,192.34588,3.54805,0.2219,-0.0389,-0.4867,35.1252,0.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","AB",0.0,0.46,"n"
"Alessi 59;MWSC 1004;DSH J0652.3+0211","alessi59",39.0,1.6,103.07223,2.19434,211.0774,1.19075,0.2374,-0.5252,0.1663,"nan",0.0,3.9,0.3887,1.725,0.4428,"nan","nan",25.0,250.0,-0.094,"nan",188.0,187.0,"nan","nan","nan","AB",0.0,0.76,"n"
"Alessi 6;MWSC 2240;FoF 2277","alessi6",247.0,13.4,220.06258,-66.12548,313.65816,-5.55012,1.1243,-10.534,-5.5469,-14.3691,76.0,0.86,0.1948,0.68,0.1938,0.6,"nan",360.0,163.0,0.0735,0.2366,326.0,236.0,0.57,"nan","nan","AB",0.0,0.91,"n"
"Alessi 60;MWSC 1071;DSH J0702.4-0108;Alessi J0702.4-0108;FoF 1395","alessi60",145.0,3.8,105.6108,-1.12396,215.19086,1.93972,0.3347,-0.8466,-0.6618,55.0142,1.0,2.715,0.5386,0.82,0.1875,0.79,"nan",339.0,128.0,-0.0365,0.1471,374.0,218.0,"nan","nan","nan","AB",0.0,0.9,"n"
"Alessi 61","alessi61",37.0,2.7,228.72566,-63.41612,318.18891,-4.87652,0.3101,-4.5037,-4.8234,"nan",0.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","BC",0.0,0.35,"n"
"Alessi 62;MWSC 3025;FoF 2357","alessi62",242.0,18.2,284.02122,21.6054,52.80766,8.68306,1.6156,0.2725,-1.1433,12.9997,90.0,0.62,0.5794,0.78,0.1914,1.03,"nan",891.0,186.0,0.041,0.2469,297.0,234.0,0.515,0.0495,"nan","AA",0.0,0.96,"n"
"Alessi 64;FSR 1123;DSH J0551.6-1214;MWSC 681","alessi64",17.0,7.9,87.86622,-12.24031,217.38924,-18.76924,0.1033,-0.0521,0.4211,"nan",0.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.05,"y"
"Alessi 65","alessi65",60.0,2.1,101.08716,6.97275,205.9103,1.60557,0.2096,-0.139,-0.5369,53.15072,1.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","AB",0.0,0.46,"n"
"Alessi 66","alessi66",259.0,2.6,113.86367,-27.71445,242.39643,-3.53698,0.1603,-1.5101,3.1224,98.10981,16.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","AA",0.92,0.04,"n"
"Alessi 67","alessi67",20.0,7.4,281.79144,-59.85956,335.91307,-22.70942,0.2558,-1.9298,-4.0038,"nan",0.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.06,"y"
"Alessi 68","alessi68",9.0,5.4,287.72056,13.20684,46.88579,1.76237,-0.0465,-2.8904,-4.9118,"nan",0.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","BC",0.0,0.08,"y"
