"Name(s)","name","N_50","r_50","RA_ICRS","DEC_ICRS","GLON","GLAT","Plx","pmRA","pmDE","Rv","N_Rv","Dist_[kpc]","Dist_STDDEV","Av_[mag]","Av_STDDEV","Diff_ext_[mag]","Diff_ext_STDDEV","Age_[Myr]","Age_STDDEV","FeH_[dex]","FeH_STDDEV","Mass_[Msun]","Mass_STDDEV","Binary_fr","Binary_fr_STDDEV","Blue_str","C3","P_dup","UTI","bad_oc"
"CWNU 2851","cwnu2851",30.0,6.1,357.06827,68.26788,117.09779,6.1131,0.3042,-3.0261,0.0922,-50.7591,3.0,2.75,"nan",3.4,"nan","nan","nan",1778.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.12,"y"
"CWNU 2852","cwnu2852",17.0,11.0,69.14305,48.05295,156.70925,0.48164,0.2784,0.3824,-1.132,-27.2587,1.0,3.89,"nan",4.5,"nan","nan","nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWNU 2853","cwnu2853",19.0,9.6,104.2358,-10.37777,222.7867,-3.45586,0.6424,-1.0974,-0.625,51.0192,2.0,1.38,"nan",1.9,"nan","nan","nan",794.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.07,"y"
"CWNU 2854","cwnu2854",17.0,6.9,308.14926,33.93224,74.21918,-3.48593,0.3674,-2.9949,-4.9477,-57.0723,1.0,3.09,"nan",4.1,"nan","nan","nan",11.0,"nan","nan","nan","nan","nan","nan","nan","nan","CB",0.0,0.1,"y"
"CWNU 2855","cwnu2855",21.0,5.9,100.07676,8.10045,204.45808,1.23066,0.3111,-0.4908,-0.4578,53.2348,1.0,2.63,"nan",1.4,"nan","nan","nan",631.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.08,"y"
"CWNU 2856","cwnu2856",18.0,8.2,83.64522,42.34689,167.42257,5.23451,0.3458,0.0923,-1.896,25.36935,2.0,3.16,"nan",1.25,"nan","nan","nan",794.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.04,"y"
"CWNU 2857","cwnu2857",16.0,7.4,282.22211,-29.38184,6.09495,-12.43816,0.3013,-1.1733,-4.499,48.1578,1.0,3.39,"nan",0.65,"nan","nan","nan",3548.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.04,"y"
"CWNU 2858","cwnu2858",22.0,8.5,96.8045,10.36081,200.97477,-0.58836,0.3671,-0.434,-1.3151,"nan",0.0,3.55,"nan",0.7,"nan","nan","nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.07,"y"
"CWNU 2859","cwnu2859",26.0,3.4,270.63612,-25.8141,4.60852,-1.67479,0.4573,0.5896,-0.0158,-48.4029,11.0,2.0,"nan",3.45,"nan","nan","nan",1000.0,"nan","nan","nan","nan","nan","nan","nan","nan","AA",1.0,0.0,"n"
"CWNU 286","cwnu286",23.0,11.1,327.78696,64.02165,104.69332,7.7497,1.1302,-3.1345,-4.545,-19.115,7.0,0.94,0.0945,1.23,0.0873,0.85,"nan",68.0,33.0,0.159,1.1441,138.0,"nan","nan","nan","nan","BB",0.0,0.34,"n"
"CWNU 2860","cwnu2860",17.0,8.4,45.39517,58.3617,139.31349,-0.33312,0.3699,-0.3513,-0.6558,-7.5328,1.0,2.19,"nan",2.8,"nan","nan","nan",1413.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.07,"y"
"CWNU 2861","cwnu2861",15.0,8.1,328.09573,53.32482,98.08622,-0.69332,0.3507,-4.1112,-3.4507,-43.3474,1.0,2.14,"nan",1.75,"nan","nan","nan",562.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.04,"y"
"CWNU 2862","cwnu2862",16.0,7.8,309.79079,34.67967,75.60546,-4.10516,0.3192,-3.0146,-4.5098,-14.4836,1.0,2.88,"nan",2.45,"nan","nan","nan",7.0,"nan","nan","nan","nan","nan","nan","nan","nan","AC",0.0,0.14,"y"
"CWNU 2863","cwnu2863",19.0,5.7,216.14342,-59.64153,314.47104,1.13485,0.2852,-6.5342,-3.0199,-42.2912,2.0,3.89,"nan",4.05,"nan","nan","nan",1.0,"nan","nan","nan","nan","nan","nan","nan","nan","BB",0.0,0.12,"y"
"CWNU 2864","cwnu2864",17.0,4.6,279.40076,-11.42767,21.18928,-2.15401,0.5212,-0.9922,-3.4864,-2.5022,1.0,1.82,"nan",3.2,"nan","nan","nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","AB",0.0,0.25,"n"
"CWNU 2865","cwnu2865",18.0,7.0,277.9742,-10.11471,21.72589,-0.33023,0.4391,-0.2336,-2.4008,2.3296,1.0,2.09,"nan",4.45,"nan","nan","nan",1000.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.06,"y"
"CWNU 2866","cwnu2866",23.0,5.7,112.29377,-29.28892,243.10647,-5.47586,0.2464,-1.6859,2.2417,57.618,2.0,4.17,"nan",0.45,"nan","nan","nan",2818.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.05,"y"
"CWNU 2867","cwnu2867",15.0,6.9,223.235,-60.83449,317.20377,-1.37829,0.3248,-4.6488,-2.8438,-30.7624,1.0,3.08,0.3134,3.76,0.7136,2.23,"nan",188.0,115.0,-0.01,"nan",341.0,"nan","nan","nan","nan","DB",0.0,0.17,"y"
"CWNU 2868","cwnu2868",22.0,8.0,221.7148,-58.96478,317.33188,0.62978,0.4046,-3.9899,-2.8302,-43.8826,1.0,2.14,"nan",3.65,"nan","nan","nan",447.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.08,"y"
"CWNU 2869","cwnu2869",25.0,7.1,132.13839,-42.64824,262.98799,0.64732,0.3991,-5.6791,4.7199,"nan",0.0,2.63,"nan",4.65,"nan","nan","nan",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","BB",0.0,0.19,"y"
"CWNU 287;OCSN 151","cwnu287",55.0,17.7,155.25706,-55.92496,282.96111,0.97359,2.2824,-14.5304,2.4332,9.6369,21.0,0.46,0.0794,0.335,0.2225,0.51,"nan",54.0,40.0,0.5,0.4095,68.0,32.0,0.32,"nan","nan","BA",0.0,0.63,"n"
"CWNU 2870","cwnu2870",119.0,3.7,260.26456,-38.05673,349.56725,-0.67919,0.2635,-1.0156,-2.2106,2.0154,6.0,3.63,0.5069,4.86,1.1849,3.17,"nan",19.0,16.0,0.15,"nan",2596.0,"nan","nan","nan","nan","AA",0.0,0.65,"n"
"CWNU 2871","cwnu2871",53.0,1.9,316.0706,50.22023,90.54,2.20446,0.3334,-4.0873,-5.2212,48.35155,2.0,3.39,0.6413,5.14,0.6021,2.95,"nan",16.0,20.0,0.63,"nan",1216.0,"nan","nan","nan","nan","BB",0.98,0.01,"n"
"CWNU 2872","cwnu2872",15.0,8.6,264.3928,-30.76716,357.52455,0.51096,0.5413,-0.3089,-2.3575,-10.5887,2.0,1.74,"nan",3.35,"nan","nan","nan",501.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.08,"y"
"CWNU 2873","cwnu2873",17.0,5.5,250.62112,-46.61188,338.4632,-0.29702,0.3415,-2.108,-4.1925,-39.50765,2.0,2.57,"nan",3.5,"nan","nan","nan",282.0,"nan","nan","nan","nan","nan","nan","nan","nan","CB",0.0,0.11,"y"
"CWNU 2874","cwnu2874",25.0,5.3,115.90279,-30.37985,245.6038,-3.28638,0.2567,-2.6248,2.8447,72.3434,1.0,4.57,"nan",0.1,"nan","nan","nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.13,"y"
"CWNU 2875","cwnu2875",16.0,7.6,203.85903,-50.98599,309.96697,11.28631,0.4206,-8.2833,0.0812,-29.4487,2.0,2.75,"nan",0.95,"nan","nan","nan",3162.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.05,"y"
"CWNU 2876","cwnu2876",20.0,8.7,90.96477,26.58997,184.06821,2.29669,0.5268,-0.1772,-2.3399,33.4921,1.0,2.04,"nan",1.2,"nan","nan","nan",1778.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.06,"y"
"CWNU 2877","cwnu2877",23.0,1.7,235.09175,-56.25554,324.86315,-0.75517,0.3483,-3.8032,-3.0053,-17.3779,5.0,2.95,0.3517,4.45,1.0981,1.89,"nan",138.0,112.0,-0.45,"nan",411.0,"nan","nan","nan","nan","CB",0.0,0.38,"n"
"CWNU 2878","cwnu2878",25.0,1.1,28.11673,65.15603,129.28681,3.04023,0.1734,-0.9858,0.0759,"nan",0.0,5.5,"nan",1.8,"nan","nan","nan",794.0,"nan","nan","nan","nan","nan","nan","nan","nan","AB",0.0,0.4,"n"
"CWNU 2879","cwnu2879",15.0,11.7,74.34931,53.44645,154.65143,6.50145,0.5351,-0.0918,-1.3393,"nan",0.0,1.7,"nan",0.55,"nan","nan","nan",9.0,"nan","nan","nan","nan","nan","nan","nan","nan","BC",0.0,0.09,"y"
"CWNU 288","cwnu288",22.0,4.2,98.449,-1.71608,212.45211,-4.7217,0.4744,-0.0677,-0.8536,"nan",0.0,2.14,"nan",2.4,"nan","nan","nan",126.0,"nan",0.169,"nan","nan","nan","nan","nan","nan","AB",0.72,0.08,"n"
"CWNU 2880","cwnu2880",17.0,8.0,101.24486,11.97828,201.50949,3.98488,0.4187,-0.2736,-1.0276,56.2735,3.0,2.04,"nan",1.0,"nan","nan","nan",50.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.07,"y"
"CWNU 2881","cwnu2881",18.0,7.1,0.57459,63.97951,117.57185,1.62666,0.6066,-1.2901,-0.7707,"nan",0.0,1.6,0.185,1.94,0.2452,1.7,"nan",166.0,101.0,0.54,"nan",99.0,"nan","nan","nan","nan","CB",0.0,0.24,"y"
"CWNU 2882","cwnu2882",21.0,5.2,311.68354,46.00923,85.44248,1.70038,0.31,-2.5533,-3.9248,-51.15125,2.0,2.82,"nan",2.0,"nan","nan","nan",447.0,"nan","nan","nan","nan","nan","nan","nan","nan","BB",0.0,0.14,"y"
"CWNU 2883","cwnu2883",21.0,11.0,119.01418,-15.87845,234.55054,6.46055,0.3814,-2.637,1.1679,86.5969,1.0,2.57,"nan",0.15,"nan","nan","nan",1000.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.04,"y"
"CWNU 2884","cwnu2884",20.0,6.7,270.1164,-20.52069,8.94021,1.39588,0.53,0.3349,-1.2246,167.3904,3.0,1.78,0.0513,3.76,0.717,2.75,"nan",8.0,19.0,0.41,"nan",386.0,"nan","nan","nan","nan","BA",0.0,0.31,"n"
"CWNU 2885","cwnu2885",17.0,6.9,250.85881,-47.4564,337.90048,-0.99197,0.361,-2.248,-3.9036,-62.69465,2.0,3.31,"nan",4.35,"nan","nan","nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.07,"y"
"CWNU 2886","cwnu2886",21.0,1.9,177.43443,-63.88548,296.20345,-1.82176,0.2202,-6.2947,0.9168,25.0071,1.0,3.98,"nan",1.55,"nan","nan","nan",794.0,"nan","nan","nan","nan","nan","nan","nan","nan","CB",0.0,0.21,"y"
"CWNU 2887","cwnu2887",23.0,4.7,264.37855,-34.92012,354.00717,-1.70519,0.3709,0.4089,-1.988,10.9638,5.0,2.4,"nan",4.15,"nan","nan","nan",631.0,"nan","nan","nan","nan","nan","nan","nan","nan","BA",0.0,0.22,"y"
"CWNU 2888","cwnu2888",22.0,4.0,201.29507,-62.29829,306.83643,0.31245,0.4499,-3.9473,-0.9702,-34.6536,1.0,2.09,0.1155,2.08,0.406,2.51,"nan",222.0,396.0,0.0,0.2546,368.0,"nan","nan","nan","nan","DA",0.0,0.36,"n"
"CWNU 2889","cwnu2889",14.0,7.9,104.67961,-14.42169,226.60873,-4.93844,0.2521,-0.4016,1.7075,"nan",0.0,3.55,"nan",0.5,"nan","nan","nan",6310.0,"nan","nan","nan","nan","nan","nan","nan","nan","BC",0.0,0.08,"y"
"CWNU 289","cwnu289",35.0,11.4,100.63547,7.59534,205.17369,1.46207,0.7146,-1.6169,-0.0468,51.55535,2.0,2.14,"nan",0.6,"nan","nan","nan",4.0,"nan",-1.335,"nan","nan","nan","nan","nan","nan","BC",0.0,0.21,"y"
"CWNU 2890","cwnu2890",24.0,3.4,262.39846,-34.32856,353.62366,-0.00162,0.6055,1.9761,0.1628,112.4254,1.0,1.58,0.1852,4.37,0.2658,2.55,"nan",141.0,70.0,-0.3,"nan",297.0,"nan","nan","nan","nan","BB",0.0,0.4,"n"
"CWNU 2891","cwnu2891",16.0,8.4,226.18889,-58.62605,319.56281,-0.12184,0.5967,-3.7812,-2.3496,"nan",0.0,1.51,"nan",0.3,"nan","nan","nan",1.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.06,"y"
"CWNU 2892","cwnu2892",24.0,5.5,319.91187,55.54528,96.03344,4.1876,0.4455,-1.7162,-2.4511,-6.042,1.0,2.22,0.1015,2.9,0.2442,2.19,"nan",182.0,341.0,0.87,"nan",246.0,"nan","nan","nan","nan","BB",0.0,0.27,"n"
"CWNU 2893","cwnu2893",14.0,6.9,117.40659,-29.34829,245.36345,-1.62989,0.3132,-1.5939,2.2946,73.8713,2.0,3.09,"nan",1.55,"nan","nan","nan",891.0,"nan","nan","nan","nan","nan","nan","nan","nan","BC",0.0,0.09,"y"
"CWNU 2894","cwnu2894",16.0,4.3,272.80462,-22.91178,8.07834,-1.97789,0.4032,0.1525,-1.1465,5.8358,1.0,2.27,0.0964,3.33,0.4895,2.1,"nan",129.0,85.0,-0.1,"nan",284.0,"nan","nan","nan","nan","CA",0.0,0.29,"n"
"CWNU 2895","cwnu2895",23.0,5.1,104.70295,-11.04931,223.59954,-3.41817,0.3058,-0.4681,-0.3686,50.3015,1.0,2.92,0.1473,1.62,0.325,1.36,"nan",277.0,327.0,0.055,0.4596,239.0,"nan","nan","nan","nan","CB",0.0,0.24,"n"
"CWNU 2896","cwnu2896",21.0,7.5,88.3244,39.27442,171.90615,6.62626,0.5255,-0.6085,-0.6558,-24.6745,4.0,1.86,"nan",0.75,"nan","nan","nan",2239.0,"nan","nan","nan","nan","nan","nan","nan","nan","AC",0.0,0.17,"y"
"CWNU 2897","cwnu2897",22.0,7.9,329.80942,51.03438,97.48324,-3.08334,0.3895,-1.6825,-2.594,"nan",0.0,2.14,"nan",0.95,"nan","nan","nan",794.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.08,"y"
"CWNU 2898","cwnu2898",17.0,6.3,170.00538,-61.49858,292.25456,-0.5431,0.5732,-7.0676,1.5746,-4.27705,2.0,1.62,"nan",1.65,"nan","nan","nan",316.0,"nan","nan","nan","nan","nan","nan","nan","nan","BB",0.0,0.17,"y"
"CWNU 2899","cwnu2899",20.0,10.8,122.41173,-36.59218,253.73725,-1.89035,0.5922,-4.4022,3.9779,27.297,1.0,1.58,"nan",0.4,"nan","nan","nan",355.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.08,"y"
"CWNU 29","cwnu29",49.0,35.7,133.17959,-72.59578,287.16053,-17.5527,1.6834,-6.3964,8.4156,11.882,9.0,0.56,0.0173,0.22,0.2173,0.33,"nan",122.0,529.0,0.3285,0.2949,"nan","nan","nan","nan","nan","CB",0.0,0.22,"y"
"CWNU 290","cwnu290",21.0,12.8,123.36818,-22.02434,241.96439,6.73965,0.899,-1.1638,0.3647,3.8372,5.0,1.41,"nan",0.24,"nan","nan","nan",79.0,"nan",0.968,"nan","nan","nan","nan","nan","nan","BB",0.0,0.15,"y"
"CWNU 2900","cwnu2900",25.0,4.5,174.768,-61.81935,294.51086,-0.13823,0.6199,-7.1981,0.6261,-8.1766,2.0,1.62,"nan",0.75,"nan","nan","nan",112.0,"nan","nan","nan","nan","nan","nan","nan","nan","BB",0.0,0.35,"n"
"CWNU 2901","cwnu2901",20.0,7.5,199.76352,-61.32078,306.24039,1.37727,0.4163,-4.8901,-0.7034,33.9993,1.0,2.63,"nan",1.6,"nan","nan","nan",1585.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.05,"y"
"CWNU 2902","cwnu2902",22.0,12.1,103.93999,9.53535,204.89028,5.29967,0.674,-2.4048,0.0584,"nan",0.0,1.41,0.0115,0.4,0.1443,0.31,"nan",35.0,10.0,0.0725,0.1096,45.0,"nan","nan","nan","nan","AC",0.0,0.28,"n"
"CWNU 2903","cwnu2903",19.0,9.5,81.19671,33.66714,173.58404,-1.16159,0.3801,1.0678,-2.3,"nan",0.0,2.95,"nan",1.5,"nan","nan","nan",794.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.04,"y"
"CWNU 2904","cwnu2904",22.0,8.6,219.7667,-60.04996,315.98963,0.07254,0.5549,-5.6685,-5.3149,-65.8156,1.0,1.74,0.0,1.975,0.1061,0.8,"nan",198.0,118.0,"nan","nan",85.0,"nan","nan","nan","nan","CB",0.0,0.12,"y"
"CWNU 2905","cwnu2905",14.0,8.8,118.29601,-25.33964,242.28521,1.08177,0.2696,-1.8679,2.5207,57.3384,1.0,3.16,"nan",0.55,"nan","nan","nan",631.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWNU 2906","cwnu2906",15.0,9.6,145.56092,-49.25345,274.23195,2.7835,0.3333,-5.5371,3.4268,52.0375,1.0,2.69,"nan",1.7,"nan","nan","nan",50.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.03,"y"
"CWNU 2907","cwnu2907",22.0,7.1,129.93352,-45.53179,264.29615,-2.39103,0.4667,-5.812,4.585,"nan",0.0,2.19,0.1079,1.51,0.5292,0.54,"nan",19.0,77.0,-0.3,"nan",117.0,"nan","nan","nan","nan","BC",0.0,0.22,"y"
"CWNU 2908","cwnu2908",21.0,11.5,95.11394,14.00271,196.97535,-0.34011,0.5939,-1.074,-0.9157,13.1422,1.0,1.74,"nan",1.65,"nan","nan","nan",40.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.05,"y"
"CWNU 2909","cwnu2909",23.0,3.9,115.13496,-20.78323,236.91161,0.86785,0.2751,-2.1488,2.4082,"nan",0.0,3.5,0.4243,1.45,0.4243,0.33,"nan",120.0,135.0,"nan","nan",174.0,"nan","nan","nan","nan","AB",0.0,0.2,"y"
"CWNU 291","cwnu291",25.0,20.0,255.37025,-25.71643,357.20497,9.90285,1.0215,-0.5388,0.3415,-15.24905,10.0,0.98,"nan",0.66,"nan","nan","nan",79.0,"nan",0.274,"nan","nan","nan","nan","nan","nan","AB",0.0,0.23,"y"
"CWNU 2910","cwnu2910",19.0,7.6,72.53364,42.38795,162.58086,-1.39133,0.2902,0.4682,-1.6456,-12.5882,3.0,4.17,"nan",0.7,"nan","nan","nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","BC",0.0,0.09,"y"
"CWNU 2911","cwnu2911",22.0,3.5,317.11218,49.34889,90.34371,1.11307,0.5499,-4.2732,-4.1762,-14.9815,1.0,1.78,"nan",1.95,"nan","nan","nan",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.22,"y"
"CWNU 2912","cwnu2912",17.0,7.1,278.19095,-10.1056,21.81854,-0.49734,0.3701,0.2036,-0.9983,12.45415,4.0,2.29,"nan",3.9,"nan","nan","nan",1122.0,"nan","nan","nan","nan","nan","nan","nan","nan","BB",0.0,0.12,"y"
"CWNU 2913","cwnu2913",22.0,8.4,274.6719,-18.87986,12.46586,-1.59146,0.6554,-0.2398,-1.3629,-42.8638,1.0,1.48,"nan",1.45,"nan","nan","nan",2.0,"nan","nan","nan","nan","nan","nan","nan","nan","BB",0.0,0.16,"y"
"CWNU 2914","cwnu2914",22.0,2.6,125.09178,-44.86959,261.76153,-4.76885,0.2225,-2.8952,3.759,61.1416,3.0,3.9,0.205,2.23,0.2219,2.17,"nan",433.0,56.0,0.62,"nan",536.0,"nan","nan","nan","nan","DB",0.0,0.23,"y"
"CWNU 2915","cwnu2915",21.0,3.9,203.40378,-63.26518,307.65625,-0.78626,0.239,-5.8068,-1.6756,1.3564,1.0,4.79,"nan",4.35,"nan","nan","nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.09,"y"
"CWNU 2916","cwnu2916",23.0,2.0,176.2781,-63.20399,295.53904,-1.28478,0.3499,-4.9709,0.5522,5.1385,8.0,2.63,"nan",1.4,"nan","nan","nan",1413.0,"nan","nan","nan","nan","nan","nan","nan","nan","CB",0.0,0.28,"n"
"CWNU 2917","cwnu2917",23.0,6.3,237.61827,-53.60247,327.62486,0.44485,0.4997,-0.3587,-0.9503,"nan",0.0,2.29,"nan",2.05,"nan","nan","nan",8.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.09,"y"
"CWNU 2918","cwnu2918",27.0,5.9,105.84847,-6.95219,220.47852,-0.50843,0.3741,-1.1839,0.6931,"nan",0.0,2.4,0.0569,1.61,0.3365,1.01,"nan",39.0,203.0,-0.05,"nan",251.0,"nan","nan","nan","nan","DB",0.0,0.26,"n"
"CWNU 2919","cwnu2919",22.0,1.1,146.61462,-55.99755,279.09564,-1.93786,0.2284,-4.1226,3.6654,"nan",0.0,4.9,"nan",2.25,"nan","nan","nan",631.0,"nan","nan","nan","nan","nan","nan","nan","nan","AB",0.0,0.35,"n"
"CWNU 292","cwnu292",31.0,4.2,140.02775,-50.22258,272.28365,-0.36736,0.5072,-4.9758,2.7886,21.0011,3.0,2.29,"nan",3.0,"nan","nan","nan",50.0,"nan",0.862,"nan","nan","nan","nan","nan","nan","BB",1.0,0.0,"n"
"CWNU 2920","cwnu2920",25.0,4.2,278.00506,-13.39273,18.81244,-1.84426,0.3384,-0.7988,-2.8162,25.62045,2.0,2.45,"nan",2.35,"nan","nan","nan",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","AA",0.0,0.33,"n"
"CWNU 2921","cwnu2921",20.0,9.8,114.16748,-33.59408,247.69336,-6.19371,0.449,-3.5186,3.8272,"nan",0.0,2.16,0.0751,0.95,0.3656,1.58,"nan",177.0,99.0,0.01,"nan",70.0,"nan","nan","nan","nan","BC",0.0,0.19,"y"
"CWNU 2922","cwnu2922",18.0,6.7,196.33668,-70.32879,304.10089,-7.48342,0.35,-6.255,-1.8122,23.3877,1.0,2.4,"nan",0.75,"nan","nan","nan",3162.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.07,"y"
"CWNU 2923","cwnu2923",26.0,1.4,121.55252,-30.66612,248.36744,0.73304,0.19,-2.2462,3.8559,"nan",0.0,5.01,1.0465,0.75,0.4243,1.18,"nan",1199.0,1126.0,"nan","nan",156.0,"nan","nan","nan","nan","BA",0.0,0.4,"n"
"CWNU 2924","cwnu2924",18.0,8.9,203.46929,-50.6095,309.78256,11.71047,0.3397,-7.0489,-2.6854,"nan",0.0,3.09,"nan",0.6,"nan","nan","nan",4467.0,"nan","nan","nan","nan","nan","nan","nan","nan","BC",0.0,0.09,"y"
"CWNU 2925","cwnu2925",15.0,7.3,97.94947,7.11699,204.36132,-1.10714,0.3246,0.1855,-0.8188,10.353,1.0,2.95,"nan",1.7,"nan","nan","nan",398.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.04,"y"
"CWNU 2926","cwnu2926",23.0,9.1,8.06657,64.47276,120.87076,1.69136,0.5594,-2.2473,-1.8044,-32.8116,3.0,1.71,0.0173,3.3,0.1501,1.5,"nan",398.0,72.0,0.19,"nan",152.0,"nan","nan","nan","nan","CB",0.0,0.22,"y"
"CWNU 2927","cwnu2927",175.0,2.1,258.20092,-39.98918,347.05962,-0.48785,0.2147,-0.7884,-2.2913,-35.21825,16.0,3.8,"nan",6.2,"nan","nan","nan",63.0,"nan","nan","nan","nan","nan","nan","nan","nan","AA",0.73,0.15,"n"
"CWNU 2928","cwnu2928",50.0,8.5,63.30556,43.11596,157.38649,-5.80358,0.5466,0.2294,-2.7402,-17.26375,4.0,1.86,"nan",1.8,"nan","nan","nan",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","AB",0.66,0.12,"n"
"CWNU 2929","cwnu2929",24.0,3.6,308.00924,35.12513,75.10322,-2.70411,0.1544,-3.2634,-5.4966,-57.8794,1.0,6.31,"nan",4.6,"nan","nan","nan",1000.0,"nan","nan","nan","nan","nan","nan","nan","nan","AB",0.0,0.17,"y"
"CWNU 293","cwnu293",58.0,5.7,273.25916,-20.4014,10.50549,-1.11919,0.8114,-0.5374,-0.1796,-22.4313,3.0,1.2,"nan",0.9,"nan","nan","nan",200.0,"nan",0.916,"nan","nan","nan","nan","nan","nan","AB",0.0,0.46,"n"
"CWNU 2930","cwnu2930",19.0,1.4,115.40231,-18.82219,235.33493,2.0549,0.1773,-1.2212,1.894,63.0892,1.0,4.47,"nan",1.5,"nan","nan","nan",631.0,"nan","nan","nan","nan","nan","nan","nan","nan","DC",0.0,0.17,"y"
"CWNU 2931","cwnu2931",37.0,1.3,119.20043,-29.2691,246.09823,-0.26094,0.1353,-1.5184,1.6089,"nan",0.0,5.89,"nan",2.35,"nan","nan","nan",501.0,"nan","nan","nan","nan","nan","nan","nan","nan","CC",0.0,0.31,"n"
"CWNU 2932","cwnu2932",29.0,4.9,352.33864,58.21537,112.27303,-2.96121,0.4816,-3.899,-2.934,-34.6379,1.0,2.04,"nan",2.6,"nan","nan","nan",398.0,"nan","nan","nan","nan","nan","nan","nan","nan","AB",1.0,0.0,"n"
"CWNU 2933","cwnu2933",36.0,2.0,141.80806,-57.72887,278.29458,-4.98186,0.0625,-3.1316,3.1563,53.5635,2.0,8.13,"nan",1.8,"nan","nan","nan",1585.0,"nan","nan","nan","nan","nan","nan","nan","nan","AB",0.78,0.05,"n"
"CWNU 2934","cwnu2934",21.0,2.0,338.70564,56.38078,104.81002,-1.61008,0.143,-2.7843,-1.4354,-52.1923,1.0,4.9,"nan",2.1,"nan","nan","nan",316.0,"nan","nan","nan","nan","nan","nan","nan","nan","DB",0.0,0.1,"y"
"CWNU 2935","cwnu2935",24.0,2.2,65.64867,50.48233,153.3763,0.53154,0.1688,0.2129,0.123,-35.9471,4.0,4.57,"nan",3.5,"nan","nan","nan",501.0,"nan","nan","nan","nan","nan","nan","nan","nan","CB",0.0,0.14,"y"
"CWNU 2936","cwnu2936",30.0,6.1,81.10111,22.72929,182.65771,-7.3606,0.7512,-0.4343,1.084,26.39025,2.0,1.48,"nan",2.05,"nan","nan","nan",1585.0,"nan","nan","nan","nan","nan","nan","nan","nan","BC",0.87,0.04,"n"
"CWNU 2937","cwnu2937",21.0,3.7,97.93251,5.87063,205.4474,-1.67658,0.1438,-0.182,0.2076,24.9993,1.0,6.17,"nan",2.55,"nan","nan","nan",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","AC",0.56,0.06,"n"
"CWNU 2938","cwnu2938",22.0,4.1,122.96816,-19.0605,239.24199,8.06812,0.2016,-2.137,2.4846,105.13805,2.0,4.9,"nan",0.55,"nan","nan","nan",1259.0,"nan","nan","nan","nan","nan","nan","nan","nan","BC",0.0,0.1,"y"
"CWNU 2939","cwnu2939",37.0,3.4,111.04311,-17.91204,232.5432,-1.12042,0.2574,-0.5729,0.3233,57.377,1.0,3.89,"nan",2.7,"nan","nan","nan",158.0,"nan","nan","nan","nan","nan","nan","nan","nan","CB",0.97,0.01,"n"
"CWNU 294","cwnu294",36.0,42.6,334.60911,42.99488,95.50736,-11.5424,1.5913,-0.9764,-4.3822,-8.6195,16.0,0.5,"nan",0.54,"nan","nan","nan",40.0,"nan",-0.236,"nan","nan","nan","nan","nan","nan","AB",0.0,0.25,"y"
