"fnames","Names"
"bdb2003g010620038","BDB2003 G010.62-00.38"
"bdb2003g012800019","BDB2003 G012.80-00.19"
"bdb2003g04545p0006","BDB2003 G045.45+00.06"
"bdb2003g333600021","BDB2003 G333.60-00.21"
"bdp40d4124","BD+40d4124"
"bdsb1;bds20031;hourglassnebula","BDSB 1;BDS2003 1;Hourglass Nebula"
"bdsb10;bds200310;mwsc2991","BDSB 10;BDS2003 10;MWSC 2991"
"bdsb101;bds2003101","BDSB 101;BDS2003 101"
"bdsb102;bds2003102;mwsc2625","BDSB 102;BDS2003 102;MWSC 2625"
"bdsb103;bds2003103","BDSB 103;BDS2003 103"
"bdsb104;bds2003104","BDSB 104;BDS2003 104"
"bdsb105","BDSB 105"
"bdsb106;bds2003106;mwsc2777","BDSB 106;BDS2003 106;MWSC 2777"
"bdsb107;bds2003107","BDSB 107;BDS2003 107"
"bdsb108;bds2003108","BDSB 108;BDS2003 108"
"bdsb109;bds2003109","BDSB 109;BDS2003 109"
"bdsb11;bds200311;mwsc3053","BDSB 11;BDS2003 11;MWSC 3053"
"bdsb110;bds2003110;mwsc2783","BDSB 110;BDS2003 110;MWSC 2783"
"bdsb111;bds2003111;mwsc2785","BDSB 111;BDS2003 111;MWSC 2785"
"bdsb112;bds2003112","BDSB 112;BDS2003 112"
"bdsb113;bds2003113;mwsc2822","BDSB 113;BDS2003 113;MWSC 2822"
"bdsb114;bds2003114;mwsc2852","BDSB 114;BDS2003 114;MWSC 2852"
"bdsb115;bds2003115;mwsc2848","BDSB 115;BDS2003 115;MWSC 2848"
"bdsb116;bds2003116;mwsc2851","BDSB 116;BDS2003 116;MWSC 2851"
"bdsb117;bds2003117","BDSB 117;BDS2003 117"
"bdsb118;bds2003118","BDSB 118;BDS2003 118"
"bdsb119;bds2003119","BDSB 119;BDS2003 119"
"bdsb12;bds200312","BDSB 12;BDS2003 12"
"bdsb120;bds2003120","BDSB 120;BDS2003 120"
"bdsb121;bds2003121","BDSB 121;BDS2003 121"
"bdsb122;bds2003122;rsgc1","BDSB 122;BDS2003 122;RSGC 1"
"bdsb123;bds2003123","BDSB 123;BDS2003 123"
"bdsb124;bds2003124","BDSB 124;BDS2003 124"
"bdsb125;bds2003125;mwsc2990","BDSB 125;BDS2003 125;MWSC 2990"
"bdsb126;bds2003126","BDSB 126;BDS2003 126"
"bdsb127;bds2003127","BDSB 127;BDS2003 127"
"bdsb128;bds2003128","BDSB 128;BDS2003 128"
"bdsb129;bds2003129","BDSB 129;BDS2003 129"
"bdsb13","BDSB 13"
"bdsb130;bds2003130","BDSB 130;BDS2003 130"
"bdsb131;bds2003131","BDSB 131;BDS2003 131"
"bdsb132;bds2003132","BDSB 132;BDS2003 132"
"bdsb133;bds2003133","BDSB 133;BDS2003 133"
"bdsb134;bds2003134","BDSB 134;BDS2003 134"
"bdsb135;bds2003135","BDSB 135;BDS2003 135"
"bdsb136;bds2003136","BDSB 136;BDS2003 136"
"bdsb137;bds2003137","BDSB 137;BDS2003 137"
"bdsb138;bds2003138;nkd2004g48903","BDSB 138;BDS2003 138;NKD2004 G48.9-0.3"
"bdsb139;bds2003139;nkd2004g49003","BDSB 139;BDS2003 139;NKD2004 G49.0-0.3"
"bdsb14;bds200314","BDSB 14;BDS2003 14"
"bdsb140;bds2003140","BDSB 140;BDS2003 140"
"bdsb141;bds2003141","BDSB 141;BDS2003 141"
"bdsb142;bds2003142;nkd2004g49403","BDSB 142;BDS2003 142;NKD2004 G49.4-0.3"
"bdsb143;bds2003143","BDSB 143;BDS2003 143"
"bdsb144;bds2003144","BDSB 144;BDS2003 144"
"bdsb145;bds2003145","BDSB 145;BDS2003 145"
"bdsb146;bds2003146","BDSB 146;BDS2003 146"
"bdsb147;bds2003147","BDSB 147;BDS2003 147"
"bdsb148;bds2003148","BDSB 148;BDS2003 148"
"bdsb149;bds2003149","BDSB 149;BDS2003 149"
"bdsb15;bds200315;mwsc3187","BDSB 15;BDS2003 15;MWSC 3187"
"bdsb150;bds2003150","BDSB 150;BDS2003 150"
"bdsb151;bds2003151;nkd2004g49504irs1","BDSB 151;BDS2003 151;NKD2004 G49.5-0.4 IRS1"
"bdsb152;bds2003152;nkd2004g49504irs2","BDSB 152;BDS2003 152;NKD2004 G49.5-0.4 IRS2"
"bdsb153;bds2003153","BDSB 153;BDS2003 153"
"bdsb154;bds2003154","BDSB 154;BDS2003 154"
"bdsb155;bds2003155","BDSB 155;BDS2003 155"
"bdsb156;bds2003156;mwsc3137","BDSB 156;BDS2003 156;MWSC 3137"
"bdsb157;bds2003157;mwsc3121","BDSB 157;BDS2003 157;MWSC 3121"
"bdsb158;bds2003158","BDSB 158;BDS2003 158"
"bdsb159;bds2003159","BDSB 159;BDS2003 159"
"bdsb16;bds200316","BDSB 16;BDS2003 16"
"bdsb160;bds2003160","BDSB 160;BDS2003 160"
"bdsb164;bds2003164;mwsc2593","BDSB 164;BDS2003 164;MWSC 2593"
"bdsb165;bds2003165;mwsc2607","BDSB 165;BDS2003 165;MWSC 2607"
"bdsb166;bds2003166;mwsc2606","BDSB 166;BDS2003 166;MWSC 2606"
"bdsb167;bds2003167","BDSB 167;BDS2003 167"
"bdsb18;bds200318;mwsc3221","BDSB 18;BDS2003 18;MWSC 3221"
"bdsb19;bds200319;mwsc3450","BDSB 19;BDS2003 19;MWSC 3450"
"bdsb2;bds20032","BDSB 2;BDS2003 2"
"bdsb21;bds200321;mwsc3464","BDSB 21;BDS2003 21;MWSC 3464"
"bdsb22;bds200322;mwsc3534","BDSB 22;BDS2003 22;MWSC 3534"
"bdsb23;bds200323;mwsc3497","BDSB 23;BDS2003 23;MWSC 3497"
"bdsb24;bds200324;mwsc3516","BDSB 24;BDS2003 24;MWSC 3516"
"bdsb26;bds200326","BDSB 26;BDS2003 26"
"bdsb27;bds200327","BDSB 27;BDS2003 27"
"bdsb28;bds200328","BDSB 28;BDS2003 28"
"bdsb29;bds200329","BDSB 29;BDS2003 29"
"bdsb3;bds20033;mwsc2805","BDSB 3;BDS2003 3;MWSC 2805"
"bdsb30;bds200330","BDSB 30;BDS2003 30"
"bdsb31","BDSB 31"
"bdsb34;bds200334","BDSB 34;BDS2003 34"
"bdsb35;bds200335","BDSB 35;BDS2003 35"
"bdsb36;bds200336","BDSB 36;BDS2003 36"
"bdsb37;bds200337;mwsc3685","BDSB 37;BDS2003 37;MWSC 3685"
"bdsb38;bds200338","BDSB 38;BDS2003 38"
"bdsb39;bds200339","BDSB 39;BDS2003 39"
"bdsb41;bds200341","BDSB 41;BDS2003 41"
"bdsb42;bds200342","BDSB 42;BDS2003 42"
"bdsb43;bds200343;fsr0419","BDSB 43;BDS2003 43;FSR 0419"
"bdsb44;bds200344;mwsc3721","BDSB 44;BDS2003 44;MWSC 3721"
"bdsb45;bds200345","BDSB 45;BDS2003 45"
"bdsb46;bds200346;mwsc3751","BDSB 46;BDS2003 46;MWSC 3751"
"bdsb47;bds200347;mwsc3770","BDSB 47;BDS2003 47;MWSC 3770"
"bdsb48;bds200348","BDSB 48;BDS2003 48"
"bdsb50;bds200350","BDSB 50;BDS2003 50"
"bdsb51;bds200351","BDSB 51;BDS2003 51"
"bdsb52;bds200352","BDSB 52;BDS2003 52"
"bdsb53;bds200353","BDSB 53;BDS2003 53"
"bdsb54;bds200354","BDSB 54;BDS2003 54"
"bdsb55;bds200355","BDSB 55;BDS2003 55"
"bdsb56;bds200356","BDSB 56;BDS2003 56"
"bdsb57;bds200357","BDSB 57;BDS2003 57"
"bdsb6;bds20036","BDSB 6;BDS2003 6"
"bdsb60;bds200360","BDSB 60;BDS2003 60"
"bdsb62;bds200362","BDSB 62;BDS2003 62"
"bdsb63;bds200363","BDSB 63;BDS2003 63"
"bdsb64;bds200364","BDSB 64;BDS2003 64"
"bdsb65;bds200365","BDSB 65;BDS2003 65"
"bdsb66;bds200366","BDSB 66;BDS2003 66"
"bdsb67;bds200367","BDSB 67;BDS2003 67"
"bdsb68;bds200368;mwsc499","BDSB 68;BDS2003 68;MWSC 499"
"bdsb7;bds20037","BDSB 7;BDS2003 7"
"bdsb70;bds200370","BDSB 70;BDS2003 70"
"bdsb71;bds200371","BDSB 71;BDS2003 71"
"bdsb72;bds200372","BDSB 72;BDS2003 72"
"bdsb73;bds200373;fsr0788;mwsc639","BDSB 73;BDS2003 73;FSR 0788;MWSC 639"
"bdsb74","BDSB 74"
"bdsb75;bds200375","BDSB 75;BDS2003 75"
"bdsb76;bds200376","BDSB 76;BDS2003 76"
"bdsb77;bds200377;mwsc678","BDSB 77;BDS2003 77;MWSC 678"
"bdsb78;bds200378","BDSB 78;BDS2003 78"
"bdsb8;bds20038;fsr0055","BDSB 8;BDS2003 8;FSR 0055"
"bdsb80;bds200380","BDSB 80;BDS2003 80"
"bdsb81;bds200381;mwsc825","BDSB 81;BDS2003 81;MWSC 825"
"bdsb82;bds200382;mwsc819","BDSB 82;BDS2003 82;MWSC 819"
"bdsb87;bds200387","BDSB 87;BDS2003 87"
"bdsb88;bds200388;mwsc1016","BDSB 88;BDS2003 88;MWSC 1016"
"bdsb9;bds20039","BDSB 9;BDS2003 9"
"bdsb90;bds200390;mwsc1053","BDSB 90;BDS2003 90;MWSC 1053"
"bdsb91;bds200391;mwsc861","BDSB 91;BDS2003 91;MWSC 861"
"bdsb92;bds200392","BDSB 92;BDS2003 92"
"bdsb93;bds200393;fsr1155;mwsc1030","BDSB 93;BDS2003 93;FSR 1155;MWSC 1030"
"bdsb94;bds200394","BDSB 94;BDS2003 94"
