"ID","RAdeg","e_RAdeg","DEdeg","e_DEdeg","GLON","e_GLON","GLAT","e_GLAT","Num","NCore","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","m-M","A0","logA","RVel","e_Rvel","o_Rvel","Type"
"CWNU 3029",178.3145,0.016,-62.607,0.005,296.296,0.005,-0.4871,0.006,86,34,0.136,0.056,-6.418,0.128,1.171,0.056,14.4,5.15,7.8,-16.6,14.75,2,1
"CWNU 3030",315.7417,0.03,44.4992,0.018,86.1211,0.017,-1.435,0.018,140,65,0.096,0.054,-2.884,0.098,-3.047,0.089,14.05,2.8,8.2,-72.05,3.89,2,1
"CWNU 3031",304.5809,0.029,31.2186,0.016,70.253,0.015,-2.6005,0.022,110,41,0.075,0.061,-3.063,0.083,-4.532,0.114,14.2,4.1,9.0,-34.58,1.76,4,1
"CWNU 3032",117.8222,0.037,-16.5284,0.044,234.4987,0.039,5.197,0.028,104,31,0.191,0.071,-2.37,0.106,2.812,0.084,14.4,1.85,7.2,"nan","nan",0,1
"CWNU 3033",28.7441,0.089,62.4161,0.03,130.218,0.051,0.4485,0.034,197,62,0.16,0.051,-1.712,0.092,0.279,0.079,14.05,3.65,7.0,"nan","nan",0,1
"CWNU 3034",28.1755,0.095,65.3847,0.025,129.2538,0.044,3.2676,0.028,124,47,0.254,0.038,-0.091,0.066,0.375,0.063,12.7,2.35,8.9,-50.93,1.46,5,1
"CWNU 3035",164.3874,0.025,-59.7366,0.013,289.0303,0.016,0.0261,0.013,163,88,0.158,0.054,-6.225,0.107,2.941,0.122,13.25,2.85,9.1,"nan","nan",0,1
"CWNU 3036",110.8878,0.018,-28.6051,0.017,241.9368,0.021,-6.2672,0.03,41,20,0.194,0.05,-1.558,0.047,2.155,0.044,13.05,0.8,9.2,51.87,1.66,2,1
"CWNU 3037",135.2453,0.019,-51.6772,0.015,271.2887,0.017,-3.557,0.013,39,23,0.177,0.047,-3.22,0.11,3.619,0.084,13.05,2.7,8.4,26.87,1.45,1,1
"CWNU 3038",310.1526,0.162,45.1094,0.103,84.0817,0.158,1.9821,0.086,61,20,0.896,0.027,-0.67,0.036,-1.328,0.047,10.25,2.2,8.8,-56.29,16.49,2,1
"CWNU 3039",96.1296,0.016,16.3717,0.016,195.3406,0.015,1.6301,0.014,85,44,0.304,0.1,-0.464,0.099,-0.695,0.076,12.6,1.45,8.4,"nan","nan",0,1
"CWNU 3040",351.9129,0.052,60.9709,0.014,112.9493,0.022,-0.2636,0.016,67,22,0.117,0.025,-1.742,0.082,-0.891,0.125,16.65,4.15,6.2,"nan","nan",0,1
"CWNU 3041",121.6932,0.146,-17.3484,0.109,237.0926,0.157,7.9383,0.11,55,25,0.911,0.05,-3.239,0.057,1.571,0.06,10.2,0.15,8.8,30.03,7.27,2,1
"CWNU 3042",20.1387,0.191,63.3362,0.044,126.1948,0.073,0.6432,0.046,117,47,0.306,0.043,-3.238,0.068,0.457,0.075,12.1,3.3,8.9,-71.76,1.41,1,1
"CWNU 3043",112.198,0.029,-24.1594,0.022,238.5464,0.039,-3.1383,0.014,79,27,0.212,0.059,-0.996,0.043,2.588,0.095,13.4,2.5,8.8,111.75,1.51,2,1
"FSR 0333",326.7917,0.026,54.925,0.017,98.4829,0.024,1.0507,0.018,97,48,0.168,0.079,-1.641,0.101,-1.584,0.129,13.1,3.8,8.9,-47.49,3.31,1,1
"CWNU 3044",240.5537,0.042,-50.8768,0.027,330.752,0.033,1.3906,0.027,107,39,0.23,0.064,-3.472,0.126,-3.872,0.114,14.2,4.9,9.5,-44.47,1.88,1,1
"CWNU 3045",132.8753,0.025,-45.8515,0.019,265.8316,0.014,-0.9827,0.023,118,48,0.208,0.054,-3.808,0.149,4.043,0.084,13.95,4.8,7.4,"nan","nan",0,1
"CWNU 3046",155.9596,0.026,-54.6136,0.012,282.5679,0.015,2.3172,0.011,118,44,0.145,0.078,-4.764,0.096,3.223,0.084,14.0,1.55,9.2,25.77,2.42,1,1
"CWNU 3047",112.2182,0.03,-16.2925,0.044,231.6504,0.027,0.6308,0.043,73,16,0.3,0.029,-2.618,0.055,1.934,0.078,12.55,2.8,7.4,"nan","nan",0,1
"CWNU 3048",74.0994,0.058,50.2879,0.036,157.1066,0.034,4.428,0.038,169,82,0.229,0.114,0.44,0.168,-1.637,0.162,13.1,3.05,9.3,-50.77,1.0,2,1
"CWNU 3049",58.0792,0.087,57.8025,0.047,145.173,0.038,2.9741,0.062,128,49,0.157,0.051,-0.436,0.136,0.199,0.136,13.4,2.7,8.7,-75.77,11.77,3,1
