"Name","RA_ICRS","DE_ICRS","GLON","GLAT","pmRA","pmDE","Plx","d_pc","RV","logt","Av","diffAV50","CST","N","r50pc","CMDCl50"
"UFMG_34             ",233.84015196,-57.65604883,323.47872991,-1.477,-3.63311799,-5.73894374,0.41366029,2298.5539025,-13.37512063,8.45716906,3.86999452,1.30948651,16.41425208,159,2.3,0.97
"UFMG_37             ",230.15316211,-57.75468236,321.79366711,-0.4524,-5.48247323,-5.31513216,0.74353408,1279.39015557,3.34331235,8.31804657,3.23296356,2.28184354,11.28665565,67,2.24,0.501
"UFMG_38             ",241.48365588,-52.67183452,329.99871809,-0.3362,-1.72054385,-2.67631542,0.29993475,2930.86555462,-44.75583431,7.74243927,4.91732192,2.87928355,26.14755488,378,4.53,0.359
"UFMG_39             ",219.01990127,-57.87412569,316.50173758,2.214,-3.45106623,-1.58493461,0.65114616,1452.26307094,-29.55638202,8.46200418,1.52053273,0.39091802,6.94833647,68,2.22,0.998
"UFMG_41             ",235.11744864,-55.75373524,325.16903863,-0.3577,-1.04324385,-1.84494245,0.54787984,1717.82702815,-28.67023711,7.9471097,3.37305641,1.73160094,8.1434189,49,1.49,0.998
"UFMG_42             ",236.03777382,-55.24891474,325.88936088,-0.27,-6.03677058,-4.40775112,0.38127841,2458.41479348,-60.18482741,8.57464314,5.78855109,2.88909698,17.73653479,154,2.56,0.082
"UFMG_43             ",235.71320196,-55.42593073,325.63520359,-0.2986,-3.86171525,-3.93952983,0.40700789,2143.3221775,-32.44021406,8.19457579,4.10242414,2.25407648,13.54202026,109,2.71,0.53
"UFMG_44             ",235.55358457,-55.4825455,325.52887408,-0.289,-3.76661496,-5.38924827,0.5746823,1625.00966661,-0.10375994,7.93990397,3.87416077,2.34581101,12.47972558,70,3.65,0.089
"UFMG_46             ",274.55843999,-25.06475626,6.95798223,-4.404,-1.76994593,0.51088673,0.37419528,2416.12724611,46.30489281,8.95664215,1.40545636,0.95109925,6.16387969,31,2.42,0.155
"UFMG_47             ",253.03328149,-47.39069278,338.92580134,-2.059,0.02550072,-2.09590549,0.34883855,2589.57605803,-35.07011432,8.06232262,3.95321012,1.97804588,11.46273041,99,1.64,0.967
"UFMG_48             ",212.42944804,-59.31628519,312.78009912,2.05,-4.30871453,-1.82838244,0.35734917,2547.97912044,"nan",7.70313382,2.56685686,2.77421534,7.54076071,93,1.61,0.317
"UFMG_53             ",195.49697683,-64.03963768,304.08640846,-1.192,-8.79322892,-0.94073206,0.32067056,2770.15201758,-15.84426915,7.75390673,3.88751948,2.09154749,7.3896631,38,2.63,0.155
"UFMG_54             ",210.67924012,-61.95999017,311.2031554,-0.2383,-7.65834059,-2.1594589,0.26900449,3066.66039952,-36.74507352,8.65552855,5.76826048,2.58683252,8.70975739,33,1.51,0.167
"UFMG_55             ",197.03641871,-61.25022828,304.94034525,1.556,-4.51374108,-0.9629823,0.31248014,3009.61955401,-40.47936024,7.8799696,2.20755386,2.63153112,15.33343166,135,3.77,0.117
"UFMG_58             ",124.89665965,-38.27103651,256.22289741,-1.161,-2.96178153,3.35938191,0.1623975,5176.26417509,101.49781227,8.35285378,3.21443927,1.29023749,10.82882784,83,4.18,0.994
"UFMG_59             ",126.48673775,-38.33742035,256.99104704,-0.1755,-6.14524663,3.87021391,0.72918096,1303.49572419,22.24987059,7.99393654,0.88322261,1.01532984,11.01590526,56,2.19,0.994
"UFMG_61             ",185.46157476,-63.62797271,299.65268032,-0.9448,-4.23727006,-0.17005166,0.4559042,2014.19539954,-9.14207371,8.0848031,0.93662828,0.88365573,9.84153125,49,4.21,1.0
"UFMG_63             ",263.38269082,-25.01063574,1.89762638,4.366,1.1932861,-0.25701556,0.79691691,1185.0274474,4.23751045,8.10109854,3.828192,1.89106667,11.73481149,57,2.03,0.992
