"ID","n_ID","GLON","e_GLON","GLAT","e_GLAT","rmax","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","nTot","Age","e_Age","Z","Class","K13","CG18","B19","G","_RA.icrs","_DE.icrs"
"FoF_2238","n",289.458,0.095,3.387,0.048,0.285,0.811,0.024,-7.478,0.196,0.656,0.181,60,2.63,0.1578,-2.0,1,"nan","nan","nan",0,167.7018,-56.8289
"FoF_2239,Alessi_Teutsch_8","nan",297.039,0.163,1.372,0.134,0.499,0.972,0.051,-6.611,0.264,1.627,0.226,281,0.093,0.0056,0.25,1,1580.0,68.0,8230.0,0,180.6601,-60.9402
"FoF_2240,Collinder_258","nan",299.955,0.089,1.964,0.045,0.292,0.759,0.035,-7.017,0.194,-0.274,0.216,83,0.093,0.0056,0.25,1,1615.0,228.0,8345.0,1,186.7586,-60.7666
"FoF_2241,NGC_5822","nan",321.55,0.198,3.62,0.158,0.625,1.184,0.045,-7.417,0.269,-5.524,0.281,416,0.933,0.056,0.5,1,1826.0,846.0,9090.0,1,226.03,-54.3842
"FoF_2242,NGC_6268","nan",346.056,0.074,1.331,0.053,0.217,0.683,0.022,0.943,0.28,-0.765,0.197,61,0.417,0.025,-1.25,1,2028.0,872.0,10145.0,0,255.5153,-39.7034
"FoF_2243,Trumpler_28","nan",355.997,0.049,-0.282,0.044,0.15,0.704,0.037,-0.826,0.349,-2.796,0.305,75,0.295,0.0177,0.25,1,2125.0,1206.0,10784.0,0,264.2194,-32.4822
"FoF_2246,Berkeley_82","nan",46.836,0.099,1.616,0.047,0.328,0.709,0.033,-0.033,0.274,-3.158,0.213,87,0.234,0.014,-1.25,1,2443.0,193.0,1663.0,0,287.8324,13.0991
"FoF_2248,ASCC_114","nan",97.087,0.163,1.029,0.102,0.555,1.069,0.036,-3.718,0.238,-3.429,0.229,140,0.032,0.0019,-0.25,1,2810.0,9.0,3035.0,0,324.995,54.0011
"FoF_2250,NGC_886","nan",132.889,0.245,2.689,0.134,0.706,0.955,0.04,3.135,0.248,-3.965,0.262,170,0.295,0.0177,0.25,1,154.0,1273.0,3950.0,1,35.8613,63.7678
"FoF_2251,FSR_0551","nan",128.025,0.109,2.456,0.103,0.343,1.032,0.062,0.105,0.282,-1.406,0.243,95,0.019,0.0011,-0.25,1,108.0,361.0,"nan",1,24.9054,64.8502
"FoF_2253","n",83.61,0.073,3.982,0.069,0.207,0.688,0.034,-1.159,0.301,-1.037,0.379,64,0.026,0.0016,-0.75,1,"nan","nan","nan",0,307.5099,45.9304
"FoF_2255,FSR_0398","nan",108.879,0.136,5.047,0.069,0.384,1.025,0.068,-3.199,0.284,-1.152,0.244,100,0.016,0.001,-1.0,1,2897.0,348.0,3329.0,1,339.1338,64.1738
"FoF_2256,NGC_7160","nan",103.979,0.156,6.411,0.124,0.598,1.054,0.049,-3.451,0.257,-1.347,0.247,87,0.009,0.0005,-1.0,1,2835.0,947.0,"nan",1,328.4246,62.547
"FoF_2257,Ruprecht_135","nan",16.402,0.138,6.249,0.087,0.479,0.906,0.037,1.386,0.236,-1.375,0.228,81,1.15,0.069,-0.5,1,2205.0,1032.0,804.0,0,269.5273,-11.6585
"FoF_2258,Collinder_463","nan",127.39,0.318,9.337,0.225,0.939,1.137,0.039,-1.727,0.205,-0.279,0.228,336,0.093,0.0056,0.25,1,116.0,242.0,3836.0,1,27.0114,71.7171
"FoF_2259,NGC_1708","nan",155.759,0.188,6.834,0.119,0.665,1.029,0.054,0.278,0.234,-1.429,0.271,119,0.331,0.0199,0.25,1,331.0,681.0,4489.0,0,75.8351,52.8267
"FoF_2260,NGC_3680","nan",286.733,0.095,16.934,0.081,0.324,0.929,0.033,-7.255,0.287,1.153,0.276,74,0.269,0.0161,-0.75,1,1538.0,812.0,7817.0,0,171.3772,-43.2186
"FoF_2261,NGC_1647","nan",180.342,0.309,-16.791,0.267,1.195,1.698,0.074,-1.036,0.329,-1.503,0.304,466,0.098,0.0059,0.5,1,299.0,678.0,4976.0,0,71.4664,19.0992
"FoF_2264,NGC_1039","nan",143.675,0.36,-15.652,0.269,1.317,1.957,0.102,0.736,0.372,-5.678,0.346,478,0.063,0.0038,0.5,1,179.0,658.0,4227.0,0,40.5184,42.7197
