"Cluster","RA_ICRS","DE_ICRS","MA22","e_MA22","NA22","MA23f","e_MA23f","NA23f","MA23g","e_MA23g","NA23g","MZ23","e_MZ23","NZ23","MK24","e_MK24","NK24","MF24","e_MF24","NF24"
"Skiff_J0507+30.8",76.7833,30.8496,-0.26,0.11,108.0,-0.47,0.09,94,-0.41,0.08,31.0,-0.53,0.1,35.0,-0.37,0.04,58.0,-0.36,0.14,106.0
"Skiff_J1942+38.6",295.6083,38.6476,-0.08,0.13,52.0,-0.11,0.09,66,0.0,0.04,11.0,0.0,0.05,32.0,-0.11,0.06,44.0,-0.06,0.06,59.0
"Teutsch_2",85.3384,39.2407,-0.26,0.1,65.0,-0.46,0.14,87,-0.24,0.06,9.0,-0.55,0.08,15.0,-0.31,0.04,25.0,-0.37,0.13,72.0
"Teutsch_4",69.5699,43.2877,-0.13,0.09,31.0,-0.33,0.12,42,-0.23,0.07,7.0,-0.2,0.11,7.0,-0.27,0.02,8.0,-0.22,0.1,45.0
"Teutsch_5",73.9433,36.773,0.03,0.13,88.0,-0.29,0.08,70,-0.31,0.07,8.0,-0.31,0.2,18.0,-0.27,0.05,70.0,-0.25,0.15,74.0
"Teutsch_10",86.0835,28.8265,-0.31,0.12,31.0,-0.37,0.13,58,-0.26,0.03,3.0,"nan","nan","nan",-0.24,0.05,12.0,-0.48,0.13,71.0
"Teutsch_12",96.4252,13.5996,-0.23,0.07,44.0,-0.45,0.1,28,-0.28,0.0,3.0,-0.5,0.07,3.0,-0.28,0.05,7.0,-0.35,0.14,26.0
"Teutsch_20",97.1917,14.9217,-0.12,0.11,62.0,-0.36,0.12,66,-0.13,0.11,6.0,-0.31,0.15,29.0,-0.26,0.05,32.0,-0.23,0.14,57.0
"Teutsch_44",155.3691,-54.4505,-0.22,0.14,34.0,-0.25,0.13,33,-0.2,0.06,13.0,-0.39,0.13,13.0,-0.27,0.08,48.0,-0.17,0.08,31.0
"Teutsch_58",91.6422,15.9325,-0.51,0.15,14.0,-0.38,0.1,17,"nan","nan","nan",-0.5,0.06,9.0,-0.4,0.06,16.0,-0.12,0.08,18.0
"Teutsch_60",102.8483,-1.8078,-0.19,0.11,157.0,-0.39,0.12,118,-0.29,0.03,15.0,-0.44,0.1,55.0,-0.31,0.07,76.0,-0.31,0.11,133.0
"OC_0431",117.9552,-30.6257,-0.2,0.11,46.0,-0.37,0.08,38,-0.29,0.04,8.0,-0.4,0.1,24.0,-0.36,0.08,43.0,-0.28,0.11,37.0
"Gulliver_27",146.0891,-54.1076,-0.11,0.13,17.0,-0.36,0.15,61,-0.1,0.02,4.0,-0.19,0.05,6.0,-0.2,0.04,29.0,-0.3,0.13,56.0
"Teutsch_74",326.4256,58.0996,-0.3,0.11,58.0,-0.27,0.12,31,-0.19,0.04,10.0,-0.35,0.08,15.0,-0.19,0.05,57.0,-0.23,0.16,47.0
