"Name","RAJ2000","DEJ2000","Diam","E(B-V)","e_E(B-V)","Eratio","Dm","e_Dm","Dist","e_Dist","Age","e_Age"
"SAI 66,FSR 1063",98.6579,-0.2669,5.0,0.58,0.01,0.54,11.47,0.14,1970.0,130.0,8.6,"nan"
"SAI 67,Teutsch59",100.9542,-0.8833,6.0,0.57,0.14,0.69,12.34,0.04,2940.0,50.0,8.9,"nan"
"SAI 68,Patchick 90",101.1779,-0.5394,3.0,0.41,0.09,0.43,14.0,0.2,6310.0,610.0,8.95,0.05
"SAI 69",101.3658,-11.7944,3.0,0.35,0.07,0.44,14.27,0.1,7140.0,340.0,9.1,0.05
"SAI 70,FSR 1125",102.6108,-5.4356,4.0,0.39,0.01,0.52,13.99,0.09,6280.0,270.0,9.1,"nan"
"SAI 71,FSR 1085",103.2967,-0.1919,4.0,0.08,0.09,0.25,10.62,0.19,1330.0,120.0,8.6,"nan"
"SAI 72",103.9517,0.2269,5.0,0.82,0.06,0.56,12.49,0.05,3150.0,70.0,8.5,0.2
"SAI 73,FSR 1171",105.0546,-10.3206,2.0,0.65,0.07,0.6,13.07,0.29,4110.0,590.0,9.5,0.05
"SAI 74,FSR 1150",106.1525,-6.6106,3.0,0.94,0.06,0.67,13.6,0.26,5250.0,670.0,8.3,"nan"
"SAI 75,Patchick 79",108.8438,-7.4222,4.0,0.23,0.03,0.75,12.24,0.24,2800.0,330.0,8.6,"nan"
"SAI 76,FSR 1253",111.5725,-18.4319,6.0,0.62,0.01,0.53,12.11,0.24,2640.0,310.0,8.4,0.05
"SAI 77,FSR 1275",112.0258,-21.7961,4.0,0.6,0.1,0.65,12.87,0.12,3750.0,210.0,9.4,0.05
"SAI 78,Teutsch 61",113.6658,-19.7897,3.0,0.55,0.02,0.51,11.42,0.1,1920.0,90.0,6.95,0.05
"ESO 368-11,FSR 1353",116.0925,-34.6186,6.0,0.06,0.1,0.19,10.86,0.41,1490.0,310.0,9.0,0.05
"SAI 79,FSR 1347",117.0142,-33.7097,6.0,1.09,0.15,0.62,11.95,0.07,2450.0,80.0,8.8,"nan"
"SAI 80,Teutsch 25",117.1112,-27.9142,5.0,0.57,0.12,0.67,11.48,0.16,1980.0,150.0,9.0,"nan"
"SAI 81",118.03,-28.1225,7.0,0.4,0.02,0.76,12.21,0.19,2770.0,250.0,9.2,"nan"
"SAI 82",118.06,-33.0408,3.0,0.39,0.07,0.46,10.3,0.05,1150.0,30.0,8.65,0.05
"SAI 83",118.3337,-32.5583,3.0,1.0,0.15,0.63,12.96,0.34,3900.0,660.0,8.85,0.05
"SAI 84,Kronberger 85",119.59,-34.7692,2.0,1.17,0.19,0.64,14.65,0.11,8500.0,440.0,8.8,0.05
"SAI 85,FSR 1378",120.2979,-40.6781,6.0,1.21,0.25,0.67,11.74,0.13,2230.0,140.0,8.8,0.05
"ESO 311-21",120.4233,-41.5992,5.0,0.49,0.02,0.53,11.84,0.08,2330.0,90.0,10.1,0.05
"Ruprecht 48",120.6771,-32.0506,3.0,0.29,0.04,0.45,12.41,0.05,3030.0,70.0,8.6,"nan"
"SAI 86",122.0625,-36.6092,6.0,0.69,0.09,0.61,12.41,0.16,3030.0,230.0,8.6,0.05
"SAI 87,FSR 1380",122.7708,-39.9975,4.0,1.28,0.3,0.69,11.8,0.19,2290.0,210.0,8.65,"nan"
"Ruprecht 54",122.8404,-31.9436,2.0,0.35,0.04,0.58,12.71,0.27,3480.0,460.0,8.45,0.05
"SAI 88",123.24,-41.8836,2.0,0.92,0.02,0.54,14.58,0.25,8240.0,1000.0,9.0,0.05
"Ruprecht 60",126.0958,-47.2103,4.0,0.57,0.06,0.58,12.84,0.11,3700.0,190.0,8.65,"nan"
"SAI 89,FSR 1387",126.1054,-39.9364,3.0,1.19,0.11,0.58,11.82,0.18,2310.0,200.0,8.8,"nan"
"ESO 312-03,FSR 1394",126.1088,-41.2978,6.0,0.52,0.1,0.42,11.68,0.57,2170.0,650.0,8.9,"nan"
"ESO 312-04",126.7133,-41.2442,2.0,0.49,0.01,0.53,11.91,0.11,2410.0,130.0,8.75,"nan"
"SAI 90",126.9954,-41.7694,7.0,1.02,0.21,0.67,12.19,0.11,2740.0,140.0,9.05,0.05
"Ruprecht 63",128.1725,-48.3058,6.0,0.54,0.04,0.57,12.13,0.08,2670.0,100.0,8.5,"nan"
"SAI 91",129.2642,-50.0644,4.0,0.51,0.02,0.5,12.45,0.16,3090.0,240.0,8.8,0.05
"SAI 92,FSR 1436",129.8938,-46.2983,5.0,0.39,0.1,0.67,10.99,0.17,1580.0,130.0,8.0,0.05
"SAI 93,FSR 1415",130.0913,-44.7336,3.0,1.87,0.35,0.65,12.74,0.06,3530.0,100.0,9.25,0.05
"Ruprecht 68",131.1438,-35.9,10.0,0.39,0.05,0.6,11.49,0.08,1990.0,80.0,9.15,0.05
"SAI 94",131.1658,-46.2961,5.0,0.48,0.05,0.58,12.96,0.29,3910.0,560.0,9.1,0.1
"SAI 95,FSR 1454",132.7525,-48.4603,5.0,0.57,0.03,0.56,13.96,0.05,6200.0,140.0,9.15,0.05
"ESO 211-03,FSR 1463",132.8929,-50.2453,5.0,0.9,0.07,0.58,12.88,0.04,3770.0,70.0,9.05,0.1
"SAI 96,FSR 1430",132.9558,-44.2631,4.0,2.5,0.33,0.62,12.27,0.33,2840.0,470.0,8.85,0.05
"SAI 97,FSR 1432",133.2221,-44.2017,4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"SAI 98,FSR 1435",134.2625,-43.7611,6.0,1.06,0.06,0.57,10.27,0.3,1130.0,170.0,9.75,0.1
"SAI 99",134.5183,-43.4106,5.0,1.84,0.49,0.72,12.6,0.04,3310.0,60.0,8.95,0.05
"SAI 100,FSR 1450",134.5508,-46.2886,3.0,1.62,0.08,0.56,13.65,0.08,5370.0,200.0,9.1,0.15
"SAI 101",134.5933,-43.1264,5.0,1.56,0.04,0.52,11.09,0.05,1650.0,40.0,9.0,"nan"
"SAI 102,FSR 1402",136.43,-37.8681,4.0,0.08,0.04,0.33,12.03,0.29,2550.0,360.0,9.6,0.05
"SAI 103,FSR 1460",136.9104,-47.8336,7.0,1.31,0.2,0.49,11.3,0.7,1800.0,700.0,9.3,0.7
"SAI 104",137.4783,-48.8508,3.0,1.17,0.11,0.59,9.59,0.14,830.0,55.0,8.9,"nan"
"SAI 105",137.6021,-49.9128,4.0,1.91,0.31,0.64,12.35,0.13,2950.0,180.0,9.05,0.05
"SAI 106",139.4975,-51.0294,5.0,1.02,0.02,0.53,13.56,0.1,5152.0,240.0,9.35,0.05
"SAI 107,Teutsch 103",142.1492,-46.6,3.0,0.62,0.06,0.5,12.23,0.38,2790.0,530.0,8.75,"nan"
"SAI 108",144.7204,-52.9578,6.0,0.66,0.02,0.55,12.32,0.08,2910.0,110.0,8.5,0.05
"SAI 109",145.8933,-50.7925,5.0,0.23,0.04,0.46,14.43,0.5,7690.0,2000.0,9.2,0.2
"SAI 110,FSR 1509",147.0033,-55.0669,2.0,1.17,0.13,0.61,11.59,0.05,2080.0,50.0,8.75,0.05
"SAI 111,FSR 1521",148.8442,-56.6042,8.0,0.9,0.17,0.66,13.0,0.3,3980.0,590.0,9.45,0.1
"SAI 112",155.3537,-59.0928,2.0,1.0,0.02,0.52,14.3,0.15,7240.0,520.0,9.1,0.1
"SAI 113",155.6817,-59.5056,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"SAI 114,FSR 1555",162.2321,-59.0494,3.0,0.76,0.05,0.49,13.4,0.3,4790.0,710.0,9.25,0.1
"Trumpler 19",168.5842,-57.5511,14.0,0.08,0.01,0.57,11.4,0.05,1900.0,50.0,9.65,0.05
"SAI 115,FSR 1586",170.6871,-62.3183,5.0,1.6,0.29,0.67,11.92,0.2,2420.0,230.0,8.65,0.1
"SAI 116",177.325,-62.2297,5.0,0.98,0.08,0.57,11.72,0.17,2200.0,180.0,8.6,0.05
"BH 131",186.5571,-63.4139,5.0,0.62,0.04,0.57,13.98,0.22,6250.0,670.0,9.1,0.1
"SAI 117,FSR 1663",205.2688,-60.2075,4.0,1.01,0.16,0.63,11.66,0.25,2150.0,260.0,8.9,0.05
"SAI 118",205.7658,-63.1647,8.0,0.17,0.21,0.55,10.28,0.62,1140.0,370.0,9.75,0.25
"SAI 119,FSR 1662",206.0592,-62.0675,2.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan"
"SAI 120",209.675,-61.6689,2.0,1.99,0.3,0.63,12.03,0.21,2550.0,260.0,8.75,0.1
"SAI 121,FSR 1686",220.0283,-60.3869,5.0,1.48,0.23,0.64,13.02,0.16,4020.0,300.0,8.95,0.05
