"Name","RA","DEC","GLON","GLAT","HDis","E(B-V)","Age","[Fe/H]","RVel","pmRA","pmDE"
"NGC 1817",78.02694,16.69774,186.13,-13.12,1972.0,0.334,0.4,"-0.26","nan","nan","nan"
"NGC 188",11.24163,85.34996,122.79,22.48,2047.0,0.082,4.28,"-0.02;-0.12",-44.0,-1.48,-0.56
"NGC 1893",80.67421,33.38825,173.6,-1.7,3280.0,"nan",0.01,"nan",-4.7,-1.3,0.21
"NGC 1907",82.00132,35.33759,172.6,0.3,1556.0,"nan",0.36,"nan",0.1,-1.88,-1.63
"NGC 1912",82.20614,35.80901,172.3,0.7,1066.0,"nan",0.29,"nan",-1.0,0.32,-5.07
"NGC 1960",83.97926,34.13027,174.5,1.0,1318.0,"nan",0.02,"nan",-4.0,1.1,-4.08
"NGC 2099",88.0995,32.5254,177.67,3.095,1383.0,0.302,0.34,"0.09",7.7,3.36,-6.17
"NGC 2129",90.23668,23.30139,186.6,0.1,1515.0,"nan",0.02,"nan",-6.3,2.22,-1.66
"NGC 2141",90.75647,10.40964,198.09,-5.805,4033.0,0.25,1.7,"-0.26;-0.39",43.0,1.38,-1.78
"NGC 2158",91.85663,24.09113,186.64,1.78,3600.0,0.55,2.0,"-0.23","nan","nan","nan"
"NGC 2168",92.23075,24.3316,186.595,2.195,816.0,0.262,0.09,"-0.16;-0.19",17.7,0.2,-1.63
"NGC 2169",92.12744,13.98834,195.6,-2.9,1052.0,"nan",0.01,"nan",17.0,-4.21,-2.45
"NGC 2175",92.41682,20.30907,190.2,0.4,1627.0,"nan",0.0,"nan",22.0,1.8,-2.26
"NGC 2204",93.89241,-18.65916,226.01,-16.1,2629.0,0.085,0.78,"-0.33","nan","nan","nan"
"NGC 2232",96.65666,-4.80078,214.4,-7.7,359.0,"nan",0.05,"nan",20.0,-4.36,-3.23
"NGC 2243",97.44869,-31.28655,239.5,-17.97,4458.0,0.051,1.07,"-0.44","nan","nan","nan"
"NGC 2244",98.08679,4.89137,206.4,-2.0,1445.0,"nan",0.0,"nan",36.6,-0.65,0.67
"NGC 2251",98.65464,8.36143,203.58,0.1,1329.0,0.186,0.26,"-0.08","nan","nan","nan"
"NGC 2259",99.58196,10.88254,201.76,2.07,3311.0,0.59,0.32,"0.07","nan","nan","nan"
"NGC 2264",100.22896,9.92873,202.9,2.2,667.0,"nan",0.0,"nan",25.5,-0.52,-4.47
"NGC 2281",102.22771,41.075,174.95,16.99,558.0,0.063,0.35,"0.13;0.13",11.0,-2.78,-7.59
"NGC 2287",101.64059,-20.73511,231.055,-10.32,693.0,0.027,0.24,"0.04;0.01",25.8,-4.34,-0.09
"NGC 2301",102.96156,0.44772,212.58,0.295,872.0,0.028,0.16,"0.06;0.05",21.2,-2.31,-3.31
"NGC 2304",103.78652,17.99153,197.2,8.89,3991.0,0.1,0.79,"-0.32","nan","nan","nan"
"NGC 2323",105.80571,-8.348,221.7,-1.2,929.0,"nan",0.12,"nan",9.5,-0.32,-1.24
"NGC 2324",106.05556,0.99923,213.5,3.3,3805.0,"nan",0.42,"nan",41.8,-1.7,-2.77
"NGC 2335",106.71568,-10.04458,223.62,-1.18,1417.0,0.393,0.16,"-0.03","nan","nan","nan"
"NGC 2343",107.05189,-10.66143,224.32,-1.17,1056.0,0.118,0.01,"-0.3","nan","nan","nan"
"NGC 2353",108.64617,-10.27226,224.7,0.4,1119.0,"nan",0.09,"nan",38.0,-3.76,1.67
"NGC 2354",108.54931,-25.7217,238.4,-6.8,4085.0,"nan",0.13,"nan",-4.0,-3.52,1.39
"NGC 2355",109.20478,13.82818,203.3,11.8,2200.0,0.12,0.7,"-0.07;-0.07",35.1,0.5,-2.4
"NGC 2360",109.436,-15.63025,229.8,-1.415,1887.0,0.111,0.56,"-0.15;-0.14",27.2,3.51,8.07
"NGC 2362",109.72873,-24.95145,238.2,-5.5,1389.0,"nan",0.0,"nan",42.2,-2.29,3.03
"NGC 2374",110.95833,-13.2598,228.4,1.0,1468.0,"nan",0.29,"nan",27.2,-4.65,-1.1
"NGC 2414",113.34369,-15.41697,231.4,2.0,3455.0,"nan",0.0,"nan",64.5,-1.61,2.03
"NGC 2420",114.59293,21.5693,198.11,19.63,3085.0,0.029,1.11,"-0.26","nan","nan","nan"
"NGC 2423",114.26306,-13.88549,230.49,3.52,766.0,0.097,0.73,"0.14;0.2",18.1,2.59,-4.79
