"Name","OCFlag","GLON","GLAT","RA_ICRS","DE_ICRS","pmRA","e_pmRA","pmDE","e_pmDE","plx","e_plx","RV","e_RV","f_RV","NRV","N","m-M","logt","E(B-V)","rh","rc","e_rc","rt","e_rt","ro","e_ro","re","e_re","RefName","r_RefName"
"OCSN 284",3,162.27,-19.55,56.33,29.74,2.62,0.37,-5.28,0.19,2.48,0.12,17.47,4.23,1,11,61,8.77,6.7,0.28,0.26,0.4,0.02,1.62,0.16,"nan","nan","nan","nan","UBC_19, Heleus","CG20, P21"
"OCSN 285",3,163.41,-15.33,60.56,32.16,3.55,0.23,-5.18,0.25,2.64,0.08,18.41,6.56,1,29,103,8.74,6.95,0.32,0.74,0.77,0.03,1.51,0.07,1.12,0.02,2.99,0.23,"UBC_31, CWNU_442, Electryon","CG20, He22a, P21"
"OCSN 286,UBC_159",3,96.44,-16.15,339.04,39.66,-2.0,0.32,-4.75,0.62,2.03,0.1,-14.76,6.43,1,74,338,9.12,7.3,0.23,0.63,0.69,0.04,1.76,0.22,0.73,0.07,2.31,0.82,"UBC_159","CG20"
"OCSN 287,UBC_480",3,264.95,-10.7,120.12,-50.71,-5.03,0.52,5.77,0.3,2.07,0.12,11.62,5.45,1,108,309,8.95,7.3,0.2,1.22,1.18,0.18,2.86,0.96,1.57,0.02,5.82,0.39,"UBC_480","CG20"
"OCSN 288",3,18.7,-3.39,279.35,-14.21,-1.79,0.35,-9.34,0.63,3.54,0.17,-21.7,3.35,1,98,230,7.97,8.6,0.3,1.28,1.49,0.04,5.8,0.35,"nan","nan","nan","nan","UPK_19, UBC_32","Sim19, CG20"
"OCSN 289,UPK_20",3,19.28,-5.03,281.13,-14.43,3.42,0.37,1.07,0.38,2.1,0.11,-7.27,7.91,1,38,88,10.45,8.15,0.75,0.53,0.72,0.01,2.01,0.04,1.45,0.01,2.68,0.08,"UPK_20","Sim19"
"OCSN 290,UPK_24",3,23.43,-4.76,282.79,-10.62,-3.76,0.14,-9.91,0.19,1.97,0.04,-0.63,6.54,1,25,55,9.48,9.05,0.36,1.33,1.63,0.29,4.87,2.17,1.96,0.14,5.99,1.67,"UPK_24","Sim19"
"OCSN 291,UPK_39",3,31.42,5.22,277.53,1.04,3.24,0.54,-8.68,0.5,2.26,0.12,-8.0,13.07,1,36,152,9.99,6.85,0.67,0.42,0.92,0.03,1.13,0.02,1.17,0.02,2.68,0.16,"UPK_39","Sim19"
"OCSN 292,UPK_41",3,31.86,3.2,279.52,0.5,2.75,0.34,-8.17,0.5,2.08,0.1,-5.7,9.27,1,53,212,11.17,8.8,1.01,0.8,1.72,0.12,2.14,0.07,"nan","nan","nan","nan","UPK_41","Sim19"
"OCSN 293,UPK_70",3,56.22,6.19,288.07,23.52,0.12,0.19,-5.53,0.17,2.03,0.09,-12.37,7.19,1,30,112,9.33,7.1,0.31,0.97,"nan","nan","nan","nan","nan","nan","nan","nan","UPK_70","Sim19"
"OCSN 294,UPK_72",3,57.98,9.95,285.19,26.74,-0.6,0.35,-4.6,0.45,2.19,0.16,-16.69,7.06,1,41,79,9.17,8.5,0.36,1.01,2.14,0.38,2.51,0.17,1.96,0.02,3.22,0.17,"UPK_72","Sim19"
