"Cluster","RA_ICRS","DE_ICRS","GLON","GLAT","r50","nbstars07","pmRA*","pmDE","plx","Flag","AgeNN","AVNN","DMNN","DistPc"
"Gulliver_19      ",344.19,61.106,109.525,1.255,0.157,132,0.893,-2.258,0.634,"NN            ",7.99,3.01,11.19,1732
"Gulliver_2       ",122.883,-37.404,254.617,-2,0.073,59,-4.951,4.576,0.696,"NN            ",6.82,0.51,10.69,1375
"Gulliver_20      ",273.736,11.082,38.831,13.069,0.704,46,1.039,-6.525,2.347,"NN            ",8.25,0.25,8.17,429
"Gulliver_21      ",106.961,-25.462,237.519,-7.965,0.364,121,-1.929,4.205,1.504,"NN            ",8.44,0.13,9.13,670
"Gulliver_22      ",84.848,26.368,181.458,-2.524,0.119,22,-1.523,-4.605,1.257,"notEnoughStars","     ","     ","     ","      "
"Gulliver_23      ",304.255,38.055,75.761,1.456,0.046,114,-2.446,-4.444,0.246,"NN            ",8.72,2.18,12.67,3424
"Gulliver_24      ",1.161,62.835,117.62,0.447,0.101,75,-3.241,-1.57,0.636,"NN            ",8.25,1.05,10.88,1498
"Gulliver_25      ",52.011,45.152,149.761,-9.407,0.331,39,0.96,-4.089,0.711,"NN            ",8.56,0.82,10.66,1356
"Gulliver_26      ",80.689,35.27,172.055,-0.625,0.076,43,2.018,-2.874,0.36,"NN            ",8.58,1.62,12.13,2671
"Gulliver_27      ",146.088,-54.117,277.648,-0.697,0.049,51,-4.658,3.467,0.322,"NN            ",8.78,1.09,12.17,2716
"Gulliver_28      ",293.559,18.059,53.813,-0.902,0.555,57,-4.485,-3.4,1.581,"NN            ",8.53,0.97,9.01,634
"Gulliver_29      ",256.745,-35.205,350.23,3.28,0.679,342,1.325,-2.206,0.905,"NN            ",7.03,1.02,10.36,1180
"Gulliver_3       ",122.536,-37.244,254.333,-2.144,0.035,34,-2.962,4.106,0.191,"NN            ",8.18,1.45,13.23,4435
"Gulliver_30      ",313.673,45.996,86.299,0.646,0.083,51,-2.524,-3.697,0.427,"NN            ",8.18,1.37,11.78,2272
"Gulliver_31      ",301.912,38.232,74.896,3.094,0.077,46,-1.5,-3.113,0.396,"NN            ",8.16,1.1,11.98,2493
"Gulliver_32      ",98.383,7.478,204.24,-0.546,0.1,31,-0.879,2.304,0.577,"NN            ",9.11,0.73,11.14,1693
"Gulliver_33      ",318.159,46.345,88.629,-1.439,0.31,78,0.274,-3.959,0.867,"NN            ",7.68,0.69,10.23,1113
"Gulliver_34      ",167.722,-59.158,290.35,1.235,0.045,14,-6.179,2.409,0.223,"notEnoughStars","     ","     ","     ","      "
"Gulliver_35      ",150.379,-58.198,282.065,-2.386,0.09,19,-6.973,3.967,0.405,"NN            ",8.19,1.05,11.87,2365
"Gulliver_36      ",123.185,-35.111,252.834,-0.537,0.14,96,-0.236,0.609,0.725,"NN            ",8.87,0.47,10.59,1311
"Gulliver_37      ",292.077,25.347,59.547,3.806,0.105,46,-0.775,-3.74,0.642,"NN            ",8.55,1.33,10.79,1438
"Gulliver_38      ",300.808,34.435,71.209,1.814,0.06,94,-0.921,-2.594,0.4,"NN            ",8.91,1.64,11.94,2447
"Gulliver_39      ",163.697,-58.05,287.984,1.395,0.045,36,-4.407,1.274,0.335,"NN            ",8.79,1.38,12.02,2536
"Gulliver_4       ",122.164,-37.5,254.386,-2.531,0.079,54,-2.912,3.033,0.3,"NN            ",9.06,0.94,12.19,2747
"Gulliver_40      ",163.095,-58.394,287.85,0.948,0.082,29,-7.686,2.476,0.589,"NN            ",7.62,0.64,11.09,1652
"Gulliver_41      ",277.718,-12.429,19.546,-1.16,0.032,44,-1.79,-4.709,0.171,"tooRed        ","     ","     ","     ","      "
"Gulliver_42      ",303.935,37.851,75.45,1.552,0.054,42,-2.778,-5.452,0.181,"tooRed        ","     ","     ","     ","      "
"Gulliver_43      ",296.283,24.558,60.718,0.091,0.075,49,-2.922,-5.796,0.351,"NN            ",7.76,2.88,12.38,2994
"Gulliver_44      ",127.249,-38.095,257.143,0.452,0.189,143,-0.666,2.301,0.785,"NN            ",8.65,0.78,10.44,1227
"Gulliver_45      ",104.617,3.104,210.968,2.978,0.054,41,-0.76,2.51,0.284,"NN            ",9.49,1.08,12.61,3332
"Gulliver_46      ",186.234,-61.973,299.824,0.739,0.024,64,-6.946,0.125,0.181,"NN            ",7.07,2.67,13.31,4587
"Gulliver_47      ",107.932,0.827,214.512,4.891,0.161,73,-1.957,-0.432,0.491,"NN            ",8.54,0.31,11.43,1930
"Gulliver_48      ",316.334,50.733,91.033,2.426,0.28,98,-4.781,-6.671,1.058,"NN            ",7.26,2.87,10.09,1042
"Gulliver_49      ",350.704,61.988,112.729,0.885,0.156,153,-4.022,-3.05,0.587,"NN            ",8.58,2.18,11.04,1613
"Gulliver_5       ",132.626,-45.509,265.458,-0.896,0.107,15,-5.102,4.904,0.406,"NN            ",7.58,1.5,11.65,2135
"Gulliver_50      ",181.362,-62.678,297.682,-0.275,0.106,62,-7.204,1.663,0.514,"NN            ",7.61,0.94,11.19,1731
"Gulliver_51      ",30.335,63.801,130.555,1.968,0.075,39,-4.892,-0.149,0.647,"NN            ",8.56,1.42,10.93,1536
"Gulliver_52      ",161.669,-59.508,287.696,-0.378,0.153,47,-4.755,1.47,0.396,"NN            ",8.68,1.04,11.97,2482
"Gulliver_53      ",80.975,34.012,173.226,-1.141,0.123,23,0.401,-2.837,0.384,"NN            ",8.11,0.96,11.93,2434
"Gulliver_54      ",81.297,33.688,173.645,-1.103,0.102,30,-0.595,-7.299,0.791,"NN            ",8.45,0.4,10.38,1190
"Gulliver_55      ",297.833,18.661,56.348,-4.127,0.085,23,-2.043,-2.53,0.369,"manual        ",9.3,0.92,11.87,2369
"Gulliver_56      ",95.38,26.909,185.664,5.915,0.071,18,0.534,-3.24,0.458,"NN            ",8.61,0.44,11.58,2074
"Gulliver_57      ",141.203,-48.075,271.313,1.699,0.11,94,-6.737,4.085,0.701,"NN            ",8.64,2.21,10.74,1403
"Gulliver_58      ",191.515,-61.965,302.3,0.9,0.074,196,-3.592,-0.353,0.398,"NN            ",8.82,2.76,11.97,2478
"Gulliver_59      ",195.721,-64.6,304.16,-1.756,0.172,67,-2.408,-1.053,0.434,"NN            ",8.22,1.14,11.71,2199
"Gulliver_6       ",83.278,-1.652,205.246,-18.138,0.517,318,-0.007,-0.207,2.367,"NN            ",7.22,0.25,8.03,403
"Gulliver_60      ",303.436,29.672,68.413,-2.639,0.109,117,1.752,0.219,0.899,"NN            ",7.97,1.01,10.13,1063
"Gulliver_7       ",141.746,-55.127,276.463,-3.132,0.034,56,-3.547,3.108,0.084,"NN            ",8.68,1.5,13.71,5523
"Gulliver_8       ",80.56,33.792,173.213,-1.549,0.102,29,-0.156,-2.982,0.872,"NN            ",7.33,0.52,10.28,1137
"Gulliver_9       ",126.998,-47.929,265.037,-5.429,0.969,252,-5.992,6.915,1.985,"manual        ",7.25,0.42,8.74,559
"Haffner_10       ",112.156,-15.364,230.804,1.021,0.029,163,-1.144,1.557,0.259,"NN            ",9.58,1.35,12.66,3409
