"Cl","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","r50","N85","dmode","Rgc","logAge","e_logAge","Dist","e_Dist","Avmag","e_Avmag"
"NGC 366         ",16.62,0.051,62.218,0.028,0.391,0.03,-2.067,0.051,-0.414,0.05,0.047,155,2.553,9.976,"nan","nan","nan","nan","nan","nan"
"NGC 3680        ",171.387,0.118,-43.228,0.063,0.954,0.029,-7.284,0.107,1.158,0.122,0.103,80,1.039,8.069,"nan","nan","nan","nan","nan","nan"
"NGC 3766        ",174.06,0.108,-61.621,0.074,0.49,0.036,-6.734,0.066,0.958,0.076,0.118,1018,2.041,7.695,"nan","nan","nan","nan","nan","nan"
"NGC 381         ",17.101,0.095,61.586,0.066,0.878,0.047,1.609,0.078,-2.261,0.117,0.089,171,1.136,8.999,"nan","nan","nan","nan","nan","nan"
"NGC 3960        ",177.656,0.08,-55.676,0.043,0.435,0.044,-6.505,0.082,1.846,0.069,0.082,467,2.294,7.646,"nan","nan","nan","nan","nan","nan"
"NGC 4103        ",181.639,0.146,-61.243,0.048,0.495,0.041,-6.209,0.061,0.144,0.086,0.109,501,2.028,7.578,"nan","nan","nan","nan","nan","nan"
"NGC 433         ",18.791,0.073,60.128,0.057,0.497,0.046,-1.441,0.067,-0.709,0.077,0.073,187,2.007,9.613,"nan","nan","nan","nan","nan","nan"
"NGC 4349        ",186.058,0.11,-61.862,0.052,0.529,0.045,-7.832,0.1,-0.304,0.088,0.111,851,1.876,7.548,"nan","nan","nan","nan","nan","nan"
"NGC 436         ",19.001,0.038,58.82,0.021,0.299,0.044,-0.986,0.042,-0.56,0.044,0.046,208,3.361,10.628,"nan","nan","nan","nan","nan","nan"
"NGC 4439        ",187.105,0.062,-60.109,0.058,0.512,0.04,-7.116,0.075,-0.461,0.046,0.082,72,1.977,7.508,"nan","nan","nan","nan","nan","nan"
"NGC 4463        ",187.469,0.059,-64.8,0.04,0.547,0.071,-5.308,0.054,-0.378,0.093,0.074,198,1.83,7.535,"nan","nan","nan","nan","nan","nan"
"NGC 457         ",19.897,0.093,58.274,0.037,0.345,0.035,-1.58,0.062,-0.654,0.077,0.083,607,2.856,10.257,"nan","nan","nan","nan","nan","nan"
"NGC 4609        ",190.563,0.101,-62.997,0.05,0.692,0.044,-4.868,0.086,-1.05,0.092,0.089,295,1.441,7.637,"nan","nan","nan","nan","nan","nan"
"NGC 4755        ",193.407,0.096,-60.372,0.049,0.492,0.028,-4.646,0.098,-1.137,0.099,0.08,666,2.0,7.397,"nan","nan","nan","nan","nan","nan"
