"Cluster","RA","DEC","GLON","GLAT","Class","Diam","Dist","E(B-V)","n_E(B-V)","Age","pmRA","e_pmRA","pmDE","e_pmDE","pmGLON","pmGLAT","Nc","r_pmRA","RV","e_RV","o_RV","r_RV","[Fe/H]","e_[Fe/H]","o_[Fe/H]","RAJ2000","DEJ2000"
"King 14","00 31 54","+63 10 00",120.7292,0.3785,"nan",6.0,2593.0,0.414,"nan",7.924,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",7.97508,63.16666
"King 15","00 32 54","+61 52 00",120.7482,-0.9265,"nan",3.0,3162.0,0.7,"nan",8.4,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",0.07,"nan","nan",8.22496,61.86662
"NGC 146","00 33 03","+63 18 06",120.8682,0.5036,"nan",7.0,3032.0,0.48,"nan",7.822,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",8.26245,63.30164
"NGC 189","00 39 35","+61 05 06",121.4988,-1.7538,"nan",3.0,752.0,0.42,"nan",7.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",9.89586,61.08496
"Stock 24","00 39 42","+61 57 00",121.5523,-0.8903,"nan",5.0,2818.0,0.5,"nan",8.08,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",9.92497,61.95
"Dolidze 12","00 40 48","+60 51 00",121.6361,-1.995,"nan",18.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",10.20007,60.84998
"NGC 225","00 43 39","+61 46 30",122.0111,-1.0828,"nan",12.0,657.0,0.274,"nan",8.114,-4.95,3.3,-0.5,3.3,-4.96,-0.35,20.0," TYC","nan","nan","nan","nan","nan","nan","nan",10.91249,61.77502
"King 16","00 43 42","+64 11 00",122.0894,1.3242,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",10.92505,64.18329
"Czernik 2","00 43 42","+60 09 00",121.9681,-2.7073,"nan",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",10.92493,60.14997
"Berkeley 4","00 45 30","+64 24 00",122.2903,1.5356,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",11.37493,64.39995
"NGC 188","00 47 28","+85 15 18",122.8431,22.3839,"nan",17.0,2047.0,0.082,"nan",9.632,-1.48,1.25,-0.56,1.24,-1.49,-0.54,2.0," BDW",-44.0,5.0,"nan"," RGDZ",-0.026,0.12,10.0,11.86655,85.25496
"Berkeley 61","00 48 30","+67 14 00",122.6469,4.3632,"nan",3.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",12.12506,67.23332
"Dolidze 13","00 50 00","+64 08 00",122.775,1.262," d",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",12.49987,64.13331
"King 2","00 51 00","+58 11 00",122.874,-4.6884,"nan",5.0,5750.0,0.31,"nan",9.78,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",12.74997,58.1833
"NGC 272","00 51 24","+35 49 54",122.9233,-27.0401," n",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",12.85,35.83165
"IC 1590","00 52 48","+56 37 00",123.1204,-6.2546,"nan",29.0,2940.0,0.32,"nan",6.54,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",13.19997,56.61665
"Alessi 1","00 53 27","+49 34 00",123.2672,-13.3038,"nan",48.0,302.0,0.09,"nan",8.2,6.74,1.73,-7.79,1.73,6.8,-7.74,28.0," ADM","nan","nan","nan","nan","nan","nan","nan",13.36256,49.56664
"NGC 305","00 56 20","+12 04 00",124.8252,-50.7871," n",6.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",14.08333,12.06665
"Skiff 1","00 58 24","+68 28 00",123.5737,5.6036,"nan",10.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",14.59986,68.46667
"Berkeley 62","01 01 00","+63 57 00",123.9817,1.0977,"nan",5.0,1837.0,0.852,"nan",7.185,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",15.25004,63.94996
"Czernik 3","01 03 06","+62 48 00",124.2641,-0.0416,"nan",1.5,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",15.77489,62.79998
"NGC 366","01 06 26","+62 13 48",124.6777,-0.5909,"nan",3.5,1785.0,1.256,"nan",7.41,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",16.60829,62.23001
"Pfleiderer 1","01 08 05","+65 38 48",124.6487,2.8304,"nan",1.5,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",17.0207,65.64665
"NGC 381","01 08 19","+61 35 00",124.939,-1.2226,"nan",6.0,1148.0,0.4,"nan",8.505,0.87,1.93,-1.34,1.93,0.96,-1.28,13.0," TYC","nan","nan","nan","nan",0.07,"nan","nan",17.07908,61.58335
"Stock 3","01 12 18","+62 20 00",125.3511,-0.4404,"nan",5.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",18.07504,62.33331
"Platais 2","01 13 50","+32 01 42",128.4464,-30.6035,"nan",336.0,201.0,"nan","nan",8.6,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",18.45829,32.02834
"NGC 433","01 15 11","+60 07 36",125.8878,-2.6087,"nan",2.0,2323.0,0.86,"nan",7.5,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",18.79581,60.1267
"NGC 436","01 15 58","+58 48 42",126.1104,-3.9086,"nan",5.0,3014.0,0.46,"nan",7.926,"nan","nan","nan","nan","nan","nan","nan","nan",-74.4,0.3,"nan"," RGDZ","nan","nan","nan",18.99156,58.81169
"NGC 457","01 19 35","+58 17 12",126.6348,-4.3826,"nan",20.0,2429.0,0.472,"nan",7.324,-0.61,2.47,-1.9,2.47,-0.4,-1.96,14.0," TYC",-34.0,9.0,"nan"," RGDZ","nan","nan","nan",19.89577,58.28665
"NGC 559","01 29 31","+63 18 24",127.1929,0.7504,"nan",6.0,1258.0,0.79,"nan",7.748,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",22.37905,63.30669
"NGC 581","01 33 23","+60 39 00",128.0524,-1.8041,"nan",5.0,2194.0,0.382,"nan",7.336,-1.6,2.4,0.66,2.14,-1.69,0.39,1.0," BDW",-37.0,10.0,"nan"," RGDZ","nan","nan","nan",23.34573,60.64996
"Czernik 4","01 35 24","+61 26 00",128.1633,-0.9911,"nan",4.0,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",23.85008,61.43331
"Trumpler 1","01 35 42","+61 17 00",128.2242,-1.1328,"nan",3.0,2563.0,0.582,"nan",7.48,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",23.92491,61.28331
"NGC 609","01 36 23","+64 32 18",127.7404,2.087,"nan",3.0,3981.0,0.35,"nan",9.232,"nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",24.09574,64.53832
"NGC 637","01 43 04","+64 02 24",128.5458,1.7324,"nan",3.0,2160.0,0.634,"nan",6.98,"nan","nan","nan","nan","nan","nan","nan","nan",-46.0,10.0,"nan"," RGDZ","nan","nan","nan",25.76657,64.03998
"NGC 657","01 43 33","+55 51 24",130.2448,-6.2734," nf","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan","nan",25.88757,55.85666
