"DB","DB_i","ID","RA_ICRS","DE_ICRS","GLON","GLAT","Plx","pmRA","pmDE","fnames","UCC_ID","quad","r_50","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","Plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","dups_fnames_m","dups_probs_m"
"HE2023","1397","CWNU 2668",206.0108,-52.9517,310.912,9.103,0.518,-9.524,-3.319,"cwnu2668","UCC G310.9+09.1","Q4P",4.1,0.42,0.27,"CC",0.0,310.927,9.095,206.023,-52.951,0.502,-9.561,-3.241,17.122,1.0,"nan","nan"
"HUNT2023;CAVALLO2024","5645;4896","Theia 5496",211.4164,-64.1594,310.9127,-2.4439,0.6114,-7.0832,-3.5252,"theia5496","UCC G310.9-02.4b","Q4N",4.3,0.84,0.57,"AB",17.0,310.881,-2.449,211.356,-64.163,0.615,-7.1,-3.499,-30.964,2.0,"oc0604;cwnu308","0.83;0.4"
"HE2022","307","CWNU 308",211.4462,-64.1317,310.933,-2.421,0.63,-7.05,-3.64,"cwnu308","UCC G310.9-02.4a","Q4N",5.8,0.66,0.66,"BB",16.0,310.933,-2.441,211.449,-64.156,0.631,-7.019,-3.58,"nan",0.0,"oc0604;theia5496","0.4;0.4"
"HE2023_1","1308","CWNU 4166",208.3667,-58.6623,310.9376,3.242,0.154,-7.19,-2.198,"cwnu4166","UCC G310.9+03.2","Q4P",2.1,0.18,0.48,"DC",0.0,310.932,3.25,208.351,-58.655,0.173,-7.187,-2.203,3.27,2.0,"nan","nan"
"HE2023_1","1740","CWNU 4574",208.571,-59.0385,310.95,2.8514,0.162,-7.117,-2.168,"cwnu4574","UCC G310.9+02.8","Q4P",2.4,0.23,0.38,"DC",0.0,310.97,2.86,208.608,-59.027,0.171,-6.879,-2.194,-62.312,1.0,"nan","nan"
"BICA2019","3459","Riddle 7",208.9014,-59.6678,310.96,2.2,"nan","nan","nan","riddle7","UCC G310.9+02.2","Q4P",2.4,0.59,0.25,"BD",0.0,310.971,2.197,208.918,-59.664,0.229,-8.218,-2.534,-23.321,1.0,"nan","nan"
"HE2023_1","1988","CWNU 4832",208.217,-58.1066,310.9934,3.8004,0.15,-7.093,-2.13,"cwnu4832","UCC G310.9+03.8","Q4P",2.2,0.28,0.38,"CC",0.0,310.993,3.807,208.209,-58.101,0.154,-7.092,-2.141,-4.908,2.0,"nan","nan"
"HUNT2023","3716","HSC 2626",203.6878,-44.6206,310.995,17.572,0.29,-6.511,-1.155,"hsc2626","UCC G310.9+17.5","Q4P",7.8,0.19,0.4,"DC",40.0,310.98,17.598,203.701,-44.605,0.279,-6.545,-1.197,-5.161,2.0,"nan","nan"
"HE2023_1","1004","CWNU 3872",209.8862,-61.3785,310.9954,0.4224,0.29,-5.212,-1.866,"cwnu3872","UCC G310.9+00.4a","Q4P",3.8,0.85,0.66,"AB",17.0,311.015,0.41,209.928,-61.387,0.29,-5.178,-1.947,67.442,1.0,"hsc2627","0.76"
"HUNT2023;CAVALLO2024","3717;2727","HSC 2627",209.8869,-61.374,310.9969,0.4267,0.287,-5.201,-1.885,"hsc2627","UCC G310.9+00.4","Q4P",2.9,1.0,0.71,"AB",39.0,310.997,0.417,209.897,-61.385,0.29,-5.184,-1.925,67.442,1.0,"cwnu3872","0.76"
