"UCC_ID","ID","RA_ICRS","DE_ICRS","GLON","GLAT","Plx","pmRA","pmDE","Rv","N_Rv","N_50","r_50","C3","shared_members","shared_members_perc"
"UCC G289.1-02.5","UBC 1492",162.36,-62.13,289.217,-2.537,0.208,-5.549,2.186,-24.059,3.0,13.0,6.4,"CB","nan","nan"
"UCC G289.2-01.9","CWWDL 831",163.0121,-61.5593,289.27,-1.934,0.28,-6.014,2.323,11.765,1.0,9.0,11.5,"DC","nan","nan"
"UCC G289.2-00.7","UBC 508",164.106,-60.489,289.217,-0.71,0.153,-5.223,2.266,18.512,15.0,93.0,1.8,"AA","ascc63","18.3"
"UCC G289.2-03.2","CWNU 4500",161.728,-62.7881,289.244,-3.246,0.274,-6.071,3.337,49.281,2.0,11.0,8.2,"DC","nan","nan"
"UCC G289.2-00.1","UBC 1493",164.63,-60.0,289.253,-0.154,0.209,-5.868,2.347,36.626,2.0,43.0,1.6,"DB","nan","nan"
"UCC G289.2+00.9","CWNU 4241",165.5699,-58.9634,289.255,0.981,0.165,-6.501,2.949,16.942,4.0,34.0,2.1,"CB","nan","nan"
"UCC G289.2-02.0","Teutsch J1052.0-6139",163.0159,-61.6613,289.3,-1.988,0.152,-6.054,1.976,49.832,2.0,11.0,6.7,"DC","nan","nan"
"UCC G289.2+04.8","ASCC 66;MWSC 1922",168.367,-55.437,289.307,4.822,1.024,-11.316,2.997,-1.694,12.0,44.0,12.0,"AB","nan","nan"
"UCC G289.3-00.8","CWNU 1078",164.1851,-60.6328,289.302,-0.618,2.258,-14.635,-0.338,5.38,9.0,22.0,49.3,"BC","nan","nan"
"UCC G289.3-00.6","Theia 2296",164.3643,-60.4491,289.388,-0.59,0.896,-9.574,2.995,-16.15,18.0,58.0,15.7,"AC","nan","nan"
"UCC G289.3+08.2","FSR 1560;MWSC 1937",170.5052,-52.2551,289.301,8.206,0.238,-8.652,2.353,3.736,1.0,20.0,5.9,"DC","nan","nan"
"UCC G289.3-00.2","CWNU 1730",164.6889,-60.1231,289.327,-0.265,0.389,-6.142,0.813,"nan",0.0,32.0,3.3,"BB","nan","nan"
"UCC G289.3-05.9","UBC 1494",159.0262,-65.1673,289.367,-5.934,0.44,-5.758,2.628,-17.422,2.0,32.0,4.6,"AB","cwnu84","100.0"
"UCC G289.3-05.9a","CWNU 84",159.0931,-65.1742,289.37,-5.937,0.437,-5.759,2.626,-17.085,5.0,54.0,5.1,"AB","ubc1494","59.3"
